"id","进入等级","等级限制下限","名字","现在场景所用资源图（策划用）","描述","场景颜色","是否安全区","能否客户端跳转","是否副本","副本类型","副本外跳转地图","副本外跳转X坐标","副本外跳转Y坐标","是否可无视阻挡","可见关系","默认x","默认y","重定位地图","重定位x坐标","重定位y坐标","资源目录","战斗底图","宽度","高度","是否显示在世界地图上","等级限制上限","战斗区域描述","玩家所在世界地图位置左上角X坐标","玩家所在世界地图位置左上角Y坐标","音效","飞行符传送x坐标","飞行符传送y坐标","是否读取传送点文件","地图图标","是否隐藏队员","vip等级限制","可否组队","可否归队"
"1601","0","-1","备用1","备用1","备用1","FFFFFFFF","1","1","0","0","0","27","75","1","0","27","75","1615","0","0","map_3333_dayanta","10","3584","2368","false","-1","0","0","0","music_dayantayiceng","27","75","","set:ditu image:6","","","0","0"
"1602","0","-1","备用2","备用2","备用2","FFFFFFFF","0","1","0","0","0","16","15","1","0","16","15","1615","0","0","map_1602_mhxyfengchao","10","3584","1984","false","-1","0","0","0","Music_sikuang.ogg","16","15","","set:ditu image:20","","","0","0"
"1603","0","-1","备用3","备用3","备用3","FFFFFFFF","0","1","0","0","0","85","106","1","0","85","106","1615","0","0","map_1603_mhxyxiaoleiyinsi","10","5376","3968","false","-1","0","0","0","music_xiaoleiyinsi.ogg","85","106","","set:ditu image:16","","","0","0"
"1604","0","-1","备用4","备用4","备用4","FFFFFFFF","0","1","0","0","0","0","0","1","0","100","99","1615","0","0","map_1604_jitan1","10","2688","1536","false","-1","1","0","0","Music_baofengcheng.ogg","53","99","","set:ditu image:6","","","0","0"
"1605","0","-1","傲来渔港","傲来渔港","傲来渔港","FFFFFFFF","1","1","0","0","0","0","0","1","0","100","99","1615","0","0","map_1605_mhxyaolaiguo","10","2560","1704","true","-1","0","0","0","music_aolaiguo.ogg","143","97","1","set:ditu2 image:1","","","0","0"
"1606","0","-1","宝象国","宝象国","宝象国","FFFFFFFF","1","1","0","0","0","0","0","1","0","100","99","1615","0","0","map_1606_mhxybaoxiangguo","10","3200","2368","true","-1","0","0","0","Music_baoxaingguo.ogg","90","64","1","set:ditu2 image:2","","","0","0"
"1607","0","-1","凌霄宝殿","凌霄宝殿","凌霄宝殿","FFFFFFFF","0","1","0","0","0","0","0","1","0","100","99","1615","0","0","map_1607_lingxiaobaodian","10","2176","1472","false","-1","0","0","0","Music_sikuang.ogg","23","57","","set:ditu2 image:3","","","0","0"
"1608","0","-1","东海湾","东海湾","东海湾","FFFFFFFF","0","1","0","0","0","0","0","1","0","100","99","1615","0","0","map_1608_mhxydonghaiwan","10","2816","2368","true","-1","0","0","0","music_donghaiwan.ogg","16","60","1","set:ditu2 image:4","","","0","0"
"1609","0","-1","大雪山","大雪山","大雪山","FFFFFFFF","0","1","0","0","0","0","0","1","0","100","99","1615","0","0","map_1609_daxueshan","10","3072","2368","true","-1","0","0","0","Music_aogeruima.ogg","214","275","1","set:ditu2 image:5","","","0","0"
"1610","0","-1","两界山","两界山","两界山","FFFFFFFF","0","1","0","0","0","0","0","1","0","100","99","1615","0","0","map_1610_liangjieshan","10","3328","2368","true","-1","0","0","0","dengluqu.ogg","68","57","1","set:ditu2 image:6","","","0","0"
"1611","0","-1","洛阳城","洛阳城","洛阳城","FFFFFFFF","1","1","0","0","0","0","0","1","0","139","57","1615","0","0","map_1611_luoyangcheng","10","3968","2624","true","-1","0","0","0","Music_musesenlin.ogg","139","57","1","set:ditu2 image:7","","","0","0"
"1612","0","-1","花果山","花果山","花果山","FFFFFFFF","0","1","0","0","0","0","0","1","0","100","99","1615","0","0","map_1612_huaguoshan","10","2304","2880","true","-1","0","0","0","music_huaguoshan.ogg","16","187","1","set:ditu2 image:8","","","0","0"
"1613","0","-1","帮派地图","帮派","帮派","FFFFFFFF","1","1","1","1","1615","95","98","1","0","55","46","1615","0","0","map_1613_bangpai","10","1920","1344","false","-1","0","0","0","Music_gonghui.ogg","53","99","0","set:ditu2 image:9","","","0","0"
"1614","0","-1","长寿村","长寿村","长寿村","FFFFFFFF","1","1","0","0","0","0","0","1","0","100","99","1615","0","0","map_1614_changshoucun","10","2944","2368","true","-1","0","0","0","music_cahngshoucun.ogg","118","267","1","set:ditu2 image:10","","","0","0"
"1615","0","-1","长安城","长安城","长安城","FFFFFFFF","0","1","0","0","0","0","0","1","0","100","99","1615","0","0","a_1615zhucheng","10","6272","3776","true","-1","0","0","0","Music_xinshoucun1.ogg","255","190","1","set:ditu2 image:11","","","0","0"
"1616","0","-1","建邺城","建邺城","建邺城","FFFFFFFF","1","1","0","0","0","0","0","1","0","100","99","1615","0","0","map_1616_jianyecheng","10","3456","1472","true","-1","0","0","0","music_jianyecheng.ogg","100","37","1","set:ditu2 image:12","","","0","0"
"1617","0","-1","龙宫","龙宫","龙宫","FFFFFFFF","0","1","0","0","0","0","0","1","0","100","99","1615","0","0","map_1617_longgong","10","1685","1276","true","-1","0","0","0","music_longgong.ogg","93","127","1","set:ditu2 image:13","","","0","0"
"1618","0","-1","大唐官府","大唐官府","大唐官府","FFFFFFFF","0","1","0","0","0","0","0","1","0","100","99","1615","0","0","map_1618_datangguanfu","10","1640","1200","true","-1","0","0","0","music_datangguanfu.ogg","145","139","0","set:ditu2 image:14","","","0","0"
"1619","0","-1","普陀山","普陀山","普陀山","FFFFFFFF","0","1","0","0","0","0","0","1","0","100","99","1615","0","0","map_1619_putuoshan","10","1920","1536","true","-1","0","0","0","music_putuoshan.ogg","24","32","1","set:ditu2 image:15","","","0","0"
"1620","0","-1","狮驼岭","狮驼岭","狮驼岭","FFFFFFFF","0","1","0","0","0","0","0","1","0","100","99","1615","0","0","map_1620_shituoling","10","2048","2368","true","-1","0","0","0","music_shituoling.ogg","101","150","1","set:ditu2 image:16","","","0","0"
"1621","0","-1","方寸山","方寸山","方寸山","FFFFFFFF","0","1","0","0","0","0","0","1","0","100","99","1615","0","0","map_1621_fangcunshan","10","2944","1920","true","-1","0","0","0","music_fangcunshan.ogg","95","100","1","set:ditu2 image:17","","","0","0"
"1622","0","-1","阴曹地府","阴曹地府","阴曹地府","FFFFFFFF","0","1","0","0","0","0","0","1","0","13","74","1615","0","0","map_1622_mhxydifu","10","2176","1536","true","-1","0","0","0","music_difu.ogg","59","109","1","set:ditu2 image:18","","","0","0"
"1623","0","-1","月宫","月宫","月宫","FFFFFFFF","0","1","0","0","0","0","0","1","0","100","99","1615","0","0","map_1623_yuegong","10","2176","1536","true","-1","0","0","0","music_yuegong.ogg","53","99","1","set:ditu2 image:19","","","0","0"
"1624","0","-1","化生寺","化生寺","化生寺","FFFFFFFF","0","1","0","0","0","0","0","1","0","100","99","1615","0","0","map_1624_huashengsi","10","1920","1536","true","-1","0","0","0","music_hushengsi.ogg","38","131","1","set:ditu2 image:20","","","0","0"
"1625","0","-1","魔王寨","魔王寨","魔王寨","FFFFFFFF","0","1","0","0","0","0","0","1","0","100","99","1615","0","0","map_1625_mowangzhai","10","1536","2048","true","-1","0","0","0","music_mowangzhai.ogg","86","52","1","set:ditu2 image:21","","","0","0"
"1626","0","-1","海底迷宫","海底迷宫","海底迷宫","FFFFFFFF","0","1","0","0","0","0","0","1","0","100","99","1615","0","0","map_1626_haidimigong","10","6912","5284","false","-1","0","0","0","Music_shizilukou.ogg","100","46","","set:ditu2 image:22","","","0","0"
"1627","0","-1","地狱迷宫","地狱迷宫","地狱迷宫","FFFFFFFF","0","1","0","0","0","0","0","1","0","100","99","1615","0","0","map_1627_diyumigong","10","10240","8960","false","-1","0","0","0","Music_beijun.ogg","244","230","","set:ditu2 image:23","","","0","0"
"1628","0","-1","瑶池","瑶池","瑶池","FFFFFFFF","1","1","0","0","0","0","0","1","0","100","99","1615","0","0","map_1628_yaochi","10","3968","2304","false","-1","0","0","0","Music_shizilukou.ogg","11","12","","set:ditu2 image:24","","","0","0"
"1629","0","-1","女娲神迹","女娲神迹","女娲神迹","FFFFFFFF","0","1","0","0","0","0","0","1","0","100","99","1615","0","0","map_1629_nvwashenji","10","3584","2688","false","-1","0","0","0","Music_shizilukou.ogg","20","24","","set:ditu2 image:25","","","0","0"
"1630","0","-1","敦煌城","敦煌城","敦煌城","FFFFFFFF","0","1","0","0","0","0","0","1","0","100","99","1615","0","0","map_1630_dunhuancheng","10","3712","2368","true","-1","0","0","0","Music_jiajisen.ogg","150","61","1","set:ditu2 image:26","","","0","0"
"1631","0","-1","战神山","奥格瑞玛","战神山","FFFFFFFF","0","1","0","0","0","0","0","1","0","100","99","1615","0","0","map_1631_zhanshenshan","10","3584","2368","true","-1","0","0","0","music_zhanshenshan.ogg","90","85","1","set:ditu2 image:27","","","0","0"
"1632","0","-1","女儿村","银松森林","女儿村","FFFFFFFF","1","1","0","0","0","0","0","1","0","100","99","1615","0","0","nvercun","10","5504","3584","true","15","0","0","0","beijuluzhou.ogg","52","57","","set:ditu image:22","","","0","0"
"9021","0","-1","须弥海","须弥海","须弥海","FFFFFFFF","1","1","0","0","0","0","0","1","0","100","99","1615","60","85","xumihai","10","3562","2400","true","15","0","0","0","Music_sikuang.ogg","53","99","","set:ditu image:24","","","0","0"
"1656","0","-1","精锐组","PK场","精锐组","FFFFFFFF","1","1","0","0","0","0","0","1","0","39","70","1615","0","0","map_1656_jingjijingyingchang1v1","10","1920","1088","true","15","0","0","0","FirstBOSS_battle.ogg","53","99","","set:ditu image:10","","","",""
"1657","0","-1","勇武组","PK场","勇武组","FFFFFFFF","1","1","0","0","0","0","0","1","0","39","70","1615","0","0","map_1657_jingjishenweichang1v1","10","1920","1088","true","15","0","0","0","FirstBOSS_battle.ogg","53","99","","set:ditu image:10","","","",""
"1658","0","-1","神威组","PK场","神威组","FFFFFFFF","1","1","0","0","0","0","0","1","0","39","70","1615","0","0","map_1658_jingjiwangzhechang1v1","10","1920","1088","true","15","0","0","0","FirstBOSS_battle.ogg","53","99","","set:ditu image:10","","","",""
"1659","0","-1","精锐组","华山论剑","精锐组","FFFFFFFF","1","1","0","0","0","0","0","1","0","39","70","1615","0","0","map_1659_jingjijingyingchang3v3","10","1152","960","true","15","0","0","0","FirstBOSS_battle.ogg","53","99","","set:ditu image:10","","","",""
"1660","0","-1","勇武组","华山论剑","勇武组","FFFFFFFF","1","1","0","0","0","0","0","1","0","39","70","1615","0","0","map_1660_jingjishenweichang3v3","10","1152","960","true","15","0","0","0","FirstBOSS_battle.ogg","53","99","","set:ditu image:10","","","",""
"1661","0","-1","神威组","华山论剑","神威组","FFFFFFFF","1","1","0","0","0","0","0","1","0","39","70","1615","0","0","map_1661_jingjiwangzhechang3v3","10","1152","960","true","15","0","0","0","FirstBOSS_battle.ogg","53","99","","set:ditu image:10","","","",""
"1699","0","-1","青龙普通场","PK场","5V5普通场阵营1","FFFFFFFF","1","1","0","0","0","0","0","1","0","39","70","1615","0","0","map_1699_jingjijingyingchangputong5v5","10","1920","1088","true","15","0","0","0","FirstBOSS_battle.ogg","53","99","","set:ditu image:10","","","",""
"1700","0","-1","白虎普通场","PK场","5V5普通场阵营2","FFFFFFFF","1","1","0","0","0","0","0","1","0","39","70","1615","0","0","map_1700_jingjishenweichangputong5v5","10","1920","1088","true","15","0","0","0","FirstBOSS_battle.ogg","53","99","","set:ditu image:10","","","",""
"1701","0","-1","青龙普通场","PK场","5V5普通场阵营1","FFFFFFFF","1","1","0","0","0","0","0","1","0","39","70","1615","0","0","map_1701_jingjiwangzhechangputong5v5","10","1920","1088","true","15","0","0","0","FirstBOSS_battle.ogg","53","99","","set:ditu image:10","","","",""
"1702","0","-1","白虎普通场","PK场","5V5普通场阵营2","FFFFFFFF","1","1","0","0","0","0","0","1","0","39","70","1615","0","0","map_1702_jingjijingyingchangyousheng5v5","10","1920","1088","true","15","0","0","0","FirstBOSS_battle.ogg","53","99","","set:ditu image:10","","","",""
