"编号","类型","显示名","道具名颜色","颜色品质","造型编号","单位","等级","需求等级","排序ID","可否摧毁","可否摆摊上架","点卡服可否摆摊上架","默认有效时间","可否卖店","是否绑定","是否拾取绑定","是否下线消失","战斗内使用对象","战斗内使用者对象","战斗外使用对象","最大堆叠数量","最大拥有数量","删除后服务器保留天数","珍品找回消耗","描述","功能说明","售卖商店类型","售卖NPCID","道具使用方法","道具类名","道具类名1","使用按钮功能类型","使用按钮功能参数1","使用按钮功能参数2","使用按钮功能参数3","对应宠物技能","恢复宠物忠诚度","增加宠物经验","增加宠物寿命","使用次数限制","可否给予战斗中对象","使用后是否消耗","属性名1","属性名2","属性名3","属性名4","属性名5","属性名6","属性值1","属性值2","属性值3","属性值4","属性值5","属性值6","获取途径1","获取途径2","获取途径3","获取途径4","获取途径5","获取途径6","获取途径7","获取途径8","获取途径9","是否珍品","摆摊冻结时间","是否稀有","寻路特殊处理","特殊用途1","特殊用途2","特殊用途3","特殊用途4","特殊用途5"
"310000","209","小壶月华露","ff6ddcf6","2","1183","瓶","0","1","4021","true","0","0","0","1300","false","false","false","0","0","2","9999","0","0","5000000","昆仑山顶采集的皓月光华，是增加修为的仙露，但由于分量较少服用后仅增加宠物50000经验。","增加宠物经验","","10298","使用方法：点击直接给参战宠使用","","","","","","","0","0","50000","","","false","1","0","","","","","","0","","","","","","","","","","","","","","","","","","","小壶月华露","","","",""
"310001","209","月华露","ff6ddcf6","3","1183","瓶","0","1","4020","true","0","0","0","1301","false","false","false","0","0","2","9999","0","0","5000000","昆仑山顶采集的皓月光华，是增加修为的仙露，服用后可增加宠物500000经验。","增加宠物经验","","10298","使用方法：点击直接给参战宠使用","","","","","","","0","0","500000","","","false","1","0","","","","","","0","","","","","","","","","","","","","","","","","","","月华露","","","",""
"310100","177","元宵","ff6ddcf6","3","1188","颗","0","1","4022","true","0","1","0","0","false","false","false","0","0","2","9999","0","0","5000000","传说中神秘丹药，可以提升宠物的资质。","增加宠物资质","","10298","使用方法：点击直接给参战宠使用","","","","","","","0","0","","","10","false","1","0","","","","","","0","","","","","","","","","","","","","","","","","1","","元宵","","","",""
"310101","193","炼兽珍经","ff6ddcf6","4","1162","本","0","1","4022","true","0","1","0","0","false","false","false","0","0","2","9999","0","0","5000000","远古秘籍，可以提升宠物成长。","增加宠物成长","","10298","使用方法：点击直接给参战宠使用","","","","","","","0","0","","","10","false","1","0","","","","","","0","","","","","","","","","","","","","","","","","1","","炼兽珍经","","","",""
"310102","33","金柳露","ff6ddcf6","3","1182","瓶","0","1","4024","true","0","1","0","0","false","false","false","0","0","2","9999","0","0","5000000","难得的仙露，有着令万物回归到原始状态的奇效，可以重置宠物的资质和技能。","宠物洗炼道具","3","161506","使用方法：点击直接使用","","","","","","","0","0","","","","false","1","0","","","","","","0","","","","","","","","","","","","","","","","","","","金柳露","","","",""
"310103","33","超级金柳露","ff6ddcf6","4","1166","瓶","0","1","4023","true","0","1","0","0","false","false","false","0","0","2","9999","0","0","5000000","极其罕见的仙露，有着令万物回归到原始状态的奇效，可以重置宠物的资质和技能。","宠物洗炼道具","3","161506","使用方法：点击直接使用","","","","","","","0","0","","","","false","1","0","","","","","","0","","","","","","","","","","","","","","","","","1","","超级金柳露","","","",""
"310104","33","净瓶玉露","ff6ddcf6","4","1187","瓶","0","1","4023","true","0","1","0","0","false","false","false","0","0","2","9999","0","0","5000000","来自南海珞珈山的仙水。拥有神奇的效果，可以重置变异宠物的资质和技能。","变异宠物洗炼道具","3","161506","使用方法：点击直接使用","","","","","","","0","0","","","","false","1","0","","","","","","0","","","","","","","","","","","","","","","","","1","","净瓶玉露","","","",""
"310105","257","棒棒糖","FF87CEFF","1","1000","颗","0","1","4024","true","0","0","0","0","false","false","false","0","0","2","9999","0","0","5000000","使用后提升宠物0.5的成长。","增加宠物成长","2","161506","使用方法：点击直接使用","","","","","","","0","0","","","","false","1","0","","","","","","0","","","","","","","","","","","","","","","","","1","","棒棒糖","","","",""
"310200","225","宠物口粮","ff6ddcf6","2","1161","份","0","1","4025","true","0","0","0","1311","false","false","false","0","0","2","9999","0","0","5000000","使用后可为宠物恢复1000寿命。","增加宠物寿命","3","161506","使用方法：点击直接给参战宠使用","","","","","","","0","0","","1000","","false","1","0","","","","","","0","","","","","","","","","","","","","","","","","","","宠物口粮","","","",""
"313333","225","        神兽无法洗炼","ff6ddcf6","2","","份","0","1","4025","true","0","0","0","0","false","false","false","0","0","2","99","0","0","5000000","使用后可为宠物恢复100寿命。","增加宠物寿命","3","161506","使用方法：点击直接给参战宠使用","","","","","","","0","0","","100","","false","1","0","","","","","","0","","","","","","","","","","","","","","","","","","","        神兽无法洗炼","","","",""
"311001","49","必杀","ff6ddcf6","3","1168","本","0","1","4010","true","1","1","0","0","false","false","false","0","0","2","999","0","0","5000000","物理攻击时暴击概率增加10%。","学习宠物技能","3","161506","打开宠物炼妖界面为宠物学习技能","","","","","","","206001","0","","","","false","1","","","","","","","","","","","","","","","","","","","","","","","30","1","","必杀","","","",""
"311002","49","连击","ff6ddcf6","3","1168","本","0","1","4010","true","1","1","0","0","false","false","false","0","0","2","999","0","0","5000000","普通物理攻击时，有45%概率追加一次攻击，拥有此技能物理伤害结果会降低25%。","学习宠物技能","3","161506","打开宠物炼妖界面为宠物学习技能","","","","","","","206002","0","","","","false","1","","","","","","","","","","","","","","","","","","","","","","","30","1","","连击","","","",""
"311003","49","强力","ff6ddcf6","3","1168","本","0","1","4010","true","1","1","0","0","false","false","false","0","0","2","999","0","0","5000000","提升少量的物理攻击力，如果对方有铁甲或高级铁甲技能，物理伤害结果会减少20%。不能与狂暴熊猫技能共存有冲突","学习宠物技能","3","161506","打开宠物炼妖界面为宠物学习技能","","","","","","","206003","0","","","","false","1","","","","","","","","","","","","","","","","","","","","","","","30","1","","强力","","","",""
"311004","49","突进","ff6ddcf6","3","1168","本","0","1","4010","true","1","1","0","0","false","false","false","0","0","2","999","0","0","5000000","物理攻击时忽视对方一定的物理防御。","学习宠物技能","3","161506","打开宠物炼妖界面为宠物学习技能","","","","","","","206004","0","","","","false","1","","","","","","","","","","","","","","","","","","","","","","","30","1","","突进","","","",""
"311005","49","偷袭","ff6ddcf6","3","1168","本","0","1","4010","true","1","1","0","0","false","false","false","0","0","2","999","0","0","5000000","物理攻击不会受到反击和反弹，并提高6%的物理伤害结果。","学习宠物技能","3","161506","打开宠物炼妖界面为宠物学习技能","","","","","","","206005","0","","","","false","1","","","","","","","","","","","","","","","","","","","","","","","30","1","","偷袭","","","",""
"311006","49","法术暴击","ff6ddcf6","3","1168","本","0","1","4010","true","1","1","0","0","false","false","false","0","0","2","999","0","0","5000000","法术攻击时暴击概率增加10%。","学习宠物技能","3","161506","打开宠物炼妖界面为宠物学习技能","","","","","","","206006","0","","","","false","1","","","","","","","","","","","","","","","","","","","","","","","30","1","","法术暴击","","","",""
