"编号","类型","显示名","道具名颜色","颜色品质","造型编号","单位","等级","需求等级","排序ID","可否摧毁","可否摆摊上架","点卡服可否摆摊上架","默认有效时间","可否卖店","是否绑定","是否拾取绑定","是否下线消失","战斗内使用对象","战斗内使用者对象","战斗外使用对象","使用后是否消耗","最大堆叠数量","最大拥有数量","删除后服务器保留天数","珍品找回消耗","描述","功能说明","售卖商店类型","售卖NPCID","道具使用方法","道具类名","道具类名1","使用按钮功能类型","使用按钮功能参数1","使用按钮功能参数2","使用按钮功能参数3","是否采集获得","左上X","左上Y","右下X","右下Y","进度条文字","进度条时间","使用地图","是否放入任务道具页","耐久上限","使用特效ID","显示特效ID","显示特效X轴","显示特效Y轴","获取途径1","获取途径2","获取途径3","获取途径4","获取途径5","获取途径6","获取途径7","获取途径8","获取途径9","是否珍品","摆摊冻结时间","是否稀有","寻路特殊处理","特殊用途1","特殊用途2","特殊用途3","特殊用途4","特殊用途5"
"50317","25","新兵补给","ff6ddcf6","1","1233","个","0","1","0","true","0","0","0","0","false","false","false","0","0","1","1","9999","9999","0","","战士职业的新兵补给包，里面的物品，对新入职者有非常大的帮助。","新手礼包","","0","使用方法：点击使用","","","","","","","0","0","0","0","0","开启中","2","0","1","0","","","","","","","","","","","","","","","","","","","","","",""
"50318","25","新兵补给","ff6ddcf6","1","1233","个","0","1","0","true","0","0","0","0","false","false","false","0","0","1","1","9999","9999","0","","圣骑职业的新兵补给包，里面的物品，对新入职者有非常大的帮助。","新手礼包","","0","使用方法：点击使用","","","","","","","0","0","0","0","0","开启中","2","0","1","0","","","","","","","","","","","","","","","","","","","","","",""
"50319","25","新兵补给","ff6ddcf6","1","1233","个","0","1","0","true","0","0","0","0","false","false","false","0","0","1","1","9999","9999","0","","小德职业的新兵补给包，里面的物品，对新入职者有非常大的帮助。","新手礼包","","0","使用方法：点击使用","","","","","","","0","0","0","0","0","开启中","2","0","1","0","","","","","","","","","","","","","","","","","","","","","",""
"50320","25","新兵补给","ff6ddcf6","1","1233","个","0","1","0","true","0","0","0","0","false","false","false","0","0","1","1","9999","9999","0","","劣人职业的新兵补给包，里面的物品，对新入职者有非常大的帮助。","新手礼包","","0","使用方法：点击使用","","","","","","","0","0","0","0","0","开启中","2","0","1","0","","","","","","","","","","","","","","","","","","","","","",""
"50321","25","新兵补给","ff6ddcf6","1","1233","个","0","1","0","true","0","0","0","0","false","false","false","0","0","1","1","9999","9999","0","","法师职业的新兵补给包，里面的物品，对新入职者有非常大的帮助。","新手礼包","","0","使用方法：点击使用","","","","","","","0","0","0","0","0","开启中","2","0","1","0","","","","","","","","","","","","","","","","","","","","","",""
"50322","25","新兵补给","ff6ddcf6","1","1233","个","0","1","0","true","0","0","0","0","false","false","false","0","0","1","1","9999","9999","0","","牧师职业的新兵补给包，里面的物品，对新入职者有非常大的帮助。","新手礼包","","0","使用方法：点击使用","","","","","","","0","0","0","0","0","开启中","2","0","1","0","","","","","","","","","","","","","","","","","","","","","",""
"50323","25","神秘的结晶","ff6ddcf6","1","1005","个","0","1","0","true","0","0","0","0","false","false","false","0","0","1","1","9999","9999","0","","索尔制作的祝福结晶，仿佛能从其中听到远古的低语","魔法祝福","","0","使用方法：点击使用","","","","","","","0","0","0","0","0","祝福仪式","2","0","1","0","11073","11071","600","400","","","","","","","","","","","","","","","","","",""
"50324","25","装草的篮子","ff6ddcf6","1","1126","个","0","1","0","true","0","0","0","0","false","false","false","0","0","1","1","9999","9999","0","","装草的篮子，去帮术虱拔些草来","工具","","0","使用方法：点击使用","","","","","","","0","18","69","24","81","采集中","2","1616","1","0","","","","","","","","","","","","","","","","","","","","","",""
"50325","25","尖锐的铁棍","ff6ddcf6","1","1553","根","0","1","0","true","0","0","0","0","false","false","false","0","0","1","1","9999","9999","0","","一根尖锐的铁棍，非常锐利","任务物品","","0","使用方法：点击使用","","","","","","","0","38","38","58","58","打孔","2","1672","1","0","","","","","","","","","","","","","","","","","","","","","",""
"50326","25","亨利的钥匙","ff6ddcf6","1","1506","把","0","1","0","true","0","0","0","0","false","false","false","0","0","1","1","9999","9999","0","","亨利的钥匙，或许你可以用他来打开什么东西","任务物品","","0","使用方法：点击使用","","","","","","","0","38","48","58","68","开启中","2","1609","1","0","","","","","","","","","","","","","","","","","","","","","",""
