"ID","属性类型","最小值","最大值","备注"
"1","11","-10","30","60级"
"2","21","-10","30","60级"
"3","31","-10","30","60级"
"4","41","-10","30","60级"
"5","51","-10","30","60级"
"6","11","-15","50","70级"
"7","21","-15","50","70级"
"8","31","-15","50","70级"
"9","41","-15","50","70级"
"10","51","-15","50","70级"
"11","11","-20","30","80级"
"12","21","-20","30","80级"
"13","31","-20","30","80级"
"14","41","-20","30","80级"
"15","51","-20","30","80级"
"16","11","-25","40","90级"
"17","21","-25","40","90级"
"18","31","-25","40","90级"
"19","41","-25","40","90级"
"20","51","-25","40","90级"
"21","11","-30","50","100级"
"22","21","-30","50","100级"
"23","31","-30","50","100级"
"24","41","-30","50","100级"
"25","51","-30","50","100级"
"26","11","-10","80","110级"
"27","21","-10","80","110级"
"28","31","-10","80","110级"
"29","41","-10","80","110级"
"30","51","-10","80","110级"
"31","11","-20","100","120级"
"32","21","-20","100","120级"
"33","31","-20","100","120级"
"34","41","-20","100","120级"
"35","51","-20","100","120级"
"36","11","-80","140","130级"
"37","21","-80","140","130级"
"38","31","-80","140","130级"
"39","41","-80","140","130级"
"40","51","-80","140","130级"
"41","11","-100","170","140级"
"42","21","-100","170","140级"
"43","31","-100","170","140级"
"44","41","-100","170","140级"
"45","51","-100","170","140级"
"46","11","-150","200","150级"
"47","21","-150","200","150级"
"48","31","-150","200","150级"
"49","41","-150","200","150级"
"50","51","-150","200","150级"
"51","11","-200","300","160级"
"52","21","-200","300","160级"
"53","31","-200","300","160级"
"54","41","-200","300","160级"
"55","51","-200","300","160级"
