"道具ID","策划备注","属性ID","下限系数","上限系数","属性2ID","下限系数2","上限系数2"
"331201","衣服生命临时符-大唐","60","3","15","","",""
"331202","武器物攻临时符-龙宫","130","0.6","3","","",""
"331203","项链法攻临时符-普陀","150","0.6","3","","",""
"331204","头盔物防临时符-方寸","140","0.6","3","","",""
"331205","鞋子法防临时符-地府","160","0.6","3","","",""
"331206","腰带愤怒临时符-狮驼","1020","0.18","0.9","","",""
"331207","武器治疗临时符-化生","170","0.3","1.5","","",""
"331208","衣服控制临时符-月宫","180","0.18","0.9","","",""
"331209","鞋子速度临时符-魔王","200","0.3","1.5","","",""
"331210","武器封印临时符-女儿村","180","0.18","0.9","","",""
"331211","项链体质临时符-小雷音","10","0.3","1.5","","",""
"331212","头盔力量临时符-花果山","30","0.3","1.5","","",""
"331213","腰带魔力临时符-须弥海","20","0.3","1.5","","",""
