"道具ID","类型","体质","魔力","力量","耐力","敏捷"
"331006","1","2","","","",""
"331007","1","","2","","",""
"331008","1","","","2","",""
"331009","1","","","","2",""
"331010","1","","","","","2"
"331011","1","2","2","2","2","2"
"500202","1","2","","","",""
"500203","1","","2","","",""
"500204","1","","","2","",""
"500205","1","","","","2",""
"500206","1","","","","","2"
"400158","1","1","","","",""
"400159","1","","1","","",""
"400160","1","","","1","",""
"400161","1","","","","1",""
"400162","1","","","","","1"
"400163","1","1","1","1","1","1"
"400164","1","100","100","100","100","100"
"400165","1","1000","","","",""
"400166","1","","1000","","",""
"400167","1","","","1000","",""
"400168","1","","","","1000",""
"400169","1","","","","","1000"
"400170","1","500","","","",""
"400171","1","","500","","",""
"400172","1","","","500","",""
"400173","1","","","","500",""
"400174","1","","","","","500"
