"ID","颜色","道具ID","道具数量"
"1","ffffffff","331401","1"
"2","ffffffff","331402","1"
"3","ffffffff","331403","1"
"4","ffffffff","331404","1"
"5","ffffffff","331405","1"
"6","ffffffff","331406","1"
"7","ffffffff","331407","1"
"8","ffffffff","331408","1"
"9","ffffffff","331409","1"
"10","ffffffff","331410","1"
"11","ffffffff","331411","1"
"12","ffffffff","331412","1"
"13","ffffffff","331413","1"
"14","ffffffff","331414","1"
"15","ffffffff","331415","1"
"16","ffffffff","331416","1"
"17","ffffffff","331417","1"
"18","ffffffff","331418","1"
"19","ffffffff","331419","1"
"20","ffffffff","331420","1"
"21","ffffffff","331421","1"
"22","ffffffff","331422","1"
"23","ffffffff","331423","1"
"24","ffffffff","331424","1"
"25","ffffffff","331425","1"
"26","ffffffff","331426","1"
"27","ffffffff","331427","1"
"28","ffffffff","331428","1"
"29","ffffffff","331429","1"
"30","ffffffff","331430","1"
"31","ffffffff","331431","1"
"32","ffffffff","331432","1"
"33","ffffffff","331433","1"
"34","ffffffff","331434","1"
"35","ffffffff","331435","1"
"36","ffffffff","331436","1"
"37","ffffffff","331437","1"
"38","ffffffff","331438","1"
"39","ffffffff","331439","1"
"40","ffffffff","331440","1"
"41","ffffffff","331441","1"
"42","ffffffff","331442","1"
"43","ffffffff","331443","1"
"44","ffffffff","331444","1"
"45","ffffffff","331445","1"
"46","ffffffff","331446","1"
"47","ffffffff","331447","1"
"48","ffffffff","331448","1"
"49","ffffffff","331449","1"
"50","ffffffff","331450","1"
"51","ffffffff","331451","1"
"52","ffffffff","331452","1"
"53","ffffffff","331453","1"
"54","ffffffff","331454","1"
"55","ffffffff","331455","1"
"56","ffffffff","331456","1"
"57","ffffffff","331457","1"
"58","ffffffff","331458","1"
"59","ffffffff","331459","1"
"60","ffffffff","331460","1"
"61","ffffffff","331461","1"
"62","ffffffff","331462","1"
"63","ffffffff","331463","1"
"64","ffffffff","331464","1"
"65","ffffffff","331465","1"
"66","ffffffff","331466","1"
"67","ffffffff","331467","1"
"68","ffffffff","331468","1"
"69","ffffffff","331469","1"
"70","ffffffff","331470","1"
"71","ffffffff","331471","1"
"72","ffffffff","331472","1"
"73","ffffffff","331473","1"
"74","ffffffff","331474","1"
"75","ffffffff","331475","1"
"76","ffffffff","331476","1"
"77","ffffffff","331477","1"
"78","ffffffff","331478","1"
"79","ffffffff","331479","1"
"80","ffffffff","331480","1"
"81","ffffffff","331481","1"
"82","ffffffff","331482","1"
"83","ffffffff","331483","1"
"84","ffffffff","331484","1"
"85","ffffffff","331485","1"
"86","ffffffff","331486","1"
"87","ffffffff","331487","1"
"88","ffffffff","331488","1"
"89","ffffffff","331489","1"
"90","ffffffff","331490","1"
"91","ffffffff","331491","1"
"92","ffffffff","331492","1"
"93","ffffffff","331493","1"
"94","ffffffff","331494","1"
"95","ffffffff","331495","1"
"96","ffffffff","331496","1"
"97","ffffffff","331497","1"
"98","ffffffff","331498","1"
"99","ffffffff","331499","1"
"100","ffffffff","331500","1"
"101","ffffffff","331501","1"
"102","ffffffff","331502","1"
"103","ffffffff","331503","1"
"104","ffffffff","331504","1"
"105","ffffffff","331505","1"
"106","ffffffff","331506","1"
"107","ffffffff","331507","1"
"108","ffffffff","331508","1"
"109","ffffffff","331509","1"
"110","ffffffff","331510","1"
"111","ffffffff","331511","1"
"112","ffffffff","331512","1"
"113","ffffffff","331513","1"
"114","ffffffff","331514","1"
"115","ffffffff","331515","1"
"116","ffffffff","331516","1"
"117","ffffffff","331517","1"
"118","ffffffff","331518","1"
"119","ffffffff","331519","1"
"120","ffffffff","331520","1"
"121","ffffffff","331521","1"
"122","ffffffff","331522","1"
"123","ffffffff","331523","1"
"124","ffffffff","331524","1"
