"ID","套装名称","套装技能","宠物ID"
"1","高级必杀(套装)","246038",""
"2","高级连击(套装)","246039",""
"3","高级强力(套装)","246040",""
"4","高级突进(套装)","246041",""
"5","高级偷袭(套装)","246042",""
"6","高级法术暴击(套装)","246043",""
"7","高级法术连击(套装)","246044",""
"8","高级法术波动(套装)","246045",""
"9","高级魔之心(套装)","246046",""
"10","高级会心(套装)","246047",""
"11","高级冥思(套装)","246048",""
"12","高级吸血(套装)","246049",""
"13","高级再生(套装)","246050",""
"14","高级神佑复生(套装)","246051",""
"15","高级招架(套装)","246052",""
"16","高级反震(套装)","246053",""
"17","高级神迹(套装)","246054",""
"18","高级反击(套装)","246055",""
"19","高级敏捷(套装)","246056",""
"20","高级强壮(套装)","246057",""
"21","高级防御(套装)","246058",""
"22","高级法术防御(套装)","246059",""
"23","高级幸运(套装)","246060",""
"24","高级迟钝(套装)","246061",""
"25","高级火属性吸收(套装)","246062",""
"26","高级水属性吸收(套装)","246063",""
"27","高级土属性吸收(套装)","246064",""
"28","高级雷属性吸收(套装)","246065",""
"29","高级鬼魂术(套装)","246066",""
"30","高级驱鬼(套装)","246067",""
"31","高级隐身(套装)","246068",""
"32","高级感知(套装)","246069",""
"33","高级永恒(套装)","246070",""
"34","高级精神集中(套装)","246071",""
"35","高级毒(套装)","246072",""
