"id","法宝名字","类型","图标","价格","介绍"
"1","碧玉葫芦","2","1807","2","增加佩戴者的治疗强度"
"2","飞剑","2","1806","2","增加佩戴者的物理伤害"
"3","风袋","2","1805","2","增加佩戴者的速度,不受番天印影响"
"4","附灵玉","2","1820","2","增加佩戴者的法术伤害"
"5","九黎战鼓","2","1804","2","增加佩戴者召唤灵的物理伤害"
"6","盘龙壁","2","1803","2","增加佩戴者召唤灵的物理和法术防御"
"7","神行飞剑","2","1802","2","战斗中增加佩戴者召唤灵的速度,不受番天印影响"
"8","汇灵盏","2","1801","2","战斗中增加佩戴者召唤灵的法术伤害"
"9","金甲仙衣","2","1821","3","佩戴者受到物理攻击时，有几率降低部分伤害"
"10","降魔斗篷","2","1824","3","佩戴者受到法术攻击时,有几率降低部分伤害"
"11","七宝玲珑塔","2","1800","5","战斗中概率吸收四系法术伤害"
"12","无量经","2","1811","8","增加人物魔法上限，附加法术连击"
"13","玄武甲","2","1819","8","增加人物物理防御"
"14","朱雀盾","2","1809","8","增加人物法术防御"
"15","两仪灵鼓","2","1810","8","增加人物气血上限"
"16","乾坤玄火塔","1","1828","8","战斗中使用，使自身在4回合内增加愤怒"
"17","苍白纸人","1","1817","8","战斗中使用,使自身在3回合内免除部分物理和法术伤害"
"18","惊魂铃","1","1826","6","对敌方召唤灵使用,有几率将其吓的立即逃跑"
"19","混元伞","1","1827","8","战斗中使用，使自身在3回合内化解部分物理和法术伤害并反弹给攻击者"
"20","神木面具","1","1812","2","战斗中使用后,降低当前回合受到的第一次攻击伤害"
"21","无尘扇","1","1813","5","对敌方单人使用，4回合内持续降低目标愤怒"
"22","番天印","1","1808","6","对敌方单人使用，如果命中，4回合内目标携带的被动法宝失效,无法使用主动法宝"
"23","安魂咒","2","1814","8","增加人物暴击抵抗"
"24","招魂幡","1","1822","8","战斗中对倒地鬼魂单位使用有几率复活自标，并回复一定气血和魔法"
"25","醒神笔","1","1813","8","战斗中对本方单位使用,有几率解除其身上所有减益效果(包括被击败单位可解除死亡禁锢)"
"26","清心咒","2","1825","8","战斗中对本方单人使用,有几率解除自标因主动法宝导致的异常状态"
"27","通灵号","1","1818","8","战斗中可随机召唤一个助战出场协助战斗"
"28","暴雨梨花","1","1816","8","战斗中对敌方群体使用,对自标造成固定伤害并概率中"
"29","捆仙绳","1","1815","6","对敌方单人使用，降低目标4回合速度"
"30","无魂傀儡","1","1829","8","对敌方单人使用,持续3回合。被无魂傀儡影响的目标，出手时有一定几率随机普通攻击"
