"id","特效1","特效2","特效3","特效4","特效5","特效6","特效7","特效8","特效9","特效10","进阶道具ID","进阶材料数量1","进阶材料数量2","进阶材料数量3","洗炼道具ID","洗炼材料数量1","洗炼材料数量2","洗炼材料数量3","洗炼材料数量4"
"1","440001","440002","440003","440004","440005","440006","440007","440008","440009","440010","431143","10","20","30","431063","10","20","30","30"
"2","440011","440012","440013","440014","440015","440016","440017","440018","440019","440020","431143","10","20","30","431064","10","20","30","30"
"3","440021","440022","440023","440024","440025","440026","440027","440028","440029","440030","431143","10","20","30","431065","10","20","30","30"
"4","440031","440032","440033","440034","440035","440036","440037","440038","440039","440040","431143","10","20","30","431066","10","20","30","30"
"5","440041","440042","440043","440044","440045","440046","440047","440048","440049","440050","431143","10","20","30","431067","10","20","30","30"
"6","440051","440052","440053","440054","440055","440056","440057","440058","440059","440060","431143","10","20","30","431068","10","20","30","30"
"7","440061","440062","440063","440064","440065","440066","440067","440068","440069","440070","431143","10","20","30","431069","10","20","30","30"
"8","440071","440072","440073","440074","440075","440076","440077","440078","440079","440080","431143","10","20","30","431070","10","20","30","30"
"9","440081","440082","440083","440084","440085","440086","440087","440088","440089","440090","431143","10","20","30","431071","10","20","30","30"
"10","440091","440092","440093","440094","440095","440096","440097","440098","440099","440100","431143","10","20","30","431072","10","20","30","30"
"11","440101","440102","440103","440104","440105","440106","440107","440108","440109","440110","431143","10","20","30","431073","10","20","30","30"
"12","440111","440112","440113","440114","440115","440116","440117","440118","440119","440120","431143","10","20","30","431074","10","20","30","30"
"13","440121","440122","440123","440124","440125","440126","440127","440128","440129","440130","431143","10","20","30","431075","10","20","30","30"
"14","440131","440132","440133","440134","440135","440136","440137","440138","440139","440140","431143","10","20","30","431076","10","20","30","30"
"15","440141","440142","440143","440144","440145","440146","440147","440148","440149","440150","431143","10","20","30","431077","10","20","30","30"
"16","440151","440152","440153","440154","440155","440156","440157","440158","440159","440160","431143","10","20","30","431078","10","20","30","30"
"17","440161","440162","440163","440164","440165","440166","440167","440168","440169","440170","431143","10","20","30","431079","10","20","30","30"
"18","440171","440172","440173","440174","440175","440176","440177","440178","440179","440180","431143","10","20","30","431080","10","20","30","30"
"19","440181","440182","440183","440184","440185","440186","440187","440188","440189","440190","431143","10","20","30","431081","10","20","30","30"
"20","440191","440192","440193","440194","440195","440196","440197","440198","440199","440200","431143","10","20","30","431082","10","20","30","30"
"21","440201","440202","440203","440204","440205","440206","440207","440208","440209","440210","431143","10","20","30","431083","10","20","30","30"
"22","440211","440212","440213","440214","440215","440216","440217","440218","440219","440220","431143","10","20","30","431084","10","20","30","30"
"23","440221","440222","440223","440224","440225","440226","440227","440228","440229","440230","431143","10","20","30","431085","10","20","30","30"
"24","440231","440232","440233","440234","440235","440236","440237","440238","440239","440240","431143","10","20","30","431086","10","20","30","30"
"25","440241","440242","440243","440244","440245","440246","440247","440248","440249","440250","431143","10","20","30","431087","10","20","30","30"
"26","440251","440252","440253","440254","440255","440256","440257","440258","440259","440260","431143","10","20","30","431088","10","20","30","30"
"27","440261","440262","440263","440264","440265","440266","440267","440268","440269","440270","431143","10","20","30","431089","10","20","30","30"
"28","440271","440272","440273","440274","440275","440276","440277","440278","440279","440280","431143","10","20","30","431090","10","20","30","30"
"29","440281","440282","440283","440284","440285","440286","440287","440288","440289","440290","431143","10","20","30","431091","10","20","30","30"
"30","440291","440292","440293","440294","440295","440296","440297","440298","440299","440300","431143","10","20","30","431092","10","20","30","30"
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
