"id","槽1-1","槽1-2","槽1-3","槽1-4","槽1-5","槽1-6","槽1-7","槽1-8","槽1-9","槽1-10","槽2-1","槽2-2","槽2-3","槽2-4","槽2-5","槽2-6","槽2-7","槽2-8","槽2-9","槽2-10","槽3-1","槽3-2","槽3-3","槽3-4","槽3-5","槽3-6","槽3-7","槽3-8","槽3-9","槽3-10","槽4-1","槽4-2","槽4-3","槽4-4","槽4-5","槽4-6","槽4-7","槽4-8","槽4-9","槽4-10"
"1","430040","430040","430040","430040","430040","430040","430040","430040","430040","430040","430040","430040","430040","430040","430040","430040","430040","430040","430040","430040","430040","430040","430040","430040","430040","430040","430040","430040","430040","430040","430040","430040","430040","430040","430040","430040","430040","430040","430040","430040"
"2","430041","430041","430041","430041","430041","430041","430041","430041","430041","430041","430041","430041","430041","430041","430041","430041","430041","430041","430041","430041","430041","430041","430041","430041","430041","430041","430041","430041","430041","430041","430041","430041","430041","430041","430041","430041","430041","430041","430041","430041"
"3","430042","430042","430042","430042","430042","430042","430042","430042","430042","430042","430042","430042","430042","430042","430042","430042","430042","430042","430042","430042","430042","430042","430042","430042","430042","430042","430042","430042","430042","430042","430042","430042","430042","430042","430042","430042","430042","430042","430042","430042"
"4","430043","430043","430043","430043","430043","430043","430043","430043","430043","430043","430043","430043","430043","430043","430043","430043","430043","430043","430043","430043","430043","430043","430043","430043","430043","430043","430043","430043","430043","430043","430043","430043","430043","430043","430043","430043","430043","430043","430043","430043"
"5","430044","430044","430044","430044","430044","430044","430044","430044","430044","430044","430044","430044","430044","430044","430044","430044","430044","430044","430044","430044","430044","430044","430044","430044","430044","430044","430044","430044","430044","430044","430044","430044","430044","430044","430044","430044","430044","430044","430044","430044"
"6","430045","430045","430045","430045","430045","430045","430045","430045","430045","430045","430045","430045","430045","430045","430045","430045","430045","430045","430045","430045","430045","430045","430045","430045","430045","430045","430045","430045","430045","430045","430045","430045","430045","430045","430045","430045","430045","430045","430045","430045"
"7","430046","430046","430046","430046","430046","430046","430046","430046","430046","430046","430046","430046","430046","430046","430046","430046","430046","430046","430046","430046","430046","430046","430046","430046","430046","430046","430046","430046","430046","430046","430046","430046","430046","430046","430046","430046","430046","430046","430046","430046"
"8","430047","430047","430047","430047","430047","430047","430047","430047","430047","430047","430047","430047","430047","430047","430047","430047","430047","430047","430047","430047","430047","430047","430047","430047","430047","430047","430047","430047","430047","430047","430047","430047","430047","430047","430047","430047","430047","430047","430047","430047"
"9","430048","430048","430048","430048","430048","430048","430048","430048","430048","430048","430048","430048","430048","430048","430048","430048","430048","430048","430048","430048","430048","430048","430048","430048","430048","430048","430048","430048","430048","430048","430048","430048","430048","430048","430048","430048","430048","430048","430048","430048"
"10","430049","430049","430049","430049","430049","430049","430049","430049","430049","430049","430049","430049","430049","430049","430049","430049","430049","430049","430049","430049","430049","430049","430049","430049","430049","430049","430049","430049","430049","430049","430049","430049","430049","430049","430049","430049","430049","430049","430049","430049"
"11","430050","430050","430050","430050","430050","430050","430050","430050","430050","430050","430050","430050","430050","430050","430050","430050","430050","430050","430050","430050","430050","430050","430050","430050","430050","430050","430050","430050","430050","430050","430050","430050","430050","430050","430050","430050","430050","430050","430050","430050"
"12","430051","430051","430051","430051","430051","430051","430051","430051","430051","430051","430051","430051","430051","430051","430051","430051","430051","430051","430051","430051","430051","430051","430051","430051","430051","430051","430051","430051","430051","430051","430051","430051","430051","430051","430051","430051","430051","430051","430051","430051"
