"职业id","法宝名字","图标","条件1","条件2","条件3","条件4","特效1","特效2","特效3","特效4","特效5","特效6","特效7","特效8","特效9","特效10","进阶道具ID","进阶材料数量1","进阶材料数量2","进阶材料数量3","洗炼道具ID","洗炼材料数量1","洗炼材料数量2","洗炼材料数量3","洗炼材料数量4","法宝材料","合成花费银币","合成花费金币","合成材料ID","合成材料数量"
"11","鸿鸣刀","1144","2","5","13","23","420015","420002","420003","420004","420005","420006","420007","420008","420009","420010","331115","10","20","30","331115","10","20","30","30","331101","1000","2000","331101","10"
"12","天师符","1152","2","3","7","13","420016","420002","420003","420004","420005","420006","420007","420008","420009","420010","331115","10","20","30","331115","10","20","30","30","331102","1000","2000","331102","10"
"13","万兽圣令","1154","5","23","17","2","420017","420002","420003","420004","420005","420006","420007","420008","420009","420010","331115","10","20","30","331115","10","20","30","30","331103","1000","2000","331103","10"
"14","祭魄印","1145","24","6","17","2","420018","420002","420003","420004","420005","420006","420007","420008","420009","420010","331115","10","20","30","331115","10","20","30","30","331104","1000","2000","331104","10"
"15","凝海珠","1149","8","12","4","23","420019","420002","420003","420004","420005","420006","420007","420008","420009","420010","331115","10","20","30","331115","10","20","30","30","331105","1000","2000","331105","10"
"16","琼华玉露","1151","1","24","6","12","420020","420002","420003","420004","420005","420006","420007","420008","420009","420010","331115","10","20","30","331115","10","20","30","30","331106","1000","2000","331106","10"
"17","烈焰杖","1146","23","8","17","4","420021","420002","420003","420004","420005","420006","420007","420008","420009","420010","331115","10","20","30","331115","10","20","30","30","331107","1000","2000","331107","10"
"18","无尘雪","1155","5","23","12","2","420022","420002","420003","420004","420005","420006","420007","420008","420009","420010","331115","10","20","30","331115","10","20","30","30","331108","1000","2000","331108","10"
"19","弥音禅钟","1148","24","6","1","13","420023","420002","420003","420004","420005","420006","420007","420008","420009","420010","331115","10","20","30","331115","10","20","30","30","331109","1000","2000","331109","10"
"20","万鬼木鱼","1153","5","23","12","2","420023","420002","420003","420004","420005","420006","420007","420008","420009","420010","331115","10","20","30","331115","10","20","30","30","331109","1000","2000","331109","10"
"21","灵明仙桃","1147","23","8","17","4","420023","420002","420003","420004","420005","420006","420007","420008","420009","420010","331115","10","20","30","331115","10","20","30","30","331109","1000","2000","331109","10"
"22","沁香花藤","1150","2","3","7","13","420023","420002","420003","420004","420005","420006","420007","420008","420009","420010","331115","10","20","30","331115","10","20","30","30","331109","1000","2000","331109","10"
