"道具ID","备注","进阶ID","进阶ID1","需求ID","进阶数量","进阶数量1"
"219001","","219002","219002","500120","1","1"
"219002","","219003","219003","500120","1","1"
"219003","","219004","219004","500120","1","1"
"219004","","219005","219005","500120","1","1"
"219005","","219006","219006","500120","1","1"
"219101","","219102","219102","500120","1","1"
"219102","","219103","219103","500120","1","1"
"219103","","219104","219104","500120","1","1"
"219104","","219105","219105","500120","1","1"
"219105","","219106","219106","500120","1","1"
"219201","","219202","219202","500120","1","1"
"219202","","219203","219203","500120","1","1"
"219203","","219204","219204","500120","1","1"
"219204","","219205","219205","500120","1","1"
"219205","","219206","219206","500120","1","1"
