"序号","标题","感谢语","祝福语","道具1","道具1名称","数量1","道具2","道具2名称","数量2","道具3","道具3名称","数量3","道具4","道具4名称","数量4","道具5","道具5名称","数量5","道具6","道具6名称","数量6","奖励平台币","物品需要包裹格"
"1","周-人物榜第一名奖励","您对梦幻西游的支持","龙年大吉！！好运连连！！心想事成！！万事如意！！","259102","","1","254308","","1","","","","","","","","","","","","","0","3"
"2","周-人物榜第二名奖励","您对梦幻西游的支持","龙年大吉！！好运连连！！心想事成！！万事如意！！","259220","","1","254307","","4","","","","","","","","","","","","","0","3"
"3","周-人物榜第三名奖励","您对梦幻西游的支持","龙年大吉！！好运连连！！心想事成！！万事如意！！","259206","","1","254307","","3","","","","","","","","","","","","","0","3"
"4","周-人物榜第四名奖励","您对梦幻西游的支持","龙年大吉！！好运连连！！心想事成！！万事如意！！","259205","","1","254307","","2","","","","","","","","","","","","","0","3"
"5","周-人物榜第五名奖励","您对梦幻西游的支持","龙年大吉！！好运连连！！心想事成！！万事如意！！","259204","","1","254307","","1","","","","","","","","","","","","","0","3"
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
