"序号","标题","感谢语","祝福语","道具1","道具1名称","数量1","道具2","道具2名称","数量2","道具3","道具3名称","数量3","道具4","道具4名称","数量4","道具5","道具5名称","数量5","道具6","道具6名称","数量6","奖励平台币","物品需要包裹格","礼包id","数量"
"1","人物榜第一名奖励","您对梦幻西游的支持","龙年大吉！！好运连连！！心想事成！！万事如意！！","259311","十万仙玉卷","2","0","","0","0","","0","0","","0","0","","0","0","","0","0","1","600906","1"
"2","人物榜第二名奖励","您对梦幻西游的支持","龙年大吉！！好运连连！！心想事成！！万事如意！！","259311","十万仙玉卷","1","259310","五万仙玉卷","1","0","","0","0","","0","0","","0","0","","0","0","1","600907","1"
"3","人物榜第三名奖励","您对梦幻西游的支持","龙年大吉！！好运连连！！心想事成！！万事如意！！","259311","十万仙玉卷","1","0","","0","0","","0","0","","0","0","","0","0","","0","0","1","600908","1"
"4","人物榜第四名奖励","您对梦幻西游的支持","龙年大吉！！好运连连！！心想事成！！万事如意！！","259310","五万仙玉卷","1","259308","两万仙玉卷","1","259309","一万仙玉卷","1","0","","0","0","","0","0","","0","0","1","600909","1"
"5","人物榜第五名奖励","您对梦幻西游的支持","龙年大吉！！好运连连！！心想事成！！万事如意！！","259310","五万仙玉卷","1","0","","0","0","","0","0","","0","0","","0","0","","0","0","1","600910","1"
"6","人物榜第一名奖励","您对梦幻西游的支持","龙年大吉！！好运连连！！心想事成！！万事如意！！","259310","五万仙玉卷","1","0","","0","0","","0","0","","0","0","","0","0","","0","0","1","600910","1"
"7","人物榜第二名奖励","您对梦幻西游的支持","龙年大吉！！好运连连！！心想事成！！万事如意！！","259310","五万仙玉卷","1","0","","0","0","","0","0","","0","0","","0","0","","0","0","1","600910","1"
"8","人物榜第三名奖励","您对梦幻西游的支持","龙年大吉！！好运连连！！心想事成！！万事如意！！","259310","五万仙玉卷","1","0","","0","0","","0","0","","0","0","","0","0","","0","0","1","600910","1"
"9","人物榜第四名奖励","您对梦幻西游的支持","龙年大吉！！好运连连！！心想事成！！万事如意！！","259310","五万仙玉卷","1","0","","0","0","","0","0","","0","0","","0","0","","0","0","1","600910","1"
"10","人物榜第五名奖励","您对梦幻西游的支持","龙年大吉！！好运连连！！心想事成！！万事如意！！","259310","五万仙玉卷","1","0","","0","0","","0","0","","0","0","","0","0","","0","0","1","600910","1"
