"序号","标题","感谢语","祝福语","道具或者宠物1","道具1名称","数量1","道具2","道具2名称","数量2","道具3","道具3名称","数量3","道具4","道具4名称","数量4","道具5","道具5名称","数量5","道具6","道具6名称","数量6","道具7","道具7名称","数量7","道具8","道具8名称","数量8","奖励平台币","物品需要包裹格","礼包id","数量"
"1","综合榜第一名奖励","感谢您对追梦西游2的支持","龙年大吉！！好运连连！！心想事成！！万事如意！！","400160","百年蟠桃•金","10","400158","百年蟠桃•木","10","400162","百年蟠桃•水","10","400159","百年蟠桃•火","10","400161","百年蟠桃•土","10","0","","0","0","","0","0","","0","","1","600901","1"
"2","综合榜第二名奖励","感谢您对追梦西游2的支持","龙年大吉！！好运连连！！心想事成！！万事如意！！","400160","百年蟠桃•金","8","400158","百年蟠桃•木","8","400162","百年蟠桃•水","8","400159","百年蟠桃•火","8","400161","百年蟠桃•土","8","0","","0","0","","0","0","","0","","1","600902","1"
"3","综合榜第三名奖励","感谢您对追梦西游2的支持","龙年大吉！！好运连连！！心想事成！！万事如意！！","400160","百年蟠桃•金","5","400158","百年蟠桃•木","5","400162","百年蟠桃•水","5","400159","百年蟠桃•火","5","400161","百年蟠桃•土","5","0","","0","0","","0","0","","0","","1","600903","1"
"4","综合榜第四名奖励","感谢您对追梦西游2的支持","龙年大吉！！好运连连！！心想事成！！万事如意！！","400160","百年蟠桃•金","3","400158","百年蟠桃•木","3","400162","百年蟠桃•水","3","400159","百年蟠桃•火","3","400161","百年蟠桃•土","3","0","","0","0","","0","0","","0","","1","600904","1"
"5","综合榜第五名奖励","感谢您对追梦西游2的支持","龙年大吉！！好运连连！！心想事成！！万事如意！！","400160","百年蟠桃•金","1","400158","百年蟠桃•木","1","400162","百年蟠桃•水","1","400159","百年蟠桃•火","1","400161","百年蟠桃•土","1","0","","0","0","","0","0","","0","","1","600905","1"
"6","综合榜第六名奖励","感谢您对追梦西游2的支持","龙年大吉！！好运连连！！心想事成！！万事如意！！","400160","百年蟠桃•金","1","400158","百年蟠桃•木","1","400162","百年蟠桃•水","1","400159","百年蟠桃•火","1","400161","百年蟠桃•土","1","0","","0","0","","0","0","","0","","1","600905","1"
"7","综合榜第七名奖励","感谢您对追梦西游2的支持","龙年大吉！！好运连连！！心想事成！！万事如意！！","400160","百年蟠桃•金","1","400158","百年蟠桃•木","1","400162","百年蟠桃•水","1","400159","百年蟠桃•火","1","400161","百年蟠桃•土","1","0","","0","0","","0","0","","0","","1","600905","1"
"8","综合榜第八名奖励","感谢您对追梦西游2的支持","龙年大吉！！好运连连！！心想事成！！万事如意！！","400160","百年蟠桃•金","1","400158","百年蟠桃•木","1","400162","百年蟠桃•水","1","400159","百年蟠桃•火","1","400161","百年蟠桃•土","1","0","","0","0","","0","0","","0","","1","600905","1"
"9","综合榜第九名奖励","感谢您对追梦西游2的支持","龙年大吉！！好运连连！！心想事成！！万事如意！！","400160","百年蟠桃•金","1","400158","百年蟠桃•木","1","400162","百年蟠桃•水","1","400159","百年蟠桃•火","1","400161","百年蟠桃•土","1","0","","0","0","","0","0","","0","","1","600905","1"
"10","综合榜第十名奖励","感谢您对追梦西游2的支持","龙年大吉！！好运连连！！心想事成！！万事如意！！","400160","百年蟠桃•金","1","400158","百年蟠桃•木","1","400162","百年蟠桃•水","1","400159","百年蟠桃•火","1","400161","百年蟠桃•土","1","0","","0","0","","0","0","","0","","1","600905","1"
