"id","策划备注","物品1","物品2","物品3","物品4","物品5","物品6","物品7","物品8","物品9","物品10","物品11","物品12","物品13","物品14","物品15","物品16","物品17","物品18","物品19","物品20","物品21","物品22","物品23","物品24","物品25","物品26","物品27","物品28","物品29","物品30"
"20","暂未使用","1;2;341101;0;250;0;0;0","1;1;341102;0;250;0;0;0","1;1;341103;0;250;0;0;0","1;1;341104;0;250;0;0;0","1;1;341105;0;250;0;0;0","1;1;341106;0;100;0;0;0","","","","","","","","","","","","","","","","","","","","","","","",""
"21","暂未使用","5;1;200011;0;20;0;0;0","5;1;200032;0;20;0;0;0","5;1;360000;0;40;0;0;0","1;1;32037;0;40;0;0;0","1;1;32038;0;40;0;0;0","","","","","","","","","","","","","","","","","","","","","","","","",""
"22","暂未使用","5;1;200011;0;20;0;0;0","5;1;200032;0;20;0;0;0","5;1;360000;0;40;0;0;0","1;1;32037;0;30;0;0;0","1;1;32038;0;30;0;0;0","1;1;32014;14;0;0;0","1;1;32015;14;0;0;0","5;1;310100;0;15;0;0;0","5;1;310101;0;5;0;0;0","","","","","","","","","","","","","","","","","","","","",""
"23","暂未使用","5;1;200011;0;20;0;0;0","5;1;200033;0;20;0;0;0","5;1;360000;0;40;0;0;0","1;1;32037;0;40;0;0;0","1;1;32038;0;40;0;0;0","","","","","","","","","","","","","","","","","","","","","","","","",""
"24","暂未使用","5;1;200011;0;20;0;0;0","5;1;200033;0;20;0;0;0","5;1;360000;0;40;0;0;0","1;1;32037;0;30;0;0;0","1;1;32038;0;30;0;0;0","1;1;32014;14;0;0;0","1;1;32015;14;0;0;0","5;1;310100;0;15;0;0;0","5;1;310101;0;5;0;0;0","","","","","","","","","","","","","","","","","","","","",""
"25","秘境降妖-S级宝箱","5;1;200801;0;100;1;0;0","5;1;200068;0;100;0;0;0","5;1;200069;0;100;0;0;0","5;1;200070;0;100;0;0;0","1;1;310104;0;100;0;0;0","","","","","","","","","","","","","","","","","","","","","","","","",""
"26","秘境降妖-A级宝箱","5;1;200068;0;100;0;0;0","5;1;200069;0;100;0;0;0","5;1;200067;0;100;0;0;0","1;1;310102;0;100;0;0;0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"27","秘境降妖-B级宝箱","5;1;200068;0;100;0;0;0","5;1;200872;0;100;0;0;0","5;1;200067;0;100;0;0;0","1;1;310102;0;100;0;0;0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"28","秘境降妖-C级宝箱","5;1;200068;0;100;0;0;0","5;1;200872;0;100;0;0;0","5;1;200067;0;100;0;0;0","1;1;310102;0;100;0;0;0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"29","副本-S级宝箱","5;1;200066;0;140;0;0;0","5;1;200067;0;200;0;0;0","5;1;200068;0;120;0;0;0","5;1;200069;0;110;0;0;0","5;1;200073;0;40;0;0;0","5;1;200168;0;0;0;0;0","5;1;200169;0;110;0;0;0","5;1;200172;0;140;0;0;0","5;1;200176;0;60;0;0;0","5;1;200177;0;80;0;0;0","","","","","","","","","","","","","","","","","","","",""
"30","副本-A级宝箱","5;1;200066;0;240;0;0;0","5;1;200067;0;200;0;0;0","5;1;200068;0;120;0;0;0","5;1;200069;0;60;0;0;0","5;1;200073;0;40;0;0;0","5;1;200168;0;0;0;0;0","5;1;200169;0;60;0;0;0","5;1;200169;0;240;0;0;0","5;1;200176;0;10;0;0;0","5;1;200176;0;30;0;0;0","","","","","","","","","","","","","","","","","","","",""
"31","副本-B级宝箱","5;1;200066;0;270;0;0;0","5;1;200067;0;130;0;0;0","5;1;200068;0;120;0;0;0","5;1;200069;0;30;0;0;0","5;1;200073;0;20;0;0;0","5;1;200168;0;0;0;0;0","5;1;200169;0;100;0;0;0","5;1;200169;0;270;0;0;0","5;1;200176;0;0;0;0;0","5;1;200176;0;60;0;0;0","","","","","","","","","","","","","","","","","","","",""
"32","副本-C级宝箱","5;1;200066;0;310;0;0;0","5;1;200067;0;0;0;0;0","5;1;200068;0;190;0;0;0","5;1;200069;0;0;0;0;0","5;1;200073;0;0;0;0;0","5;1;200168;0;0;0;0;0","5;1;200169;0;130;0;0;0","5;1;200169;0;310;0;0;0","5;1;200176;0;0;0;0;0","5;1;200176;0;60;0;0;0","","","","","","","","","","","","","","","","","","","",""
