"公会金库等级","升级费用","公会工资常数","公会工资系数","公会资金上限","备注","公会金库维护费用/天"
"0","15000000","20000","200000","150000000","","120000"
"1","30000000","40000","400000","300000000","","240000"
"2","45000000","60000","600000","450000000","","360000"
"3","60000000","80000","800000","600000000","","480000"
"4","75000000","100000","1000000","750000000","","600000"
"5","99999999","120000","1200000","1400000000","","720000"
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
