定时活动配置表id,注释（策划备注）,活动开始时间,距离活动开始间隔时间,间隔刷新时间,触发时间随机,刷新时系统提示信息编号,刷新方式,补怪数量上限,补怪持续时间,刷新列表,刷新列表数量,每种NPC数量,刷新场景,刷新场景个数,怪物存在时间,击杀奖励个数,奖励ID,匹配等级方式,奖励个数超过提示编号,是否组队,组队人数要求,需求等级下限,需求等级上限,次数,补怪方式,对应事件刷新ID,观战,消失,对应活动表ID,分级奖励,在线人数刷新,匹配秒数,是否匹配,次数击杀,分级次数,刷新控制,刷新控制总数量,延迟秒数,延迟刷怪提示,数量分配方式,场景中数量分配方式
230001,金宝箱,00:05:00,,3600,,170015,0,1,0,183706,1,50,1614@8;1615@8;1616@8,3,3600,0,0,,0,0,0,1,300,0,1,,0,0,230,,,,,,,,,,,1,1
230002,金宝箱,00:05:00,,3600,,170015,0,1,0,183706,1,50,1614@8;1615@8;1616@8,3,3600,0,0,,0,0,0,1,300,0,1,,0,0,230,,,,,,,,,,,1,1
230003,金宝箱,00:05:00,,3600,,170015,0,1,0,183706,1,50,1614@8;1615@8;1616@8,3,3600,0,0,,0,0,0,1,300,0,1,,0,0,230,,,,,,,,,,,1,1
230004,金宝箱,00:05:00,,3600,,170015,0,1,0,183706,1,50,1614@8;1615@8;1616@8,3,3600,0,0,,0,0,0,1,300,0,1,,0,0,230,,,,,,,,,,,1,1
230005,金宝箱,00:05:00,,3600,,170015,0,1,0,183706,1,50,1614@8;1615@8;1616@8,3,3600,0,0,,0,0,0,1,300,0,1,,0,0,230,,,,,,,,,,,1,1
230006,金宝箱,00:05:00,,3600,,170015,0,1,0,183706,1,50,1614@8;1615@8;1616@8,3,3600,0,0,,0,0,0,1,300,0,1,,0,0,230,,,,,,,,,,,1,1
230007,金宝箱,00:05:00,,3600,,170015,0,1,0,183706,1,50,1614@8;1615@8;1616@8,3,3600,0,0,,0,0,0,1,300,0,1,,0,0,230,,,,,,,,,,,1,1
230008,银宝箱,00:05:00,,3600,,170016,0,1,0,183707,1,10,1609@8;1610@8;1611@8,3,3600,0,0,,0,0,0,1,300,0,1,,0,0,230,,,,,,,,,,,1,1
230009,银宝箱,00:05:00,,3600,,170016,0,1,0,183707,1,10,1609@8;1610@8;1611@8,3,3600,0,0,,0,0,0,1,300,0,1,,0,0,230,,,,,,,,,,,1,1
230010,银宝箱,00:05:00,,3600,,170016,0,1,0,183707,1,10,1609@8;1610@8;1611@8,3,3600,0,0,,0,0,0,1,300,0,1,,0,0,230,,,,,,,,,,,1,1
230011,银宝箱,00:05:00,,3600,,170016,0,1,0,183707,1,10,1609@8;1610@8;1611@8,3,3600,0,0,,0,0,0,1,300,0,1,,0,0,230,,,,,,,,,,,1,1
230012,银宝箱,00:05:00,,3600,,170016,0,1,0,183707,1,10,1609@8;1610@8;1611@8,3,3600,0,0,,0,0,0,1,300,0,1,,0,0,230,,,,,,,,,,,1,1
230013,银宝箱,00:05:00,,3600,,170016,0,1,0,183707,1,10,1609@8;1610@8;1611@8,3,3600,0,0,,0,0,0,1,300,0,1,,0,0,230,,,,,,,,,,,1,1
230014,银宝箱,00:05:00,,3600,,170016,0,1,0,183707,1,10,1609@8;1610@8;1611@8,3,3600,0,0,,0,0,0,1,300,0,1,,0,0,230,,,,,,,,,,,1,1
270001,大雁塔1星,00:00:05,,1800,,192129,0,0,0,"250000,250001",2,10,5001@8;5002@8,2,3600,50,6993,,150524,1,1,50,300,0,0,,1,0,270,,,,,,,,,,,1,1
270002,大雁塔1星,00:00:05,,1800,,192129,0,0,0,"250000,250001",2,10,5001@8;5002@8,2,3600,50,6993,,150524,1,1,50,300,0,0,,1,0,270,,,,,,,,,,,1,1
270003,大雁塔1星,00:00:05,,1800,,192129,0,0,0,"250000,250001",2,10,5001@8;5002@8,2,3600,50,6993,,150524,1,1,50,300,0,0,,1,0,270,,,,,,,,,,,1,1
270004,大雁塔1星,00:00:05,,1800,,192129,0,0,0,"250000,250001",2,10,5001@8;5002@8,2,3600,50,6993,,150524,1,1,50,300,0,0,,1,0,270,,,,,,,,,,,1,1
270005,大雁塔1星,00:00:05,,1800,,192129,0,0,0,"250000,250001",2,10,5001@8;5002@8,2,3600,50,6993,,150524,1,1,50,300,0,0,,1,0,270,,,,,,,,,,,1,1
270006,大雁塔1星,00:00:05,,1800,,192129,0,0,0,"250000,250001",2,10,5001@8;5002@8,2,3600,50,6993,,150524,1,1,50,300,0,0,,1,0,270,,,,,,,,,,,1,1
270007,大雁塔1星,00:00:05,,1800,,192129,0,0,0,"250000,250001",2,10,5001@8;5002@8,2,3600,50,6993,,150524,1,1,50,300,0,0,,1,0,270,,,,,,,,,,,1,1
270008,大雁塔2星,00:00:05,,1800,,192129,0,0,0,"250002,250003",2,10,5003@8;5004@8,2,3600,50,6994,,150524,1,1,50,300,0,0,,1,0,270,,,,,,,,,,,1,1
270009,大雁塔2星,00:00:05,,1800,,192129,0,0,0,"250002,250003",2,10,5003@8;5004@8,2,3600,50,6994,,150524,1,1,50,300,0,0,,1,0,270,,,,,,,,,,,1,1
270010,大雁塔2星,00:00:05,,1800,,192129,0,0,0,"250002,250003",2,10,5003@8;5004@8,2,3600,50,6994,,150524,1,1,50,300,0,0,,1,0,270,,,,,,,,,,,1,1
270011,大雁塔2星,00:00:05,,1800,,192129,0,0,0,"250002,250003",2,10,5003@8;5004@8,2,3600,50,6994,,150524,1,1,50,300,0,0,,1,0,270,,,,,,,,,,,1,1
270012,大雁塔2星,00:00:05,,1800,,192129,0,0,0,"250002,250003",2,10,5003@8;5004@8,2,3600,50,6994,,150524,1,1,50,300,0,0,,1,0,270,,,,,,,,,,,1,1
270013,大雁塔2星,00:00:05,,1800,,192129,0,0,0,"250002,250003",2,10,5003@8;5004@8,2,3600,50,6994,,150524,1,1,50,300,0,0,,1,0,270,,,,,,,,,,,1,1
270014,大雁塔2星,00:00:05,,1800,,192129,0,0,0,"250002,250003",2,10,5003@8;5004@8,2,3600,50,6994,,150524,1,1,50,300,0,0,,1,0,270,,,,,,,,,,,1,1
270015,大雁塔3星,00:00:05,,1800,,192129,0,0,0,"250004,250005",2,10,5005@8;5006@8,2,3600,50,6995,,150524,1,1,50,300,0,0,,1,0,270,,,,,,,,,,,1,1
270016,大雁塔3星,00:00:05,,1800,,192129,0,0,0,"250004,250005",2,10,5005@8;5006@8,2,3600,50,6995,,150524,1,1,50,300,0,0,,1,0,270,,,,,,,,,,,1,1
270017,大雁塔3星,00:00:05,,1800,,192129,0,0,0,"250004,250005",2,10,5005@8;5006@8,2,3600,50,6995,,150524,1,1,50,300,0,0,,1,0,270,,,,,,,,,,,1,1
270018,大雁塔3星,00:00:05,,1800,,192129,0,0,0,"250004,250005",2,10,5005@8;5006@8,2,3600,50,6995,,150524,1,1,50,300,0,0,,1,0,270,,,,,,,,,,,1,1
270019,大雁塔3星,00:00:05,,1800,,192129,0,0,0,"250004,250005",2,10,5005@8;5006@8,2,3600,50,6995,,150524,1,1,50,300,0,0,,1,0,270,,,,,,,,,,,1,1
270020,大雁塔3星,00:00:05,,1800,,192129,0,0,0,"250004,250005",2,10,5005@8;5006@8,2,3600,50,6995,,150524,1,1,50,300,0,0,,1,0,270,,,,,,,,,,,1,1
270021,大雁塔3星,00:00:05,,1800,,192129,0,0,0,"250004,250005",2,10,5005@8;5006@8,2,3600,50,6995,,150524,1,1,50,300,0,0,,1,0,270,,,,,,,,,,,1,1
270022,大雁塔4星,00:00:05,,1800,,192129,0,0,0,"250006,250007",2,10,5007@8;5008@8,2,3600,50,6996,,150524,1,1,50,300,0,0,,1,0,270,,,,,,,,,,,1,1
270023,大雁塔4星,00:00:05,,1800,,192129,0,0,0,"250006,250007",2,10,5007@8;5008@8,2,3600,50,6996,,150524,1,1,50,300,0,0,,1,0,270,,,,,,,,,,,1,1
270024,大雁塔4星,00:00:05,,1800,,192129,0,0,0,"250006,250007",2,10,5007@8;5008@8,2,3600,50,6996,,150524,1,1,50,300,0,0,,1,0,270,,,,,,,,,,,1,1
270025,大雁塔4星,00:00:05,,1800,,192129,0,0,0,"250006,250007",2,10,5007@8;5008@8,2,3600,50,6996,,150524,1,1,50,300,0,0,,1,0,270,,,,,,,,,,,1,1
270026,大雁塔4星,00:00:05,,1800,,192129,0,0,0,"250006,250007",2,10,5007@8;5008@8,2,3600,50,6996,,150524,1,1,50,300,0,0,,1,0,270,,,,,,,,,,,1,1
270027,大雁塔4星,00:00:05,,1800,,192129,0,0,0,"250006,250007",2,10,5007@8;5008@8,2,3600,50,6996,,150524,1,1,50,300,0,0,,1,0,270,,,,,,,,,,,1,1
270028,大雁塔4星,00:00:05,,1800,,192129,0,0,0,"250006,250007",2,10,5007@8;5008@8,2,3600,50,6996,,150524,1,1,50,300,0,0,,1,0,270,,,,,,,,,,,1,1
270029,大雁塔5星,00:00:05,,1800,,192129,0,0,0,"250008,250009",2,10,5009@8;5010@8,2,3600,50,6997,,150524,1,1,50,300,0,0,,1,0,270,,,,,,,,,,,1,1
270030,大雁塔5星,00:00:05,,1800,,192129,0,0,0,"250008,250009",2,10,5009@8;5010@8,2,3600,50,6997,,150524,1,1,50,300,0,0,,1,0,270,,,,,,,,,,,1,1
270031,大雁塔5星,00:00:05,,1800,,192129,0,0,0,"250008,250009",2,10,5009@8;5010@8,2,3600,50,6997,,150524,1,1,50,300,0,0,,1,0,270,,,,,,,,,,,1,1
270032,大雁塔5星,00:00:05,,1800,,192129,0,0,0,"250008,250009",2,10,5009@8;5010@8,2,3600,50,6997,,150524,1,1,50,300,0,0,,1,0,270,,,,,,,,,,,1,1
270033,大雁塔5星,00:00:05,,1800,,192129,0,0,0,"250008,250009",2,10,5009@8;5010@8,2,3600,50,6997,,150524,1,1,50,300,0,0,,1,0,270,,,,,,,,,,,1,1
270034,大雁塔5星,00:00:05,,1800,,192129,0,0,0,"250008,250009",2,10,5009@8;5010@8,2,3600,50,6997,,150524,1,1,50,300,0,0,,1,0,270,,,,,,,,,,,1,1
270035,大雁塔5星,00:00:05,,1800,,192129,0,0,0,"250008,250009",2,10,5009@8;5010@8,2,3600,50,6997,,150524,1,1,50,300,0,0,,1,0,270,,,,,,,,,,,1,1
271001,远古妖魔,00:00:05,,1800,,192129,0,0,0,"250020,250021,250022",2,7,1610@8,1,3600,20,6998,,150524,1,1,50,300,0,0,,1,0,271,,,,,,,,,,,1,1
271002,远古妖魔,00:00:05,,1800,,192129,0,0,0,"250020,250021,250022",2,7,1610@8,1,3600,20,6998,,150524,1,1,50,300,0,0,,1,0,271,,,,,,,,,,,1,1
271003,远古妖魔,00:00:05,,1800,,192129,0,0,0,"250020,250021,250022",2,7,1610@8,1,3600,20,6998,,150524,1,1,50,300,0,0,,1,0,271,,,,,,,,,,,1,1
271004,远古妖魔,00:00:05,,1800,,192129,0,0,0,"250020,250021,250022",2,7,1610@8,1,3600,20,6998,,150524,1,1,50,300,0,0,,1,0,271,,,,,,,,,,,1,1
271005,远古妖魔,00:00:05,,1800,,192129,0,0,0,"250020,250021,250022",2,7,1610@8,1,3600,20,6998,,150524,1,1,50,300,0,0,,1,0,271,,,,,,,,,,,1,1
271006,远古妖魔,00:00:05,,1800,,192129,0,0,0,"250020,250021,250022",2,7,1610@8,1,3600,20,6998,,150524,1,1,50,300,0,0,,1,0,271,,,,,,,,,,,1,1
271007,远古妖魔,00:00:05,,1800,,192129,0,0,0,"250020,250021,250022",2,7,1610@8,1,3600,20,6998,,150524,1,1,50,300,0,0,,1,0,271,,,,,,,,,,,1,1
272001,二十八星宿之影,00:00:05,,1800,,192129,0,0,0,"250025,250026,250027,250028,250029,250030,250031",2,5,1612@8,1,3600,15,6999,,150524,1,1,50,300,0,0,,1,0,272,,,,,,,,,,,1,1
272002,二十八星宿之影,00:00:05,,1800,,192129,0,0,0,"250025,250026,250027,250028,250029,250030,250031",2,5,1612@8,1,3600,15,6999,,150524,1,1,50,300,0,0,,1,0,272,,,,,,,,,,,1,1
272003,二十八星宿之影,00:00:05,,1800,,192129,0,0,0,"250025,250026,250027,250028,250029,250030,250031",2,5,1612@8,1,3600,15,6999,,150524,1,1,50,300,0,0,,1,0,272,,,,,,,,,,,1,1
272004,二十八星宿之影,00:00:05,,1800,,192129,0,0,0,"250025,250026,250027,250028,250029,250030,250031",2,5,1612@8,1,3600,15,6999,,150524,1,1,50,300,0,0,,1,0,272,,,,,,,,,,,1,1
272005,二十八星宿之影,00:00:05,,1800,,192129,0,0,0,"250025,250026,250027,250028,250029,250030,250031",2,5,1612@8,1,3600,15,6999,,150524,1,1,50,300,0,0,,1,0,272,,,,,,,,,,,1,1
272006,二十八星宿之影,00:00:05,,1800,,192129,0,0,0,"250025,250026,250027,250028,250029,250030,250031",2,5,1612@8,1,3600,15,6999,,150524,1,1,50,300,0,0,,1,0,272,,,,,,,,,,,1,1
272007,二十八星宿之影,00:00:05,,1800,,192129,0,0,0,"250025,250026,250027,250028,250029,250030,250031",2,5,1612@8,1,3600,15,6999,,150524,1,1,50,300,0,0,,1,0,272,,,,,,,,,,,1,1
272008,二十八星宿,00:00:05,,1800,,192129,0,0,0,"250032,250033,250034,250035,250036,250037,250038",2,5,1612@8,1,3600,15,7000,,150524,1,1,50,300,0,0,,1,0,272,,,,,,,,,,,1,1
272009,二十八星宿,00:00:05,,1800,,192129,0,0,0,"250032,250033,250034,250035,250036,250037,250038",2,5,1612@8,1,3600,15,7000,,150524,1,1,50,300,0,0,,1,0,272,,,,,,,,,,,1,1
272010,二十八星宿,00:00:05,,1800,,192129,0,0,0,"250032,250033,250034,250035,250036,250037,250038",2,5,1612@8,1,3600,15,7000,,150524,1,1,50,300,0,0,,1,0,272,,,,,,,,,,,1,1
272011,二十八星宿,00:00:05,,1800,,192129,0,0,0,"250032,250033,250034,250035,250036,250037,250038",2,5,1612@8,1,3600,15,7000,,150524,1,1,50,300,0,0,,1,0,272,,,,,,,,,,,1,1
272012,二十八星宿,00:00:05,,1800,,192129,0,0,0,"250032,250033,250034,250035,250036,250037,250038",2,5,1612@8,1,3600,15,7000,,150524,1,1,50,300,0,0,,1,0,272,,,,,,,,,,,1,1
272013,二十八星宿,00:00:05,,1800,,192129,0,0,0,"250032,250033,250034,250035,250036,250037,250038",2,5,1612@8,1,3600,15,7000,,150524,1,1,50,300,0,0,,1,0,272,,,,,,,,,,,1,1
272014,二十八星宿,00:00:05,,1800,,192129,0,0,0,"250032,250033,250034,250035,250036,250037,250038",2,5,1612@8,1,3600,15,7000,,150524,1,1,50,300,0,0,,1,0,272,,,,,,,,,,,1,1
272015,二十八星宿之怒,00:00:05,,1800,,192129,0,0,0,"250039,250040,250041,250042,250043,250044,250045",2,5,1612@8,1,3600,15,7001,,150524,1,1,50,300,0,0,,1,0,272,,,,,,,,,,,1,1
272016,二十八星宿之怒,00:00:05,,1800,,192129,0,0,0,"250039,250040,250041,250042,250043,250044,250045",2,5,1612@8,1,3600,15,7001,,150524,1,1,50,300,0,0,,1,0,272,,,,,,,,,,,1,1
272017,二十八星宿之怒,00:00:05,,1800,,192129,0,0,0,"250039,250040,250041,250042,250043,250044,250045",2,5,1612@8,1,3600,15,7001,,150524,1,1,50,300,0,0,,1,0,272,,,,,,,,,,,1,1
272018,二十八星宿之怒,00:00:05,,1800,,192129,0,0,0,"250039,250040,250041,250042,250043,250044,250045",2,5,1612@8,1,3600,15,7001,,150524,1,1,50,300,0,0,,1,0,272,,,,,,,,,,,1,1
272019,二十八星宿之怒,00:00:05,,1800,,192129,0,0,0,"250039,250040,250041,250042,250043,250044,250045",2,5,1612@8,1,3600,15,7001,,150524,1,1,50,300,0,0,,1,0,272,,,,,,,,,,,1,1
272020,二十八星宿之怒,00:00:05,,1800,,192129,0,0,0,"250039,250040,250041,250042,250043,250044,250045",2,5,1612@8,1,3600,15,7001,,150524,1,1,50,300,0,0,,1,0,272,,,,,,,,,,,1,1
272021,二十八星宿之怒,00:00:05,,1800,,192129,0,0,0,"250039,250040,250041,250042,250043,250044,250045",2,5,1612@8,1,3600,15,7001,,150524,1,1,50,300,0,0,,1,0,272,,,,,,,,,,,1,1
273001,十二元辰,00:00:05,,1800,,192129,0,0,0,"250046,250047,250048,250049,250050,250051,250052,250053,250054,250055,250056,250057",2,8,1610@8,1,3600,10,7733,,150524,1,1,50,300,0,0,,1,0,273,,,,,,,,,,,1,1
273002,十二元辰,00:00:05,,1800,,192129,0,0,0,"250046,250047,250048,250049,250050,250051,250052,250053,250054,250055,250056,250057",2,8,1610@8,1,3600,10,7733,,150524,1,1,50,300,0,0,,1,0,273,,,,,,,,,,,1,1
