"伙伴id","伙伴名称","伙伴描述","类型","职业","攻击类型","造型id","头像id","大小比例","是否初始获得","生命","魔法","物攻","物防","法攻","法防","速度","治疗强度","控制命中","控制抗性","生命成长","魔法成长","物攻成长","物防成长","法攻成长","法防成长","速度成长","治疗强度成长","控制命中成长","控制抗性成长","战斗AI","技能1","技能2","技能3","技能4","技能5","技能6","技能7","技能8","技能9","精通技能","花费1类型","7天花费1","30天花费1","永久花费1","花费2类型","7天花费2","30天花费2","永久花费2","花费3类型","7天花费3","30天花费3","永久花费3","战斗AI类型1","战斗AI类型2","战斗AI类型3","战斗AI类型4","技能等级系数","技能等级常数"
"28100","猪八戒","","1","11","1","1020001","30368","1","2","194","200","97","49","78","39","29","19","0","0","36.38","17.74","12.7","7.05","3.38","5.45","5.02","1.46","0","10.4","","711001","711002","711003","711004","","","","","","711001","","600","2100","14700","","252000","1764000","17640000","","0","0","0","13100","13002","13002","13002","1","0"
"28101","李天王","","1","11","1","1020002","30369","1","0","200","200","100","50","80","40","30","20","0","0","37.51","17.74","13.09","7.27","3.48","5.62","5.18","1.5","0","10.4","","711001","711002","711003","711004","","","","","","711003","","760","2660","18620","","319200","2234400","22344000","","0","0","0","13100","13002","13002","13002","1","0"
"28102","孙悟空","","1","11","1","1020003","30370","1","0","206","200","103","52","82","41","31","21","0","0","38.64","17.74","13.48","7.49","3.58","5.79","5.34","1.55","0","10.4","","712001","712002","712003","712004","","","","","","712003","","920","3220","22540","","386400","2704800","27048000","","0","0","0","13100","13002","13002","13002","1","0"
"28103","紫霞仙子","","5","12","5","1020004","30371","1","0","194","200","97","49","78","39","29","19","0","0","36.38","34.62","5.89","8.46","6.33","5.92","7.52","1.46","10.3","10.4","","721001","721002","721004","721005","","","","","","721002","","600","2100","14700","","252000","1764000","17640000","","0","0","0","13100","13018","13018","13018","1","0"
"28104","镇元子","","5","12","5","1020005","30372","1","0","200","200","100","50","80","40","30","20","0","0","37.51","34.62","6.07","8.72","6.53","6.1","7.75","1.5","10.3","10.4","","721001","721002","721004","721005","","","","","","721002","","760","2660","18620","","319200","2234400","22344000","","0","0","0","13100","13018","13018","13018","1","0"
"28105","太白金星","","5","12","5","1020006","30373","1","0","206","200","103","52","82","41","31","21","0","0","38.64","34.62","6.25","8.98","6.73","6.28","7.98","1.55","10.3","10.4","","721001","721002","721004","721005","","","","","","721002","","1080","3780","26460","","386400","2704800","27048000","","0","0","0","13100","13018","13018","13018","1","0"
"28106","大鹏王","","1","13","1","1020007","30374","1","2","194","200","97","49","78","39","29","19","0","0","40.58","17.74","10.51","8.02","3.38","5.45","5.02","1.46","0","10.4","","731001","731003","731002","731005","","","","","731000","731001","","600","2100","14700","","252000","1764000","17640000","","0","0","0","13100","13005","13005","13005","1","0"
"28107","白象王","","1","13","1","1020008","30375","1","0","200","200","100","50","80","40","30","20","0","0","41.83","17.74","10.84","8.27","3.48","5.62","5.18","1.5","0","10.4","","731001","731003","731002","731005","","","","","731000","731003","","760","2660","18620","","319200","2234400","22344000","","0","0","0","13100","13005","13005","13005","1","0"
"28108","九灵元圣","","1","13","1","1020009","30376","1","0","206","200","103","52","82","41","31","21","0","0","43.08","17.74","11.17","8.52","3.58","5.79","5.34","1.55","0","10.4","","731001","731003","731002","731005","","","","","731000","731001","","920","3220","22540","","386400","2704800","27048000","","0","0","0","13100","13005","13005","13005","1","0"
"28109","黑无常","","4","14","4","1020010","30377","1","0","200","200","100","50","80","40","30","20","0","0","45.46","34.62","6.07","8.15","7.43","6.1","6.85","2.23","0","10.4","","741001","741002","741003","741005","","","","","","741002","","600","2100","14700","","252000","1764000","17640000","","0","0","0","13100","32551","32551","32551","1","0"
"28110","阎罗王","","4","14","4","1020011","30378","1","0","206","200","103","52","82","41","31","21","0","0","46.82","34.62","6.25","8.39","7.65","6.28","7.06","2.3","0","10.4","","741001","741002","741003","741005","","","","","","741002","","760","2660","18620","","319200","2234400","22344000","","0","0","0","13100","32551","32551","32551","1","0"
