"序号","页签类型","活动名","服务器id","需求等级","等级文本","未达等级到文本","上限等级","排序","参加一次红点即消失","开启时间","活动详情","活动要求","经验奖励","物品奖励","物品id","物品id2","物品id3","物品id4","物品id5","推荐度","标签图标","名字颜色","名字描边","图片id","活动周期","服务器发","是否显示最大次数","最大次数","无限制计次","重置次数类型","最大活跃度","每次获得活跃","限时活动对应id","进行中提示","参加类型","对应1","对应2","盈福经验","盈福经验奖励","盈福总次数","活动开关"
"101","2","师门任务","0","15","达到15级","40级开启","300","1","1","全天","<T t=""活动时间： "" c=""FFC28E54"" f=""simhei-11""></T><T t=""全天"" c=""FFFFF2DF"" f=""simhei-11""></T><B></B><T t=""任务形式： "" c=""FFC28E54"" f=""simhei-11""></T><T t=""单人任务"" c=""FFFFF2DF"" f=""simhei-11""></T><B></B><T t=""等级限制： "" c=""FFC28E54"" f=""simhei-11""></T><T t=""达到40级"" c=""FFFFF2DF"" f=""simhei-11""></T><B></B><T t=""任务描述： "" c=""FFC28E54"" f=""simhei-11""></T><T t=""师门任务奖励丰厚，并可获得门派贡献，是每天必做的任务哟。"" c=""FFFFF2DF"" f=""simhei-11""></T>","单人任务","","","254002","254003","254006","254010","","0","","fff08723","ff2d1600","1186","1,2,3,4,5,6,7","","1","20","0","1","20","1","-1","开启","6","","","0","0","0","1"
"105","2","好友试炼","0","30","达到30级","30级开启","300","2","1","全天","领取任务后，与好友组队通过任意途径击杀的怪物累计到一定数量后，会获得丰厚的经验奖励。","3-5人组队","大量经验","","338000","254006","","","","3","","fff08723","ff2d1600","1135","1,2,3,4,5,6,7","","1","1","0","1","5","5","-1","开启","4","100002","","1","19001","1","1"
"103","2","平定安邦","0","50","达到50级","50级开启","300","3","1","全天","<T t=""活动时间： "" c=""FFC28E54"" f=""simhei-11""></T><T t=""全天"" c=""FFFFF2DF"" f=""simhei-11""></T><B></B><T t=""任务形式： "" c=""FFC28E54"" f=""simhei-11""></T><T t=""组队任务"" c=""FFFFF2DF"" f=""simhei-11""></T><B></B><T t=""等级限制： "" c=""FFC28E54"" f=""simhei-11""></T><T t=""达到50级"" c=""FFFFF2DF"" f=""simhei-11""></T><B></B><T t=""任务描述： "" c=""FFC28E54"" f=""simhei-11""></T><T t=""领取任务后，与好友组队通过任意途径击杀的怪物累计到一定数量后，会获得丰厚的经验奖励。"" c=""FFFFF2DF"" f=""simhei-11""></T>","组队任务","","","338000","","","","","0","","fff08723","ff2d1600","1164","1,2,3,4,5,6,7","","1","1","0","1","0","0","-1","开启","4","100002","","0","0","0","0"
"104","2","宝图任务","0","50","达到50级","50级开启","300","4","1","全天","<T t=""活动时间： "" c=""FFC28E54"" f=""simhei-11""></T><T t=""全天"" c=""FFFFF2DF"" f=""simhei-11""></T><B></B><T t=""任务形式： "" c=""FFC28E54"" f=""simhei-11""></T><T t=""单人任务"" c=""FFFFF2DF"" f=""simhei-11""></T><B></B><T t=""等级限制： "" c=""FFC28E54"" f=""simhei-11""></T><T t=""达到50级"" c=""FFFFF2DF"" f=""simhei-11""></T><B></B><T t=""任务描述： "" c=""FFC28E54"" f=""simhei-11""></T><T t=""和店小二打听强盗的消息，击败强盗后，可以在强盗身上搜出珍贵的藏宝图哟。"" c=""FFFFF2DF"" f=""simhei-11""></T>","单人任务","","","331300","","","","","0","","ffc800c8","ff230023","1253","1,2,3,4,5,6,7","","1","20","0","1","10","1","-1","开启","1","161510","","0","0","0","1"
"119","2","秘境降妖","0","50","达到50级","50级开启","300","5","1","全天","<T t=""活动时间： "" c=""FFC28E54"" f=""simhei-11""></T><T t=""全天"" c=""FFFFF2DF"" f=""simhei-11""></T><B></B><T t=""任务形式： "" c=""FFC28E54"" f=""simhei-11""></T><T t=""单人任务"" c=""FFFFF2DF"" f=""simhei-11""></T><B></B><T t=""等级限制： "" c=""FFC28E54"" f=""simhei-11""></T><T t=""达到50级"" c=""FFFFF2DF"" f=""simhei-11""></T><B></B><T t=""任务描述： "" c=""FFC28E54"" f=""simhei-11""></T><T t=""单人挑战副本，闯关越多，奖励越丰富。"" c=""FFFFF2DF"" f=""simhei-11""></T>","单人任务","","","40015","310102","310001","254006","","0","","ffc800c8","ff2d1600","1304","1,2,3,4,5,6,7","","1","-1","0","1","10","1","-1","开启","1","161521","","0","0","0","1"
"213","2","三界奇缘","0","50","达到50级","50级开启","300","6","1","11:00-24:00","<T t=""活动时间： "" c=""FFC28E54"" f=""simhei-11""></T><T t=""每天中午11:00-23:00"" c=""FFFFF2DF"" f=""simhei-11""></T><B></B><T t=""任务形式： "" c=""FFC28E54"" f=""simhei-11""></T><T t=""单人任务"" c=""FFFFF2DF"" f=""simhei-11""></T><B></B><T t=""等级限制： "" c=""FFC28E54"" f=""simhei-11""></T><T t=""达到50级"" c=""FFFFF2DF"" f=""simhei-11""></T><B></B><T t=""任务描述： "" c=""FFC28E54"" f=""simhei-11""></T><T t=""了解梦幻西游的世界，还能获得丰厚的储备奖励噢~"" c=""FFFFF2DF"" f=""simhei-11""></T>","单人任务","","","32037","32038","","","","0","","ffc800c8","ff230023","1221","1,2,3,4,5,6,7","","1","10","0","1","10","1","213","开启","9","","","0","0","0","1"
"214","2","科举问答","0","50","达到50级","50级开启","300","7","1","17:00-24:00","<T t=""活动时间： "" c=""FFC28E54"" f=""simhei-11""></T><T t=""每天晚上18:00-19:00"" c=""FFFFF2DF"" f=""simhei-11""></T><B></B><T t=""任务形式： "" c=""FFC28E54"" f=""simhei-11""></T><T t=""单人任务"" c=""FFFFF2DF"" f=""simhei-11""></T><B></B><T t=""等级限制： "" c=""FFC28E54"" f=""simhei-11""></T><T t=""达到50级"" c=""FFFFF2DF"" f=""simhei-11""></T><B></B><T t=""任务描述： "" c=""FFC28E54"" f=""simhei-11""></T><T t=""科举问答，考验玩家的各方位知识，答对可获得丰厚奖励喔~"" c=""FFFFF2DF"" f=""simhei-11""></T>","单人任务","","","254002","254003","","","","0","","ffc800c8","ff230023","1177","1,2,3,4,5,6,7","","1","20","0","1","10","1","214","开启","10","","","0","0","0","1"
"107","2","押镖","0","50","达到50级","50级开启","300","8","1","全天","<T t=""活动时间： "" c=""FFC28E54"" f=""simhei-11""></T><T t=""全天"" c=""FFFFF2DF"" f=""simhei-11""></T><B></B><T t=""任务形式： "" c=""FFC28E54"" f=""simhei-11""></T><T t=""单人任务"" c=""FFFFF2DF"" f=""simhei-11""></T><B></B><T t=""等级限制： "" c=""FFC28E54"" f=""simhei-11""></T><T t=""达到50级"" c=""FFFFF2DF"" f=""simhei-11""></T><B></B><T t=""任务描述： "" c=""FFC28E54"" f=""simhei-11""></T><T t=""运镖任务为单人任务，不可组队参与。"" c=""FFFFF2DF"" f=""simhei-11""></T>","单人任务","","","254001","254002","","","","0","","ffc800c8","ff230023","1185","1,2,3,4,5,6,7","","1","10","0","1","10","1","-1","开启","1","260013","","0","0","0","1"
"108","2","帮派任务","0","50","达到50级","50级开启","300","9","1","全天","<T t=""活动时间： "" c=""FFC28E54"" f=""simhei-11""></T><T t=""全天"" c=""FFFFF2DF"" f=""simhei-11""></T><B></B><T t=""任务形式： "" c=""FFC28E54"" f=""simhei-11""></T><T t=""单人任务"" c=""FFFFF2DF"" f=""simhei-11""></T><B></B><T t=""等级限制： "" c=""FFC28E54"" f=""simhei-11""></T><T t=""达到50级"" c=""FFFFF2DF"" f=""simhei-11""></T><B></B><T t=""任务描述： "" c=""FFC28E54"" f=""simhei-11""></T><T t=""帮派青龙堂主负责发布帮派任务，完成任务会获得不错的帮贡奖励哦。"" c=""FFFFF2DF"" f=""simhei-11""></T>","单人任务","","","254014","680001","","","","0","","ffc800c8","ff2d1600","1167","1,2,3,4,5,6,7","","1","20","0","1","0","0","-1","开启","8","161301","","0","0","0","1"
"124","2","经验环","0","50","达到50级","50级开启","300","10","1","全天","<T t=""活动时间： "" c=""FFC28E54"" f=""simhei-11""></T><T t=""全天"" c=""FFFFF2DF"" f=""simhei-11""></T><B></B><T t=""任务形式： "" c=""FFC28E54"" f=""simhei-11""></T><T t=""单人任务"" c=""FFFFF2DF"" f=""simhei-11""></T><B></B><T t=""等级限制： "" c=""FFC28E54"" f=""simhei-11""></T><T t=""达到50级"" c=""FFFFF2DF"" f=""simhei-11""></T><B></B><T t=""任务描述： "" c=""FFC28E54"" f=""simhei-11""></T><T t=""帮陆萧然完成一些收集物品的任务，可获得超高额经验奖励。"" c=""FFFFF2DF"" f=""simhei-11""></T>","单人任务","","","254003","","","","","0","","fff08723","ff230023","1177","1,2,3,4,5,6,7","","1","300","0","1","0","0","-1","开启","1","161403","","0","0","0","1"
