"编号","奖励ID","备注","出现地图ID","分级奖励","道具","银币奖励","公告物品id","公告提示编号","获得道具自己系统提示","获得银币自己系统提示"
"1","101","直接获得银币-金币","","","","7120","","150200","150192","193117"
"2","102","低级宝图用1","","1,300,201222","","","","193119","150192","150193"
"3","103","低级宝图用2","","1,300,201222","","","","193119","150192","150193"
"4","104","低级内丹","","1,300,200803","","","","150200","150192","150193"
"5","105","材料库","","1,300,200602","","","","150200","150192","150193"
"6","106","高级宝图随机库1","","1,300,201214","","","","150200","150192","150193"
"7","107","高级宝图随机库2","","1,300,201215","","","","150200","150192","150193"
"8","108","高级宝图随机库3","","1,300,201216","","","","150200","150192","150193"
"9","109","稀有技能书","1616","1,300,200605","","","","150200","150192","150193"
"10","110","140级灵饰","1616","1,300,200569","","","","150200","150192","150193"
"11","111","140灵饰制造书","1616","1,300,200570","","","","150200","150192","150193"
"12","112","神级宠物装备","1616","1,300,200544","","","","150200","150192","150193"
"13","113","钨金","1616","1,300,200546","","","","150200","150192","150193"
"14","114","超级洗练石","1616","1,300,200547","","","","150200","150192","150193"
"15","115","内丹","1616","1,300,200385","","","","150200","150192","150193"
"16","116","150级装备随机","1616","1,300,200573","","","","150200","150192","150193"
"17","117","150级制造书","1616","1,300,200574","","","","150200","150192","150193"
"18","118","60级打造图纸库","1616","1,300,200082","","","","150200","150192","150193"
"19","119","20级绿装库","1616","1,300,200108","","","","150200","150192","150193"
"20","120","30级绿装库","1616","1,300,200109","","","","150200","150192","150193"
"21","121","40级绿装库","1616","1,300,200110","","","","150200","150192","150193"
"22","122","50级绿装库","1616","1,300,200111","","","","150200","150192","150193"
"23","123","60级绿装库","1616","1,300,200112","","","","150200","150192","150193"
"24","124","70级绿装库","1616","1,300,200113","","","","150200","150192","150193"
"25","150","高级魔兽要诀库","1616","1,300,200223","","","","150200","150192","150193"
"26","151","60级蓝装库","1616","1,300,200127","","","","150200","150192","150193"
"27","152","强化石*3库","1616","1,300,200217","","","","150200","150192","150193"
"28","153","光环卷轴库","1616","1,300,200073","","","","150200","150192","150193"
"29","154","高级营养套餐","1616","1,300,200174","","","","150200","150192","150193"
"30","155","资质影砂","1616","1,300,200175","","","","150200","150192","150193"
"31","156","兽王纲要","1616","1,300,200176","","","","150200","150192","150193"
"32","157","珍稀五宝库","1616","1,300,200074","","","","150200","150192","150193"
"33","158","永恒井水","1616","1,300,200178","","","","150200","150192","150193"
"34","159","蜃楼石","1616","1,300,200183","","","","150200","150192","150193"
"35","160","梦魇染料","1616","1,300,200184","","","","150200","150192","150193"
"36","161","","1615","","","","","","",""
"37","162","","1616","","","","","","",""
"38","163","","1617","","","","","","",""
"39","164","","1618","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
