"id","界面名","三级界面1id","三级界面2id","三级界面3id","三级界面4id","三级界面5id","三级界面6id","三级界面7id","三级界面8id","三级界面9id","三级界面10id","三级界面11id","三级界面12id","三级界面13id","三级界面14id","三级界面15id","三级界面16id"
"1","新手热点问题","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16"
"2","科举乡试练习场","17","","","","","","","","","","","","","","",""
"3","术语小攻略","17","","","","","","","","","","","","","","",""
"4","大话百晓生","17","","","","","","","","","","","","","","",""
"5","德鲁伊","18","","","","","","","","","","","","","","",""
"6","太阳岛","19","","","","","","","","","","","","","","",""
"7","血蹄村","20","","","","","","","","","","","","","","",""
"8","修道院","21","","","","","","","","","","","","","","",""
"9","提瑞斯镇","22","","","","","","","","","","","","","","",""
"10","摩萨德","23","","","","","","","","","","","","","","",""
"11","【科举热身赛·温习题】","30000","","","","","","","","","","","","","","",""
