"id","服务1","服务2","服务3","服务4","服务5","服务6","服务7","服务8","服务9","服务10","服务11","服务12","描述"
"13100","3000","3010","100022","600017","","","","","","","","",""
"13101","3001","3011","100023","600017","","","","","","","","",""
"13102","3002","3012","100024","600017","","","","","","","","",""
"13103","3003","3013","100025","600017","","","","","","","","",""
"13104","3004","3014","100026","600017","","","","","","","","",""
"13105","3005","3015","100027","600017","","","","","","","","",""
"13106","3016","3019","100029","600017","","","","","","","","",""
"13107","3017","3020","100030","600017","","","","","","","","",""
"13108","3018","3021","100031","600017","","","","","","","","",""
"13109","3024","3027","100034","600017","","","","","","","","",""
"13110","3029","3032","999443","600017","","","","","","","","",""
"13111","3023","3026","100033","600017","","","","","","","","",""
"13112","3030","3033","999444","600017","","","","","","","","",""
"13113","3029","3032","999443","600017","","","","","","","","",""
"13114","3030","3033","999444","600017","","","","","","","","",""
"99998","999999","","","","","","","","","","","",""
"99999","999999","","","","","","","","","","","",""
"160509","100018","","","","","","","","","","","",""
"160801","","","","","","","","","","","","",""
"161301","100017","100016","","","","","","","","","","",""
"161302","100601","","","","","","","","","","","",""
"161304","","","","","","","","","","","","",""
"161501","4000","4002","4003","","","","","","","","","",""
"161502","30000","","","","","","","","","","","",""
"161503","30001","","","","","","","","","","","",""
"161504","30001","","","","","","","","","","","",""
"250374","30001","","","","","","","","","","","",""
"161505","30003","100703","","","","","","","","","","","宠物商店"
"161506","30004","","","","","","","","","","","",""
"161507","910301","910302","910303","200001","200002","","","","","","","","突破任务"
"161509","999010","253999","253998","","","","","","","","","","神兽相关袁天罡"
"161510","100001","100013","","","","","","","","","","","店小二"
"161511","100400","100187","100049","","","","","","","","","","因缘绘副本"
"161512","900050","900051","900052","","","","","","","","","",""
"161513","100018","","","","","","","","","","","",""
"161515","166","100602","","","","","","","","","","",""
"161516","100800","100801","","","","","","","","","","",""
"161518","910000","910001","910005","","","","","","","","","",""
"161519","910010","910011","910015","","","","","","","","","",""
"161520","910020","910021","910025","","","","","","","","","",""
"161521","355","900053","","","","","","","","","","",""
"161522","600026","","","","","","","","","","","",""
"161525","910101","910102","910103","910104","","","","","","","","",""
"161527","910106","910107","910112","801530","","","","","","","","","超级泡泡使者"
"161528","999011","100014","","","","","","","","","","",""
"161529","910106","910107","910112","","","","","","","","","",""
"161531","910030","910031","","","","","","","","","","",""
"161532","101001","910118","","","","","","","","","","",""
"161533","101002","","","","","","","","","","","",""
"161534","910119","","","","","","","","","","","",""
"161541","999007","999008","999009","999010","999011","999012","999013","999014","999015","999016","","",""
"161545","30001","910106","","","","","","","","","","",""
"180490","101003","","","","","","","","","","","",""
"180491","101004","","","","","","","","","","","",""
"161702","171","","","","","","","","","","","",""
"161803","171","","","","","","","","","","","",""
"161902","171","","","","","","","","","","","",""
"162002","171","","","","","","","","","","","",""
"162102","171","","","","","","","","","","","",""
"162202","171","","","","","","","","","","","",""
"161701","","","","","","","","","","","","","龙宫首席"
"161801","","","","","","","","","","","","","大唐首席"
"161901","","","","","","","","","","","","","普陀首席"
"162001","","","","","","","","","","","","","狮驼首席"
"162101","","","","","","","","","","","","","方寸首席"
"162201","","","","","","","","","","","","",""
"169001","","","","","","","","","","","","","月宫首席"
"169101","","","","","","","","","","","","",""
"169201","","","","","","","","","","","","","化生首席"
"220501","","","","","","","","","","","","","小雷音"
"165001","910113","","","","","","","","","","","",""
"165601","910002","910003","910004","","","","","","","","","",""
"165701","910012","910013","910014","","","","","","","","","",""
"165801","910022","910023","910024","","","","","","","","","",""
"169901","910022","910023","910024","","","","","","","","","",""
"169002","171","","","","","","","","","","","",""
"169102","171","","","","","","","","","","","",""
"169202","171","","","","","","","","","","","",""
"170000","100010","","","","","","","","","","","",""
"170001","100010","","","","","","","","","","","",""
"170002","100010","","","","","","","","","","","",""
"170003","100010","","","","","","","","","","","",""
"170004","100010","","","","","","","","","","","",""
"170005","100010","","","","","","","","","","","",""
"170006","100010","","","","","","","","","","","",""
"170007","100010","","","","","","","","","","","",""
"170008","100010","","","","","","","","","","","",""
"170009","100010","","","","","","","","","","","",""
"170010","100010","","","","","","","","","","","",""
"170051","","","","","","","","","","","","",""
"170052","","","","","","","","","","","","",""
"170053","","","","","","","","","","","","",""
"170054","","","","","","","","","","","","",""
"170055","","","","","","","","","","","","",""
"170056","","","","","","","","","","","","",""
"170057","","","","","","","","","","","","",""
"170058","","","","","","","","","","","","",""
"170059","","","","","","","","","","","","",""
"170060","","","","","","","","","","","","",""
"170061","","","","","","","","","","","","",""
"170062","","","","","","","","","","","","",""
"170063","","","","","","","","","","","","",""
"170064","","","","","","","","","","","","",""
"170065","","","","","","","","","","","","",""
"170066","","","","","","","","","","","","",""
"170067","","","","","","","","","","","","",""
"170068","","","","","","","","","","","","",""
"170069","","","","","","","","","","","","",""
"170070","","","","","","","","","","","","",""
"170071","","","","","","","","","","","","",""
"170072","","","","","","","","","","","","",""
"170073","","","","","","","","","","","","",""
"170074","","","","","","","","","","","","",""
"170075","","","","","","","","","","","","",""
"170076","","","","","","","","","","","","",""
"170077","","","","","","","","","","","","",""
"170078","","","","","","","","","","","","",""
"170079","","","","","","","","","","","","",""
"170080","","","","","","","","","","","","",""
"170081","","","","","","","","","","","","",""
"170082","","","","","","","","","","","","",""
"170083","","","","","","","","","","","","",""
"170084","","","","","","","","","","","","",""
"170085","","","","","","","","","","","","",""
"170086","","","","","","","","","","","","",""
"170087","","","","","","","","","","","","",""
"170088","","","","","","","","","","","","",""
