"ID","升级消耗经验","返还经验","开启等级","重置金额"
"1","1753710","280566","41","10000"
"2","1809939","312504","41","15000"
"3","1868570","346169","41","20000"
"4","11039102","408158","41","25000"
"5","11110259","472494","41","30000"
"6","11184290","516301","41","35000"
"7","11261450","562501","41","40000"
"8","11341594","610869","41","45000"
"9","11574508","746176","41","50000"
"10","11799005","933380","41","55000"
"11","21905788","1004946","41","60000"
"12","22016652","1079918","41","65000"
"13","22131466","1158093","41","70000"
"14","22577280","1385469","41","75000"
"15","22718489","1480345","41","80000"
"16","24077273","1579053","41","85000"
"17","24293158","1681933","41","90000"
"18","24516310","1788792","41","95000"
"19","24746848","2099344","41","100000"
"20","36782792","2398673","41","105000"
"21","48677678","2541050","41","110000"
"22","50736377","2688869","41","115000"
"23","52966517","2841954","41","120000"
"24","55375887","3436373","41","125000"
"25","57972439","3624652","41","130000"
"26","62732473","5436364","41","135000"
"27","67874983","5724210","41","140000"
"28","68416474","6021746","41","145000"
"29","69060655","6329130","41","150000"
"30","71829074","9043722","41","155000"
"31","74467568","11570237","41","160000"
"32","77180263","14315169","41","165000"
"33","79967878","17288689","41","170000"
"34","82831441","20501182","41","175000"
"35","85772275","23963252","41","180000"
"36","88791103","30309964","41","185000"
"37","91889249","37166644","41","190000"
"38","95067439","44555298","41","195000"
"39","98326694","52498360","41","200000"
"40","110002006","54959177","41","205000"
"41","114111718","57304505","41","210000"
"42","118322755","59715789","41","215000"
"43","122635987","62193669","41","220000"
"44","137052641","64739058","41","225000"
"45","141574308","67353133","41","230000"
"46","156201856","70036536","41","235000"
"47","160936871","72790444","41","240000"
"48","175780227","75615501","41","245000"
"49","180733148","78512617","41","250000"
"50","193108028","81482968","41","255000"
"51","208859250","84527198","41","260000"
"52","214736710","87646485","41","265000"
"53","220741370","90841472","41","270000"
"54","236874598","94113068","41","275000"
"55","243138158","97462450","41","280000"
"56","259533016","100890264","41","285000"
"57","266060936","104397682","41","290000"
"58","272722884","107985353","41","295000"
"59","289520226","111654184","41","300000"
"60","295568407","115405352","41","305000"
"61","304409185","119239500","41","310000"
"62","313424827","123157806","41","315000"
"63","322616535","127160913","41","320000"
"64","331986015","131249732","41","325000"
"65","341535477","135425438","41","330000"
"66","351266127","139688677","41","335000"
"67","361180172","144040624","41","340000"
"68","371278815","148481922","41","345000"
"69","381563767","153013484","41","350000"
"70","470444676","157636484","41","355000"
"71","483240498","162351565","41","360000"
"72","496266630","167159908","41","365000"
"73","509524521","172062152","41","370000"
"74","523016223","177059208","41","375000"
"75","536744376","182152254","41","380000"
"76","550710435","187341934","41","385000"
"77","564917046","192629425","41","390000"
"78","579365655","198015368","41","395000"
"79","594058308","203500676","41","400000"
