"序列","NPCid","商店ID","商店名","可见页签等级","页签显示","商品ID1","商品ID2","商品ID3","商品ID4","商品ID5","商品ID6"
"1","160801","4","宠物商店","10","10","2000","2001","2002","","",""
"2","160801","4","宠物商店","25","25","2003","2004","","","",""
"3","160801","4","宠物商店","35","35","2005","2006","2007","","",""
"4","160801","4","宠物商店","45","45","2008","2009","2010","","",""
"5","160801","4","宠物商店","50","55","2011","2012","2013","","",""
"6","160801","4","宠物商店","50","65","2014","2015","2016","2017","2018",""
"7","160801","4","宠物商店","50","75","2019","2020","","","",""
"8","160801","4","宠物商店","50","80","2023","2024","","","",""
"9","160801","4","宠物商店","50","85","2027","2028","2030","","",""
"10","160801","4","宠物商店","50","90","2031","2032","","","",""
"11","160801","4","宠物商店","50","95","2035","2036","","","",""
"12","160801","4","宠物商店","50","105","2040","","","","",""
"13","160801","4","宠物商店","50","109","2043","","","","",""
