"id","服务器参数","客户端参数","备注","","",""
"100","40","","人物自由加点等级限制","","",""
"101","6000","6000","银币炼药价格","","",""
"102","0.9","0.9","宠物合成资质下限取值","","",""
"103","1.11","1.11","宠物合成资质上限取值","","",""
"104","58","58","宠物合成成长下限减少值","","",""
"105","11","11","宠物合成成长上限增加值","","",""
"106","330000","330000","兑换界面打工金币道具ID","","",""
"107","330100","330100","兑换界面公会技能道具ID","","",""
"108","37573","37573","兑换界面同心结道具ID","","",""
"109","100","100","打工兑换金币数量","","",""
"110","300","300","仓库最大格子开放数量","","",""
"111","25","","解锁一次仓库打开仓库格子数量","","",""
"120","10","10","元宵提升丹次数","","",""
"121","10","10","炼兽真经提升丹次数","","",""
"122","1000","1000","成长丹次数","","",""
"514","100","100","成长丹属性","","",""
"130","360000","360000","阵法残卷ID","","",""
"131","50","50","阵法残卷增加经验","","",""
"132","0","0","不匹配阵法书增加经验","","",""
"133","200","","每天双倍经验点数","","",""
"134","2000","","双倍经验领取点数最高上限","","",""
"135","1000","","冻结点数最高上限","","",""
"140","5","","X个周期净成交量＜=0，刷新价格=当前价格-浮动价格*y","","",""
"141","2","","y=上公式中的一个系数","","",""
"142","100","100","扩充背包最大格子数","","",""
"143","0","0","仙玉兑换多少个金币","","",""
"144","100","100","金币兑换多少个银币","","",""
"145","10000","10000","仙玉兑换多少个银币","","",""
"146","","20","宝箱界面加速格子数量","","",""
"147","","0.5","开奖界面格子正常速度，多少秒1个格子","","",""
"148","","6","格子移动减速距离结束格子最小数","","",""
"149","","10","格子移动减速距离结束格子最大数","","",""
"150","","200","总格子移动数量最小数","","",""
"151","","240","总格子移动数量最大数","","",""
"152","","3","自动关闭开奖界面时间","","",""
"153","0","0","摆摊公示时间，单位小时","","",""
"154","7","","摆摊珍品上架时间，单位天","","",""
"155","24","","摆摊非珍品上架时间，单位小时","","",""
"156","86400","","摆摊：周期，单位秒","","",""
"157","0.8","","装备修理判断是否达到当前装备上限的系数，≤80%*当前耐久上限才可以修理","","",""
"158","10","","烹饪小于技能最低等级","","",""
"159","30","","炼金小于技能最低等级","","",""
"160","89","89","摆摊购买和出售等级","","",""
"161","5000","5000","创建公会费用","","",""
"162","13","13","加入公会角色等级","","",""
"163","30","30","创建公会角色等级","","",""
"164","","0.8","提升功能，活跃度上限百分比提醒","","",""
"165","20000","20000","修炼技能1次消耗银币数量","","",""
"166","25","25","修炼技能最高等级","","",""
"167","3","","挂机刷怪消耗双倍点数","","",""
"168","","14","主线任务常驻特效等级限制","","",""
"169","","160","任务引导粒子特效运动速度（像素/秒）","","",""
"170","","8","引导强制锁屏时间（秒）","","",""
"171","100","100","修改公会名称消耗符石100","","",""
"172","","450","剧情弹出速度","","",""
"173","100","100","活跃度界面上限","","",""
"174","10000","10000","公会一键喊话消费银币","","",""
"175","","300","黑布出现时间","","",""
"176","","300","黑布消失时间","","",""
"177","","11","宠物、助战头像最后一张的后缀数","","",""
"178","","3","提示信息最大滞留时间(秒)","","",""
"179","","1","提示信息速度系数","","",""
"180","","120","签到自动弹出等级下限","","",""
"181","1613","1613","公会领地地图ID","","",""
"182","300","300","公会一键申请CD时间","","",""
"190","","21","战斗冒字间距L""addhp/"",","","",""
"191","","21","战斗冒字间距L""countsubhp/"",","","",""
"192","","21","战斗冒字间距L""addmp/"",","","",""
"193","","21","战斗冒字间距L""submp/"",","","",""
"194","","21","战斗冒字间距L""baojiaddhp/"",","","",""
"195","","21","战斗冒字间距L""baojisubhp/"",","","",""
"196","","21","战斗冒字间距L""addexp/"",","","",""
"197","","21","战斗冒字间距L""countsubhp/"",","","",""
"198","","1.5","剧情动画文字对白间隔时间","","",""
"199","","0.2","世界地图延时时间","","",""
"200","6000","6","世界频道语音发言间隔","","",""
"201","10000","10","职业频道语音发言间隔","","",""
"202","3","3","公会频道语音发言间隔","","",""
"203","3","3","队伍频道语音发言间隔","","",""
"204","","1","系统设置音效大小百分比调节系数","","",""
"205","100","100","公会药房购买最大上限","","",""
"206","","10","挂机级数","","",""
"207","50","50","公会符文每日请求上限","","",""
"208","16","16","打造列表显示上限160级","","",""
"209","","30","手动分解开启 ","","",""
"210","40","40","40级或以下等级玩家加入公会身份为学徒","","",""
"211","50","50","50级学徒自动转为成员","","",""
"212","120","120","禁言自动解除时间120分钟","","",""
"213","3","3","捐赠符文获得声望","","",""
"214","6","6","捐赠符文获得公会贡献","","",""
"215","1000","","特殊修理100耐久度","","",""
"216","1","","盈福经验折损系数（百分比）","","",""
"217","1","","盈福经验额外获得经验的系数（百分比）","","",""
"218","10000000","","盈福经验最大存储量","","",""
"219","570009","","职业闯关额外奖励第一名","","",""
"220","570010","","职业闯关额外奖励第二名","","",""
"221","570011","","职业闯关额外奖励第三名","","",""
"222","5960","","职业闯关普通奖励","","",""
"223","","1","弱引导自动消失时间（秒）","","",""
"224","10","","每日答题的最大题数","","",""
"225","","3","大招最大等级","","",""
"226","0.1","0.1","染色衣柜折损系数","","",""
"227","10000","10000","保存方案花费银币","","",""
"228","10","10","衣橱最大数量","","",""
"229","50","","摆摊出售和购买记录的最大数量","","",""
"230","0.5","","回收宠物价格","","",""
"231","5","","通用奖励次数","","",""
"232","3","3","1v1竞技场匹配间隔时间","","",""
"233","5","5","3v3竞技场匹配间隔时间","","",""
"234","5","5","5v5竞技场匹配间隔时间","","",""
"235","5","","答题中回答正确X个问题","","",""
"236","5860","","答题中回答正确X个问题，可以获得的奖励id","","",""
"237","","60","职业贡献消耗","","",""
"238","20","20","一键申请公会数量","","",""
"239","7","7","技能使用按钮位置","","",""
"241","","0.8","答题对勾飘字显示时间（秒）","","",""
"242","","6","灰色小头像imageset增加数量","","",""
"244","200000","","公会资金少于1000W，三倍产药失效","","",""
"245","100000","","公会资金少于800W，双倍产药失效","","",""
"246","","3","伙伴助战一行数量","","",""
"247","10","","世界宝箱开启次数限制","","",""
"243","","5","秘境降妖-宝箱评级时间","","",""
"240","560014","","秘境降妖第1名礼包","","",""
"250","560015","","秘境降妖第2名礼包","","",""
"251","560016","","秘境降妖第3名礼包","","",""
"252","560017","","秘境降妖第4名礼包","","",""
"253","560018","","秘境降妖第5名礼包","","",""
"254","560019","","秘境降妖第6名礼包","","",""
"255","560020","","秘境降妖第7名礼包","","",""
"256","570006","","秘境降妖第8名礼包","","",""
"257","570007","","秘境降妖第9名礼包","","",""
"258","570008","","秘境降妖第10名礼包","","",""
"261","55","55","珍品宠物出售等级限制","","",""
"262","150","150","满50级学徒满足150贡献自动转成员","","",""
"263","48","48","满50级学徒满足150贡献入会48小时自动转成员","","",""
"264","","20","活动中即将开启根据人物等级+系数级显示","","",""
"265","336010","336010","挂机物品id","","",""
"266","200","200","挂机消耗符石","","",""
"267","100","","可领取点数","","",""
"268","0.4","","洗练宠物最少资质","","",""
"269","","50","任务追踪等级","","",""
"270","50","50","打造装备时候默认使用强化石的系数等级","","",""
"271","0","0","世界频道发言消耗银币","","",""
"272","50","50","公会每日踢人上限","","",""
"273","600","600","服务器创建公会数量上限","","",""
"274","","14","组队申请频道","","",""
"275","","5","开奖界面加速格子数量","","",""
"276","","0.3","开奖界面格子正常速度，多少秒1个格子","","",""
"277","","6","格子移动减速距离结束格子最小数","","",""
"278","","10","格子移动减速距离结束格子最大数","","",""
"279","","50","总格子移动数量最小数","","",""
"280","","60","总格子移动数量最大数","","",""
"281","","3","自动关闭开奖界面时间","","",""
"282","","183706","金箱子ID","","",""
"283","","183707","银箱子ID","","",""
"284","","337943","金钥匙ID","","",""
"285","","337942","银钥匙ID","","",""
"286","99","99","兑换神兽","","",""
"287","20","20","重置神兽","","",""
"288","30","30","提升神兽","","",""
"289","680700","680700","神兽道具id-神兜兜","","",""
"290","100000","100000","生死战消耗银币","","",""
"291","50","","生死战限制等级","","",""
"292","10","","生死战装备耐久","","",""
"293","60","","生死战应战时间","","",""
"294","60","60","跑马灯速度","","",""
"295","1","1","跑马灯次数","","",""
"296","70","70","服务器开启条件1：服务器等级达到70级","","",""
"297","35","35","服务器开启条件2：角色等级达到35级","","",""
