"事件ID","比例","事件说明"
"1","0","充值符石"
"2","0","出售珍品所获得金币"
"3","0","出售非珍品所获得金币"
"4","0","获取世界红包"
"5","0","获取公会红包"
"6","0","购买非珍品消耗金币"
"7","0","购买珍品消耗金币"
"8","0","初始信用值"
"9","0","符石兑换金币"
"10","0","开氪金箱子获得金币"
"11","0","开瑟银箱子获得金币"
"12","0","商城买金宝箱"
"13","0","交易所符石购买金币"
"14","0","交易所寄售金币购买符石"
"15","0","点卡服每日扣点卡"
"16","0","组队红包（收到的金币）"
"17","0","发送世界红包"
"18","0","发送公会红包"
"19","0","发送组队红包"
"20","0","发送世界红包未领取返还"
"21","0","发送公会红包未领取返还"
"22","0","发送组队红包未领取返还"
"23","0","小金龙获得金币"
"24","0","活跃度领取的1000金币"
"25","0","交易所金币单未成交返还"
"26","0","挂单在藏宝阁"
"27","0","从藏宝阁中获得"
"101","0","充值符石"
"102","0","出售珍品所获得金币"
"103","0","出售非珍品所获得金币"
"104","0","获取世界红包"
"105","0","获取公会红包"
"106","0","购买非珍品消耗金币"
"107","0","购买珍品消耗金币"
"108","0","初始信用值"
"109","0","符石兑换金币"
"110","0","开氪金箱子获得金币"
"111","0","开瑟银箱子获得金币"
"112","0","商城买金宝箱"
"113","0","交易所符石购买金币"
"114","0","交易所寄售金币购买符石"
"115","0","点卡服每日扣点卡"
"116","0","组队红包（收到的金币）"
"117","0","发送世界红包"
"118","0","发送公会红包"
"119","0","发送组队红包"
"120","0","发送世界红包未领取返还"
"121","0","发送公会红包未领取返还"
"122","0","发送组队红包未领取返还"
"123","0","小金龙获得金币"
"124","0","活跃度领取的1000金币"
"125","0","交易所金币单未成交返还"
"126","0","挂单在藏宝阁"
"127","0","从藏宝阁中获得"
