"路径ID","巡游坐骑","绑定特效","摄像机高度","巡游速度","场景ID","策划备注","路点总数","寻路点1","寻路点2","寻路点3","寻路点4","寻路点5","寻路点6","寻路点7","寻路点8","寻路点9","寻路点10","寻路点11","寻路点12","寻路点13","寻路点14","寻路点15","寻路点16","寻路点17","寻路点18","寻路点19","寻路点20"
"1","505","geffect/ui/mt_yinsonglin/mt_yinsonglin","0","200","2210","达拉然","15","5,10,0","28,52,0","14,98,0","40,71,0","21,114,0","39,142,0","42,101,0","60,116,0","65,141,0","76,78,0","87,100,0","83,126,0","97,155,0","114,149,0","137,136,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0"
"2","505","geffect/ui/mt_yinsonglin/mt_yinsonglin","0","900","1616","奥格瑞姆","4","80,99,0","95,99,0","95,127,0","113,127,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0"
"3","505","geffect/ui/mt_yinsonglin/mt_yinsonglin","0","1400","1613","公会","3","23,47,0","30,23,0","50,35,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0"
"4","505","","3000","1300","1616","建邺城","5","114,21,2000","82,43,2000","45,45,2000","19,23,2000","6,19,2000","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0"
"5","505","","3000","1300","1614","长寿村","5","108,105,2000","84,84,2000","63,66,2000","32,38,2000","16,29,500","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0"
"6","505","geffect/ui/mt_ziluolan/mt_ziluolan","3000","1000","1618","雷霆村","3","52,35,0","68,15,3000","77,3,3000","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0"
"7","505","geffect/ui/mt_ziluolan/mt_ziluolan","3000","1500","1621","修道院","4","36,53,0","19,34,0","10,21,2000","0,2,3000","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0"
"8","505","geffect/ui/mt_ziluolan/mt_ziluolan","3000","1500","1622","永夜林地","3","37,42,0","56,52,0","78,64,3000","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0"
"9","505","geffect/ui/mt_ziluolan/mt_ziluolan","3000","1500","1620","暗矛镇","2","36,26,2000","25,2,3000","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0"
"10","505","geffect/ui/mt_ziluolan/mt_ziluolan","3000","1700","1617","太阳岛","2","13,44,2000","17,1,3000","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0"
"11","505","geffect/ui/mt_ziluolan/mt_ziluolan","3000","1500","1619","提瑞斯镇","4","26,44,2000","50,58,2000","72,50,3000","79,48,3000","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0"
"12","505","geffect/ui/mt_ziluolan/mt_ziluolan","3000","1500","1691","血蹄村","3","52,35,0","68,15,3000","77,3,3000","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0"
"13","505","geffect/ui/mt_ziluolan/mt_ziluolan","3000","1500","1690","摩萨德","2","43,43,1000","78,37,3000","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0"
"14","505","geffect/ui/mt_ziluolan/mt_ziluolan","3000","1500","1692","遗忘之城","4","50,42,2000","28,30,2000","21,9,3000","10,11,1000","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0"
"15","505","geffect/ui/mt_ziluolan/mt_ziluolan","3000","1500","1615","达拉然","2","102,271,3000","95,261,3000","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0"
"16","505","geffect/ui/mt_ziluolan/mt_ziluolan","4000","1500","1615","达拉然","18","85,244,4000","72,232,2000","16,148,2000","27,113,2000","33,95,5000","37,90,2000","53,51,2000","70,43,5000","90,53,2000","183,79,2000","206,101,2000","212,112,5000","182,130,2000","133,130,2000","116,163,2000","110,175,5000","133,227,3000","166,217,0","0,0,0","0,0,0"
"17","505","","1000","1200","1618","大唐官府","3","33,56,0","56,63,0","69,72,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0"
"18","505","","2000","1200","1621","方寸山","3","33,63,0","67,103,0","85,117,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0"
"19","505","","2000","1200","1622","阴曹地府","2","51,40,0","5,84,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0"
"20","505","","2000","1200","1620","狮驼岭","2","60,109,0","80,138,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0"
"21","505","","500","1200","1617","龙宫","3","47,39,500","21,58,500","3,72,500","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0"
"22","505","","1000","1200","1619","普陀山","3","20,52,0","48,70,0","74,87,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0"
"23","505","","0","1200","1625","魔王寨","2","34,60,0","33,124,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0"
"24","505","","1000","1200","1623","月宫","2","47,63,0","5,87,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0"
"25","505","","1000","1200","1624","化生寺","2","21,72,0","5,87,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0"
