"传说次数","权重"
"1","10"
"2","5"
"3","5"
"4","3"
"5","2"
"6","2"
"7","2"
"8","2"
"9","2"
"10","2"
"11","2"
"12","2"
"13","2"
"14","2"
"15","2"
"16","2"
"17","2"
"18","2"
"19","2"
"20","2"
"21","2"
"22","2"
"23","2"
"24","2"
"25","2"
"26","2"
"27","2"
"28","2"
"29","2"
"30","2"
"31","1"
"32","1"
"33","1"
"34","1"
"35","1"
"36","1"
"37","1"
"38","1"
"39","1"
"40","1"
"41","1"
"42","1"
"43","1"
"44","1"
"45","1"
"46","1"
"47","1"
"48","1"
"49","1"
"50","1"
"51","1"
"52","1"
"53","1"
"54","1"
"55","1"
"56","0"
"57","0"
"58","0"
"59","0"
"60","0"
