"id","活动类型","备注","任务类型","类型下组id","后置任务","接任务npcid","任务栏任务名称","任务名称","任务目的","任务描述","追踪显示任务名","追踪描述","寻路跳转","是否自动完成","提交任务NPC","是否可任性","公会求助","世界求助","任务栏任务名称（交）","任务名称（交）","任务目的（交）","任务描述（交）","追踪显示任务名（交）","追踪描述（交）","接任务对话","目标NPC对话","交任务对话","任务完成后提示","奖励","匹配奖励方式","分级奖励","任务难度"
"1010001","1010000","师门送信","1","1","","1","师门任务","师门任务•送信($Number$/$Number1$)","<T t=""送信给"" c=""ff8c5e2a""></T><T t=""$NPCName$"" c=""FF02972C""></T>","<T t=""帮师傅送信给"" c=""ff8c5e2a""></T><T t=""$NPCName$"" c=""FF02972C""></T><T t=""这个可是讨好师傅的好机会啊"" c=""ff8c5e2a""></T>","师门•送信($Number$/$Number1$)","<T t=""帮师傅送信给"" c=""fffff2df""></T><T t=""$NPCName$"" c=""ff00ff00""></T>","1","1","","0","","","职业任务-送信($Number$/$Number1$)","职业任务-送信($Number$/$Number1$)","<T t=""送信给"" c=""ff5f3e22""></T><T t=""$NPCName$"" c=""ff005b0f""></T>","<T t=""帮职业导师送信给"" c=""ff5f3e22""></T><T t=""$NPCName$"" c=""ff005b0f""></T><T t=""这个可是讨好导师的好机会啊"" c=""ff5f3e22""></T>","职业任务-送信($Number$/$Number1$)","<T t=""帮职业导师送信给"" c=""ff5f3e22""></T><T t=""$NPCName$"" c=""ff005b0f""></T>","1","2","","","","","","1"
"1010002","1010000","师门采集1","2","5","","1","师门任务","师门任务•采集($Number$/$Number1$)","<T t=""去"" c=""ff8c5e2a""></T><T t=""$MapName$"" c=""FF02972C""></T><T t=""采集草药"" c=""ff8c5e2a""></T>","<T t=""前往"" c=""ff8c5e2a""></T><T t=""$MapName$"" c=""FF02972C""></T><T t=""采集草药，完成任务可获得一级药品"" c=""ff8c5e2a""></T><T t="""" c=""ff8c5e2a""></T>","师门•采集($Number$/$Number1$)","<T t=""前往"" c=""fffff2df""></T><T t=""$MapName$"" c=""ff00ff00""></T><T t=""采集草药"" c=""fffff2df""></T><T t=""(采集可获得一级药品)"" c=""ffffff00""></T>","1","1","","0","","","职业任务-巡逻($Number$/$Number1$)","职业任务-巡逻($Number$/$Number1$)","<T t=""去"" c=""ff5f3e22""></T><T t=""$MapName$"" c=""ff005b0f""></T><T t=""巡逻"" c=""ff5f3e22""></T>","<T t=""职业导师让你去"" c=""ff5f3e22""></T><T t=""$MapName$"" c=""ff005b0f""></T><T t=""巡逻"" c=""ff5f3e22""></T><T t=""教训一些不求上进的无良地痞"" c=""ff5f3e22""></T>","职业任务-巡逻($Number$/$Number1$)","<T t=""职业导师让你去"" c=""ff5f3e22""></T><T t=""$MapName$"" c=""ff005b0f""></T><T t=""巡逻"" c=""ff5f3e22""></T>","3","","","","5008","","","1"
"1010003","1010000","师门采集2","2","6","","1","师门任务","师门任务•采集($Number$/$Number1$)","<T t=""去"" c=""ff8c5e2a""></T><T t=""$MapName$"" c=""FF02972C""></T><T t=""采集草药"" c=""ff8c5e2a""></T>","<T t=""前往"" c=""ff8c5e2a""></T><T t=""$MapName$"" c=""FF02972C""></T><T t=""采集草药，完成任务可获得一级药品"" c=""ff8c5e2a""></T><T t="""" c=""ff8c5e2a""></T>","师门•采集($Number$/$Number1$)","<T t=""前往"" c=""fffff2df""></T><T t=""$MapName$"" c=""ff00ff00""></T><T t=""采集草药"" c=""fffff2df""></T><T t=""(采集可获得一级药品)"" c=""ffffff00""></T>","1","1","","0","","","职业任务-巡逻($Number$/$Number1$)","职业任务-巡逻($Number$/$Number1$)","<T t=""去"" c=""ff5f3e22""></T><T t=""$MapName$"" c=""ff005b0f""></T><T t=""巡逻"" c=""ff5f3e22""></T>","<T t=""职业导师让你去"" c=""ff5f3e22""></T><T t=""$MapName$"" c=""ff005b0f""></T><T t=""巡逻"" c=""ff5f3e22""></T><T t=""教训一些不求上进的无良地痞"" c=""ff5f3e22""></T>","职业任务-巡逻($Number$/$Number1$)","<T t=""职业导师让你去"" c=""ff5f3e22""></T><T t=""$MapName$"" c=""ff005b0f""></T><T t=""巡逻"" c=""ff5f3e22""></T>","3","","","","5008","","","1"
"1010004","1010000","师门采集3","2","7","","1","师门任务","师门任务•采集($Number$/$Number1$)","<T t=""去"" c=""ff8c5e2a""></T><T t=""$MapName$"" c=""FF02972C""></T><T t=""采集草药"" c=""ff8c5e2a""></T>","<T t=""前往"" c=""ff8c5e2a""></T><T t=""$MapName$"" c=""FF02972C""></T><T t=""采集草药，完成任务可获得一级药品"" c=""ff8c5e2a""></T><T t="""" c=""ff8c5e2a""></T>","师门•采集($Number$/$Number1$)","<T t=""前往"" c=""fffff2df""></T><T t=""$MapName$"" c=""ff00ff00""></T><T t=""采集草药"" c=""fffff2df""></T><T t=""(采集可获得一级药品)"" c=""ffffff00""></T>","1","1","","0","","","职业任务-巡逻($Number$/$Number1$)","职业任务-巡逻($Number$/$Number1$)","<T t=""去"" c=""ff5f3e22""></T><T t=""$MapName$"" c=""ff005b0f""></T><T t=""巡逻"" c=""ff5f3e22""></T>","<T t=""职业导师让你去"" c=""ff5f3e22""></T><T t=""$MapName$"" c=""ff005b0f""></T><T t=""巡逻"" c=""ff5f3e22""></T><T t=""教训一些不求上进的无良地痞"" c=""ff5f3e22""></T>","职业任务-巡逻($Number$/$Number1$)","<T t=""职业导师让你去"" c=""ff5f3e22""></T><T t=""$MapName$"" c=""ff005b0f""></T><T t=""巡逻"" c=""ff5f3e22""></T>","3","","","","5008","","","1"
"1010005","1010000","师门采集4","2","8","","1","师门任务","师门任务•采集($Number$/$Number1$)","<T t=""去"" c=""ff8c5e2a""></T><T t=""$MapName$"" c=""FF02972C""></T><T t=""采集草药"" c=""ff8c5e2a""></T>","<T t=""前往"" c=""ff8c5e2a""></T><T t=""$MapName$"" c=""FF02972C""></T><T t=""采集草药，完成任务可获得一级药品"" c=""ff8c5e2a""></T><T t="""" c=""ff8c5e2a""></T>","师门•采集($Number$/$Number1$)","<T t=""前往"" c=""fffff2df""></T><T t=""$MapName$"" c=""ff00ff00""></T><T t=""采集草药"" c=""fffff2df""></T><T t=""(采集可获得一级药品)"" c=""ffffff00""></T>","1","1","","0","","","职业任务-巡逻($Number$/$Number1$)","职业任务-巡逻($Number$/$Number1$)","<T t=""去"" c=""ff5f3e22""></T><T t=""$MapName$"" c=""ff005b0f""></T><T t=""巡逻"" c=""ff5f3e22""></T>","<T t=""职业导师让你去"" c=""ff5f3e22""></T><T t=""$MapName$"" c=""ff005b0f""></T><T t=""巡逻"" c=""ff5f3e22""></T><T t=""教训一些不求上进的无良地痞"" c=""ff5f3e22""></T>","职业任务-巡逻($Number$/$Number1$)","<T t=""职业导师让你去"" c=""ff5f3e22""></T><T t=""$MapName$"" c=""ff005b0f""></T><T t=""巡逻"" c=""ff5f3e22""></T>","3","","","","5008","","","1"
"1010006","1010000","师门采集5","2","9","","1","师门任务","师门任务•采集($Number$/$Number1$)","<T t=""去"" c=""ff8c5e2a""></T><T t=""$MapName$"" c=""FF02972C""></T><T t=""采集草药"" c=""ff8c5e2a""></T>","<T t=""前往"" c=""ff8c5e2a""></T><T t=""$MapName$"" c=""FF02972C""></T><T t=""采集草药，完成任务可获得一级药品"" c=""ff8c5e2a""></T><T t="""" c=""ff8c5e2a""></T>","师门•采集($Number$/$Number1$)","<T t=""前往"" c=""fffff2df""></T><T t=""$MapName$"" c=""ff00ff00""></T><T t=""采集草药"" c=""fffff2df""></T><T t=""(采集可获得一级药品)"" c=""ffffff00""></T>","1","1","","0","","","职业任务-巡逻($Number$/$Number1$)","职业任务-巡逻($Number$/$Number1$)","<T t=""去"" c=""ff5f3e22""></T><T t=""$MapName$"" c=""ff005b0f""></T><T t=""巡逻"" c=""ff5f3e22""></T>","<T t=""职业导师让你去"" c=""ff5f3e22""></T><T t=""$MapName$"" c=""ff005b0f""></T><T t=""巡逻"" c=""ff5f3e22""></T><T t=""教训一些不求上进的无良地痞"" c=""ff5f3e22""></T>","职业任务-巡逻($Number$/$Number1$)","<T t=""职业导师让你去"" c=""ff5f3e22""></T><T t=""$MapName$"" c=""ff005b0f""></T><T t=""巡逻"" c=""ff5f3e22""></T>","3","","","","5008","","","1"
"1010007","1010000","师门采集6","2","10","","1","师门任务","师门任务•采集($Number$/$Number1$)","<T t=""去"" c=""ff8c5e2a""></T><T t=""$MapName$"" c=""FF02972C""></T><T t=""采集草药"" c=""ff8c5e2a""></T>","<T t=""前往"" c=""ff8c5e2a""></T><T t=""$MapName$"" c=""FF02972C""></T><T t=""采集草药，完成任务可获得一级药品"" c=""ff8c5e2a""></T><T t="""" c=""ff8c5e2a""></T>","师门•采集($Number$/$Number1$)","<T t=""前往"" c=""fffff2df""></T><T t=""$MapName$"" c=""ff00ff00""></T><T t=""采集草药"" c=""fffff2df""></T><T t=""(采集可获得一级药品)"" c=""ffffff00""></T>","1","1","","0","","","职业任务-巡逻($Number$/$Number1$)","职业任务-巡逻($Number$/$Number1$)","<T t=""去"" c=""ff5f3e22""></T><T t=""$MapName$"" c=""ff005b0f""></T><T t=""巡逻"" c=""ff5f3e22""></T>","<T t=""职业导师让你去"" c=""ff5f3e22""></T><T t=""$MapName$"" c=""ff005b0f""></T><T t=""巡逻"" c=""ff5f3e22""></T><T t=""教训一些不求上进的无良地痞"" c=""ff5f3e22""></T>","职业任务-巡逻($Number$/$Number1$)","<T t=""职业导师让你去"" c=""ff5f3e22""></T><T t=""$MapName$"" c=""ff005b0f""></T><T t=""巡逻"" c=""ff5f3e22""></T>","3","","","","5008","","","1"
"1010008","1010000","师门内巡逻战斗","6","1","","1","师门任务","师门任务•巡逻($Number$/$Number1$)","<T t=""在"" c=""ff8c5e2a""></T><T t=""师门"" c=""FF02972C""></T><T t=""巡逻，看看是谁在捣乱。"" c=""ff8c5e2a""></T>","<T t=""在"" c=""ff8c5e2a""></T><T t=""师门"" c=""FF02972C""></T><T t=""巡逻"" c=""ff8c5e2a""></T><T t=""看看是谁在哪里调皮捣蛋"" c=""ff8c5e2a""></T>","师门•巡逻($Number$/$Number1$)","<T t=""在"" c=""fffff2df""></T><T t=""师门"" c=""ff00ff00""></T><T t=""巡逻，看看是谁在捣乱。"" c=""fffff2df""></T>","1","1","","0","","","职业任务-巡逻($Number$/$Number1$)","职业任务-巡逻($Number$/$Number1$)","<T t=""去"" c=""ff5f3e22""></T><T t=""$MapName$"" c=""ff005b0f""></T><T t=""巡逻"" c=""ff5f3e22""></T>","<T t=""职业导师让你去"" c=""ff5f3e22""></T><T t=""$MapName$"" c=""ff005b0f""></T><T t=""巡逻"" c=""ff5f3e22""></T><T t=""教训一些不求上进的无良地痞"" c=""ff5f3e22""></T>","职业任务-巡逻($Number$/$Number1$)","<T t=""职业导师让你去"" c=""ff5f3e22""></T><T t=""$MapName$"" c=""ff005b0f""></T><T t=""巡逻"" c=""ff5f3e22""></T>","3","","","","","","","1"
"1010009","1010000","师门寻物-炼药","4","3","","1","师门任务","师门任务•炼药($Number$/$Number1$)","<T t=""去找个"" c=""ff8c5e2a""></T><T t=""$ItemName$"" c=""FF02972C""></T><T t=""来"" c=""ff8c5e2a""></T>","<T t=""帮师傅找个"" c=""ff8c5e2a""></T><T t=""$ItemName$"" c=""FF02972C""></T><T t=""来"" c=""ff8c5e2a""></T><T t=""(拥有$Number2$/$Number3$)"" c=""FF02972C""></T><T t="""" c=""ff8c5e2a""></T>","师门•炼药($Number$/$Number1$)","<T t=""师傅让你寻个"" c=""fffff2df""></T><T t=""$ItemName$"" c=""ff00ff00""></T><T t=""来"" c=""fffff2df""></T><T t=""(拥有$Number2$/$Number3$)"" c=""ff00ff00""></T><T t=""上交高于$Number4$品质，可以获得额外奖励"" c=""ffffff00""></T><T t=""通过炼药获得"" c=""fffff2df""></T>","1","0","11@13104,12@13101,13@13102,14@13100,15@13105,16@13103,18@13106,17@13107,19@13108,21@13111,24@13110,25@13112,22@13109","0","","","职业任务-寻物($Number$/$Number1$)","职业任务-寻物($Number$/$Number1$)","<T t=""去找个"" c=""ff5f3e22""></T><T t=""$ItemName$"" c=""ff005b0f""></T><T t=""来"" c=""ff5f3e22""></T>","<T t=""职业导师让你去找个"" c=""ff5f3e22""></T><T t=""$ItemName$"" c=""ff005b0f""></T><T t=""来"" c=""ff5f3e22""></T><T t=""(拥有$Number2$/$Number3$)"" c=""ff005b0f""></T><T t=""用来补充联盟的日常消耗"" c=""ff5f3e22""></T>","职业任务-寻物($Number$/$Number1$)","<T t=""职业导师让你去找个"" c=""ff5f3e22""></T><T t=""$ItemName$"" c=""ff005b0f""></T><T t=""来"" c=""ff5f3e22""></T><T t=""(拥有$Number2$/$Number3$)"" c=""ff005b0f""></T>","7","","8","193124","5007","","","1"
"1010010","1010000","师门寻物-烹饪","4","4","","1","师门任务","师门任务•烹饪($Number$/$Number1$)","<T t=""去找个"" c=""ff8c5e2a""></T><T t=""$ItemName$"" c=""FF02972C""></T><T t=""来"" c=""ff8c5e2a""></T>","<T t=""帮师傅找个"" c=""ff8c5e2a""></T><T t=""$ItemName$"" c=""FF02972C""></T><T t=""来"" c=""ff8c5e2a""></T><T t=""(拥有$Number2$/$Number3$)"" c=""FF02972C""></T><T t="""" c=""ff8c5e2a""></T>","师门•烹饪($Number$/$Number1$)","<T t=""师傅让你寻个"" c=""fffff2df""></T><T t=""$ItemName$"" c=""ff00ff00""></T><T t=""来"" c=""fffff2df""></T><T t=""(拥有$Number2$/$Number3$)"" c=""ff00ff00""></T><T t=""上交高于$Number4$品质，可以获得额外奖励"" c=""ffffff00""></T><T t=""通过烹饪获得"" c=""fffff2df""></T>","1","0","11@13104,12@13101,13@13102,14@13100,15@13105,16@13103,18@13106,17@13107,19@13108,21@13111,24@13110,25@13112,22@13109","0","","","职业任务-寻物($Number$/$Number1$)","职业任务-寻物($Number$/$Number1$)","<T t=""去找个"" c=""ff5f3e22""></T><T t=""$ItemName$"" c=""ff005b0f""></T><T t=""来"" c=""ff5f3e22""></T>","<T t=""职业导师让你去找个"" c=""ff5f3e22""></T><T t=""$ItemName$"" c=""ff005b0f""></T><T t=""来"" c=""ff5f3e22""></T><T t=""(拥有$Number2$/$Number3$)"" c=""ff005b0f""></T><T t=""用来补充联盟的日常消耗"" c=""ff5f3e22""></T>","职业任务-寻物($Number$/$Number1$)","<T t=""职业导师让你去找个"" c=""ff5f3e22""></T><T t=""$ItemName$"" c=""ff005b0f""></T><T t=""来"" c=""ff5f3e22""></T><T t=""(拥有$Number2$/$Number3$)"" c=""ff005b0f""></T>","7","","8","193124","5007","","","1"
