"ID","功能","等级触发","任务完成触发","图标","是否播发特效","位置","顺序","控件名","开启任务ID"
"1","宠物","0","0","","1","3","0","UserPeticon/PetBack",""
"2","指引","6","0","","1","2","2","LogoInfo/backImage/btnzhiyin",""
"3","签到","1","0","","0","4","0","LogoInfo/backImage/btnjiangli",""
"4","技能","14","0","","1","1","3","MainControlDlg/back/skill",""
"5","帮会","16","0","","0","1","2","MainControlDlg/back/faction","500101"
"6","助战","17","0","","0","1","4","MainControlDlg/back/friend",""
"7","挂机","25","0","","0","2","3","LogoInfo/backImage/btnguaji",""
"8","排行","31","0","","0","1","1","MainControlDlg/back/paihang",""
"9","福利","0","0","","0","4","0","LogoInfo/backImage/btnjiangli",""
"10","生活技能","35","0","","0","1","3","MainControlDlg/back/skill","500301"
"11","强化","32","0","","0","1","0","MainControlDlg/back/production",""
"12","镶嵌","32","0","","0","1","0","MainControlDlg/back/production",""
"13","提升","15","0","","0","2","4","LogoInfo/backImage/btntishen",""
"14","活动","19","0","","0","2","1","LogoInfo/backImage/btnhuodong",""
"15","合成","32","0","","0","1","0","MainControlDlg/back/production","500501"
"16","人物修炼","45","0","","0","1","0","MainControlDlg/back/skill","500201"
"17","宠物修炼","55","0","","0","1","0","MainControlDlg/back/skill",""
"18","宝石合成","32","0","","0","1","0","MainControlDlg/back/production",""
"19","组队(精英本)","999","0","","0","1","0","TaskTracingDialog/title/team",""
"20","加点","999","0","","0","1","0","UserPeticon/userIcon",""
"21","打造","999","0","","0","1","0","MainControlDlg/back/production",""
"22","成就奖励","999","0","","0","1","0","LogoInfo/backImage/btnzhiyin",""
"23","宠物更换指引","999","0","","0","1","0","UserPeticon/PetIcon",""
"24","公会技能","999","0","","0","1","0","MainControlDlg/back/skill",""
"25","宠物加点调整","56","0","","0","1","0","UserPeticon/PetIcon",""
"26","商会购买指引","999","0","","0","1","0","MainControlDlg/back/production",""
"27","装备修理","32","0","","0","1","0","MainControlDlg/back/production",""
"28","洗宠","999","0","","0","1","0","MainControlDlg/back/production",""
"29","人物修炼","999","0","","0","1","0","MainControlDlg/back/production",""
"30","宠物修炼","999","0","","0","1","0","MainControlDlg/back/production",""
"31","坐骑","0","0","","0","1","3","",""
"32","器灵","0","0","","0","1","2","",""
"33","帮派","0","0","","0","1","0","",""
"34","法宝","0","0","","0","1","1","",""
