"id","ios默认值","安卓默认值","策划备注"
"1","1","1","音乐"
"2","125","125","音量调节"
"3","1","1","音效"
"4","0","1","场景特效显示"
"5","1","1","同屏人数显示"
"6","0","1","画面刷新频率"
"7","1","1","自动语音-公会"
"8","1","1","自动语音-世界"
"9","1","1","自动语音-队伍"
"10","0","0","自动语音-职业"
"11","0","0","拒绝组队邀请"
"12","1","1","世界频道"
"13","1","1","公会频道"
"14","1","1","职业频道"
"15","1","1","当前频道"
"16","1","1","队伍频道"
"17","0","0","pvp通知"
"18","1","1","好友聊天记录加密"
"19","0","0","只接受好友消息"
"20","1","1","人物加点提醒"
"21","1","1","宠物加点提醒"
"22","1","1","职业技能提醒"
"23","1","1","活跃度提醒"
"24","1","1","光环提醒"
"25","0","0","技能开放"
"26","0","0","公会开放"
"27","0","0","宠物开放"
"28","0","0","助战开放"
"29","0","0","组队频道"
"30","0","0","挂机开放"
"31","0","0","指引开放"
"32","0","0","活动开放"
"33","0","1","切磋"
"34","1","1","冠军试炼"
"35","1","1","MT人文探索"
"36","1","1","1V1竞技场"
"37","1","1","公会副本"
"38","1","1","3V3竞技场"
"39","1","1","研学者试炼"
"40","1","1","游学者试炼"
"41","1","1","奥山战场"
"42","0","0","公会邀请"
"43","0","0","拒绝查看装备"
"44","0","0","录屏功能"
