"id","光环等级","升级经验","光环id","描述1","描述2","描述3","描述4","描述5","描述6","描述7","描述8","描述9","描述10","被克描述1","被克描述2","被克描述3","被克描述4","被克描述5","被克描述6","被克描述7","被克描述8","被克描述9","被克描述10","效果1","效果2","效果3","效果4","效果5","效果6","效果7","效果8","效果9","效果10","被克效果1","被克效果2","被克效果3","被克效果4","被克效果5","被克效果6","被克效果7","被克效果8","被克效果9","被克效果10"
"1","0","0","0","无","无","无","无","无","无","无","无","无","无","无","无","无","无","无","无","无","无","无","无","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"2","1","0","1","<T t=""伤害+11%""></T><B></B><T t=""速度-10%""></T>","<T t=""伤害+11%""></T><B></B><T t=""速度-10%""></T>","<T t=""伤害+11%""></T><B></B><T t=""速度-10%""></T>","<T t=""伤害+11%""></T><B></B><T t=""速度-10%""></T>","<T t=""伤害+11%""></T><B></B><T t=""速度-10%""></T>","","","","","","<T t=""速度+2%(被克制)""></T>","<T t=""速度+1.5%(被克制)""></T>","<T t=""速度+1.5%(被克制)""></T>","<T t=""速度+1.5%(被克制)""></T>","<T t=""速度+1.5%(被克制)""></T>","<T t=""速度+2%(被克制)""></T>","<T t=""速度+1.5%(被克制)""></T>","<T t=""速度+1.5%(被克制)""></T>","<T t=""速度+1.5%(被克制)""></T>","<T t=""速度+1.5%(被克制)""></T>","physicrevise_value=0.11;magicrevise_value=0.11;speed_percent=-0.10","physicrevise_value=0.11;magicrevise_value=0.11;speed_percent=-0.10","physicrevise_value=0.11;magicrevise_value=0.11;speed_percent=-0.10","physicrevise_value=0.11;magicrevise_value=0.11;speed_percent=-0.10","physicrevise_value=0.11;magicrevise_value=0.11;speed_percent=-0.10","","","","","","speed_percent=0.02","speed_percent=0.015","speed_percent=0.015","speed_percent=0.015","speed_percent=0.015","speed_percent=0.02","speed_percent=0.015","speed_percent=0.015","speed_percent=0.015","speed_percent=0.015"
"3","2","20000","1","<T t=""伤害+13%""></T><B></B><T t=""速度-13%""></T>","<T t=""伤害+13%""></T><B></B><T t=""速度-13%""></T>","<T t=""伤害+13%""></T><B></B><T t=""速度-13%""></T>","<T t=""伤害+13%""></T><B></B><T t=""速度-13%""></T>","<T t=""伤害+13%""></T><B></B><T t=""速度-13%""></T>","","","","","","<T t=""速度+4%(被克制)""></T>","<T t=""速度+3%(被克制)""></T>","<T t=""速度+3%(被克制)""></T>","<T t=""速度+3%(被克制)""></T>","<T t=""速度+3%(被克制)""></T>","<T t=""速度+4%(被克制)""></T>","<T t=""速度+3%(被克制)""></T>","<T t=""速度+3%(被克制)""></T>","<T t=""速度+3%(被克制)""></T>","<T t=""速度+3%(被克制)""></T>","physicrevise_value=0.13;magicrevise_value=0.13;speed_percent=-0.13","physicrevise_value=0.13;magicrevise_value=0.13;speed_percent=-0.13","physicrevise_value=0.13;magicrevise_value=0.13;speed_percent=-0.13","physicrevise_value=0.13;magicrevise_value=0.13;speed_percent=-0.13","physicrevise_value=0.13;magicrevise_value=0.13;speed_percent=-0.13","","","","","","speed_percent=0.04","speed_percent=0.03","speed_percent=0.03","speed_percent=0.03","speed_percent=0.03","speed_percent=0.04","speed_percent=0.03","speed_percent=0.03","speed_percent=0.03","speed_percent=0.03"
"4","3","30000","1","<T t=""伤害+15%""></T><B></B><T t=""速度-15%""></T>","<T t=""伤害+15%""></T><B></B><T t=""速度-15%""></T>","<T t=""伤害+15%""></T><B></B><T t=""速度-15%""></T>","<T t=""伤害+15%""></T><B></B><T t=""速度-15%""></T>","<T t=""伤害+15%""></T><B></B><T t=""速度-15%""></T>","","","","","","<T t=""速度+6%(被克制)""></T>","<T t=""速度+4.5%(被克制)""></T>","<T t=""速度+4.5%(被克制)""></T>","<T t=""速度+4.5%(被克制)""></T>","<T t=""速度+4.5%(被克制)""></T>","<T t=""速度+6%(被克制)""></T>","<T t=""速度+4.5%(被克制)""></T>","<T t=""速度+4.5%(被克制)""></T>","<T t=""速度+4.5%(被克制)""></T>","<T t=""速度+4.5%(被克制)""></T>","physicrevise_value=0.15;magicrevise_value=0.15;speed_percent=-0.15","physicrevise_value=0.15;magicrevise_value=0.15;speed_percent=-0.15","physicrevise_value=0.15;magicrevise_value=0.15;speed_percent=-0.15","physicrevise_value=0.15;magicrevise_value=0.15;speed_percent=-0.15","physicrevise_value=0.15;magicrevise_value=0.15;speed_percent=-0.15","","","","","","speed_percent=0.06","speed_percent=0.045","speed_percent=0.045","speed_percent=0.045","speed_percent=0.045","speed_percent=0.06","speed_percent=0.045","speed_percent=0.045","speed_percent=0.045","speed_percent=0.045"
"5","4","40000","1","<T t=""伤害+17%""></T><B></B><T t=""速度-17%""></T>","<T t=""伤害+17%""></T><B></B><T t=""速度-17%""></T>","<T t=""伤害+17%""></T><B></B><T t=""速度-17%""></T>","<T t=""伤害+17%""></T><B></B><T t=""速度-17%""></T>","<T t=""伤害+17%""></T><B></B><T t=""速度-17%""></T>","","","","","","<T t=""速度+8%(被克制)""></T>","<T t=""速度+6%(被克制)""></T>","<T t=""速度+6%(被克制)""></T>","<T t=""速度+6%(被克制)""></T>","<T t=""速度+6%(被克制)""></T>","<T t=""速度+8%(被克制)""></T>","<T t=""速度+6%(被克制)""></T>","<T t=""速度+6%(被克制)""></T>","<T t=""速度+6%(被克制)""></T>","<T t=""速度+6%(被克制)""></T>","physicrevise_value=0.17;magicrevise_value=0.17;speed_percent=-0.17","physicrevise_value=0.17;magicrevise_value=0.17;speed_percent=-0.17","physicrevise_value=0.17;magicrevise_value=0.17;speed_percent=-0.17","physicrevise_value=0.17;magicrevise_value=0.17;speed_percent=-0.17","physicrevise_value=0.17;magicrevise_value=0.17;speed_percent=-0.17","","","","","","speed_percent=0.08","speed_percent=0.06","speed_percent=0.06","speed_percent=0.06","speed_percent=0.06","speed_percent=0.08","speed_percent=0.06","speed_percent=0.06","speed_percent=0.06","speed_percent=0.06"
"6","5","50000","1","<T t=""伤害+19%""></T><B></B><T t=""速度-19%""></T>","<T t=""伤害+19%""></T><B></B><T t=""速度-19%""></T>","<T t=""伤害+19%""></T><B></B><T t=""速度-19%""></T>","<T t=""伤害+19%""></T><B></B><T t=""速度-19%""></T>","<T t=""伤害+19%""></T><B></B><T t=""速度-19%""></T>","","","","","","<T t=""速度+10%(被克制)""></T>","<T t=""速度+7.5%(被克制)""></T>","<T t=""速度+7.5%(被克制)""></T>","<T t=""速度+7.5%(被克制)""></T>","<T t=""速度+7.5%(被克制)""></T>","<T t=""速度+10%(被克制)""></T>","<T t=""速度+7.5%(被克制)""></T>","<T t=""速度+7.5%(被克制)""></T>","<T t=""速度+7.5%(被克制)""></T>","<T t=""速度+7.5%(被克制)""></T>","physicrevise_value=0.19;magicrevise_value=0.19;speed_percent=-0.19","physicrevise_value=0.19;magicrevise_value=0.19;speed_percent=-0.19","physicrevise_value=0.19;magicrevise_value=0.19;speed_percent=-0.19","physicrevise_value=0.19;magicrevise_value=0.19;speed_percent=-0.19","physicrevise_value=0.19;magicrevise_value=0.19;speed_percent=-0.19","","","","","","speed_percent=0.1","speed_percent=0.075","speed_percent=0.075","speed_percent=0.075","speed_percent=0.075","speed_percent=0.1","speed_percent=0.075","speed_percent=0.075","speed_percent=0.075","speed_percent=0.075"
"7","6","50000","1","<T t=""伤害+19%""></T><B></B><T t=""速度-19%""></T>","<T t=""伤害+19%""></T><B></B><T t=""速度-19%""></T>","<T t=""伤害+19%""></T><B></B><T t=""速度-19%""></T>","<T t=""伤害+19%""></T><B></B><T t=""速度-19%""></T>","<T t=""伤害+19%""></T><B></B><T t=""速度-19%""></T>","","","","","","<T t=""速度+10%(被克制)""></T>","<T t=""速度+7.5%(被克制)""></T>","<T t=""速度+7.5%(被克制)""></T>","<T t=""速度+7.5%(被克制)""></T>","<T t=""速度+7.5%(被克制)""></T>","<T t=""速度+10%(被克制)""></T>","<T t=""速度+7.5%(被克制)""></T>","<T t=""速度+7.5%(被克制)""></T>","<T t=""速度+7.5%(被克制)""></T>","<T t=""速度+7.5%(被克制)""></T>","physicrevise_value=0.19;magicrevise_value=0.19;speed_percent=-0.19","physicrevise_value=0.19;magicrevise_value=0.19;speed_percent=-0.19","physicrevise_value=0.19;magicrevise_value=0.19;speed_percent=-0.19","physicrevise_value=0.19;magicrevise_value=0.19;speed_percent=-0.19","physicrevise_value=0.19;magicrevise_value=0.19;speed_percent=-0.19","","","","","","speed_percent=0.1","speed_percent=0.075","speed_percent=0.075","speed_percent=0.075","speed_percent=0.075","speed_percent=0.1","speed_percent=0.075","speed_percent=0.075","speed_percent=0.075","speed_percent=0.075"
"8","1","0","2","<T t=""防御+8%""></T>","<T t=""防御+8%""></T>","<T t=""防御+8%""></T>","<T t=""伤害+5%""></T>","<T t=""速度+8%""></T>","","","","","","<T t=""伤害+2.5%(被克制)""></T><B></B><T t=""防御-2%""></T>","<T t=""防御+1.5%(被克制)""></T>","<T t=""防御+1.5%(被克制)""></T>","<T t=""速度+1.5%(被克制)""></T>","<T t=""速度+1.5%(被克制)""></T>","<T t=""伤害+2.5%(被克制)""></T><B></B><T t=""防御-2%""></T>","<T t=""防御+1.5%(被克制)""></T>","<T t=""防御+1.5%(被克制)""></T>","<T t=""速度+1.5%(被克制)""></T>","<T t=""速度+1.5%(被克制)""></T>","onphysicrevise_value=0.08;onmagicrevise_value=0.08","onphysicrevise_value=0.08;onmagicrevise_value=0.08","onphysicrevise_value=0.08;onmagicrevise_value=0.08","physicrevise_value=0.05;magicrevise_value=0.05","speed_percent=0.08","","","","","","phyattack_percent=0.025;magicattack_percent=0.025;defend_percent=-0.02","defend_percent=0.015;magicdef_percent=0.015","defend_percent=0.015;magicdef_percent=0.015","speed_percent=0.015","speed_percent=0.015","phyattack_percent=0.025;magicattack_percent=0.025;defend_percent=-0.02","defend_percent=0.015;magicdef_percent=0.015","defend_percent=0.015;magicdef_percent=0.015","speed_percent=0.015","speed_percent=0.015"
"9","2","20000","2","<T t=""防御+9.5%""></T>","<T t=""防御+9.5%""></T>","<T t=""防御+9.5%""></T>","<T t=""伤害+6%""></T>","<T t=""速度+9.5%""></T>","","","","","","<T t=""伤害+5%(被克制)""></T><B></B><T t=""防御-4%""></T>","<T t=""防御+3%(被克制)""></T>","<T t=""防御+3%(被克制)""></T>","<T t=""速度+3%(被克制)""></T>","<T t=""速度+3%(被克制)""></T>","<T t=""伤害+5%(被克制)""></T><B></B><T t=""防御-4%""></T>","<T t=""防御+3%(被克制)""></T>","<T t=""防御+3%(被克制)""></T>","<T t=""速度+3%(被克制)""></T>","<T t=""速度+3%(被克制)""></T>","onphysicrevise_value=0.095;onmagicrevise_value=0.095","onphysicrevise_value=0.095;onmagicrevise_value=0.095","onphysicrevise_value=0.095;onmagicrevise_value=0.095","physicrevise_value=0.06;magicrevise_value=0.06","speed_percent=0.095","","","","","","phyattack_percent=0.05;magicattack_percent=0.05;defend_percent=-0.04","defend_percent=0.03;magicdef_percent=0.03","defend_percent=0.03;magicdef_percent=0.03","speed_percent=0.03","speed_percent=0.03","phyattack_percent=0.05;magicattack_percent=0.05;defend_percent=-0.04","defend_percent=0.03;magicdef_percent=0.03","defend_percent=0.03;magicdef_percent=0.03","speed_percent=0.03","speed_percent=0.03"
"10","3","30000","2","<T t=""防御+11%""></T>","<T t=""防御+11%""></T>","<T t=""防御+11%""></T>","<T t=""伤害+7%""></T>","<T t=""速度+11%""></T>","","","","","","<T t=""伤害+7.5%(被克制)""></T><B></B><T t=""防御-6%""></T>","<T t=""防御+4.5%(被克制)""></T>","<T t=""防御+4.5%(被克制)""></T>","<T t=""速度+4.5%(被克制)""></T>","<T t=""速度+4.5%(被克制)""></T>","<T t=""伤害+7.5%(被克制)""></T><B></B><T t=""防御-6%""></T>","<T t=""防御+4.5%(被克制)""></T>","<T t=""防御+4.5%(被克制)""></T>","<T t=""速度+4.5%(被克制)""></T>","<T t=""速度+4.5%(被克制)""></T>","onphysicrevise_value=0.11;onmagicrevise_value=0.11","onphysicrevise_value=0.11;onmagicrevise_value=0.11","onphysicrevise_value=0.11;onmagicrevise_value=0.11","physicrevise_value=0.07;magicrevise_value=0.07","speed_percent=0.11","","","","","","phyattack_percent=0.075;magicattack_percent=0.075;defend_percent=-0.06","defend_percent=0.045;magicdef_percent=0.045","defend_percent=0.045;magicdef_percent=0.045","speed_percent=0.045","speed_percent=0.045","phyattack_percent=0.075;magicattack_percent=0.075;defend_percent=-0.06","defend_percent=0.045;magicdef_percent=0.045","defend_percent=0.045;magicdef_percent=0.045","speed_percent=0.045","speed_percent=0.045"
