"id","单位关系","单位阵营方","战斗单位类型","怪物类型","特殊类型","是否包含死亡","是否包含隐身","本回合累积结果","最小hp百分比","最大hp百分比","最小mp百分比","最大mp百分比","最大连击点","最小连击点","属性排序","buff","性别","职业","等级下限","等级上限","怪物ID","战斗ID","策划备注","关系"
"94001","","3","","","","","1","","","","","","","","","_502002_","","","0","301","","","中了失心符的自己",""
"94002","","3","","","","","1","","","","","","","","","_502003_","","","0","301","","","中了定身符的自己",""
"94003","","3","","","","","1","","0.5","","","","","","","","","","0","301","","","血大于等于50%的自己",""
"94004","","3","","","","","1","","","0.3","","","","","","","","","0","301","","","血小于等于30%的自己",""
"94005","","2","","","","","1","","","","","","","","","!_13_","","","0","301","","","对方没被控制的单位",""
"94006","","2","","","","","1","","","","","","","","","","","","0","301","","","对方单位",""
"94007","","1","1;3","","","","1","","","0.8","","","","","","","","","0","301","","","我方主角和伙伴血小于等于80%的单位",""
"94008","","2","","","","","1","","","","","","","","","_509082_||_509083_","","","0","150","","","对方隐身单位",""
"94009","","2","","","","","1","","","","","","","","","_504002_","","","0","301","","","对方身上有绿之潮buff的单位",""
"94010","","2","","","","","1","","","","","","","","","!_504002_","","","0","301","","","对方身上没有绿之潮buff的单位",""
"94011","","2","","","","","1","","","","","","","","","!_120_","","","0","301","","","对方没有中毒单位",""
"94012","","1","","","","","1","","","","","","","","","_120_","","","0","301","","","我方中毒单位",""
"94013","","2","","","","","1","","","0.3","","","","","","","","","0","301","","","对方血小于等于30%的单位",""
"94014","","1","","","","1","1","","","","","","","","","_500033_","","","0","301","","","我方死亡单位",""
"94015","","1","","","","","1","","","0.8","","","","","curhp_percent@0","","","","0","301","","","我方血小于等于80%单位",""
"94016","","1","","","","","1","","","0.5","","","","","curhp_percent@0","","","","0","301","","","我方血小于等于50%单位",""
"94017","","1","","","","","1","","","","","","","","","_506003_","","","0","301","","","我方身上有专注意志buff的单位",""
"94018","","1","","","","","1","","","","","","","","","!_506003_","","","0","301","","","我方身上没有专注意志buff的单位",""
"94019","","1","","","","","1","","","","","","","","","_501901_","","","0","301","","","己方没有有圣光意志buff的单位",""
"94020","","3","","","","","1","","","","","","","","","_502002_","","","0","301","","","自身中了失心符",""
