"装备ID","装备分类","等级","制造图纸ID","制造图纸数量","千年寒铁ID","千年寒铁数量","材料铁1","材料铁数量1","材料铁2","材料铁数量2","材料铁3","材料铁数量3","材料铁4","材料铁数量4","材料铁5","材料铁数量5","材料铁6","材料铁数量6","材料铁7","材料铁数量7","材料铁8","材料铁数量8","材料铁9","材料铁数量9","材料铁10","材料铁数量10","材料铁11","材料铁数量11","材料铁12","材料铁数量12","材料铁13","材料铁数量13","材料铁14","材料铁数量14","材料铁15","材料铁数量15","制造符ID","制造符数量","制造符1","制造符数量1","制造符2","制造符数量2","制造符3","制造符数量3","制造符4","制造符数量4","制造符5","制造符数量5","制造符6","制造符数量6","制造符7","制造符数量7","制造符8","制造符数量8","制造符9","制造符数量9","制造符10","制造符数量10","制造符11","制造符数量11","制造符12","制造符数量12","制造符13","制造符数量13","制造符14","制造符数量14","制造符15","制造符数量15","强化材料ID","强化材料数量","打造金钱消耗","打造消耗金钱类型","强化打造产出装备ID","普通打造装备ID1","普通打造装备概率1","普通打造装备ID2","普通打造装备概率2","普通打造装备ID3","普通打造装备概率3","普通打造装备ID4","普通打造装备概率4","普通打造装备ID5","普通打造装备概率5","强化打造装备ID1","强化打造装备概率1","强化打造装备ID2","强化打造装备概率2","强化打造装备ID3","强化打造装备概率3","强化打造装备ID4","强化打造装备概率4","强化打造装备ID5","强化打造装备概率5"
"6020101","1288","20","350200","1","341102","1","341102","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331102","1","331102","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40008","1","","","6020101","6020101","5500","6020101","3600","6020101","900","","","","","6020101","900","6020101","900","6020101","900","6020101","900","6020101","900"
"6020102","3080","20","350201","1","341102","1","341102","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331102","1","331102","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40008","1","","","6020102","6020102","5500","6020102","3600","6020102","900","","","","","6020102","900","6020102","900","6020102","900","6020102","900","6020102","900"
"6020103","4360","20","350202","1","341102","1","341102","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331102","1","331102","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40008","1","","","6020103","6020103","5500","6020103","3600","6020103","900","","","","","6020103","900","6020103","900","6020103","900","6020103","900","6020103","900"
"6020104","4104","20","350203","1","341102","1","341102","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331102","1","331102","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40008","1","","","6020104","6020104","5500","6020104","3600","6020104","900","","","","","6020104","900","6020104","900","6020104","900","6020104","900","6020104","900"
"6020105","4360","20","350204","1","341102","1","341102","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331102","1","331102","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40008","1","","","6020105","6020105","5500","6020105","3600","6020105","900","","","","","6020105","900","6020105","900","6020105","900","6020105","900","6020105","900"
"6020106","2824","20","350205","1","341102","1","341102","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331102","1","331102","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40008","1","","","6020106","6020106","5500","6020106","3600","6020106","900","","","","","6020106","900","6020106","900","6020106","900","6020106","900","6020106","900"
"6020107","1288","20","350206","1","341102","1","341102","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331102","1","331102","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40008","1","","","6020107","6020107","5500","6020107","3600","6020107","900","","","","","6020107","900","6020107","900","6020107","900","6020107","900","6020107","900"
"6020108","1288","20","350207","1","341102","1","341102","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331102","1","331102","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40008","1","","","6020108","6020108","5500","6020108","3600","6020108","900","","","","","6020108","900","6020108","900","6020108","900","6020108","900","6020108","900"
"6020109","1288","20","350208","1","341102","1","341102","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331102","1","331102","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40008","1","","","6020109","6020109","5500","6020109","3600","6020109","900","","","","","6020109","900","6020109","900","6020109","900","6020109","900","6020109","900"
"6020110","1288","20","350209","1","341102","1","341102","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331102","1","331102","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40008","1","","","6020110","6020110","5500","6020110","3600","6020110","900","","","","","6020110","900","6020110","900","6020110","900","6020110","900","6020110","900"
"6020111","1288","20","350210","1","341102","1","341102","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331102","1","331102","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40008","1","","","6020111","6020111","5500","6020111","3600","6020111","900","","","","","6020111","900","6020111","900","6020111","900","6020111","900","6020111","900"
"6020112","1288","20","350211","1","341102","1","341102","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331102","1","331102","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40008","1","","","6020112","6020112","5500","6020112","3600","6020112","900","","","","","6020112","900","6020112","900","6020112","900","6020112","900","6020112","900"
"6020113","1288","20","350212","1","341102","1","341102","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331102","1","331102","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40008","1","","","6020113","6020113","5500","6020113","3600","6020113","900","","","","","6020113","900","6020113","900","6020113","900","6020113","900","6020113","900"
"6020114","1288","20","350213","1","341102","1","341102","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331102","1","331102","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40008","1","","","6020114","6020114","5500","6020114","3600","6020114","900","","","","","6020114","900","6020114","900","6020114","900","6020114","900","6020114","900"
"6020115","1288","20","350214","1","341102","1","341102","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331102","1","331102","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40008","1","","","6020115","6020115","5500","6020115","3600","6020115","900","","","","","6020115","900","6020115","900","6020115","900","6020115","900","6020115","900"
