"ID","字符串","策划备注"
"1","等级：",""
"3","级",""
"71","分",""
"111","评分：",""
"122","基础属性",""
"125","宝石属性",""
"126","镶嵌",""
"132","适合男性角色穿戴",""
"133","适合女性角色穿戴",""
"240","推荐任务",""
"241","活动",""
"242","其他任务",""
"243","主线剧情",""
"244","支线剧情",""
"268","返回",""
"314","分",""
"315","时",""
"317","天",""
"318","小时",""
"334","陌生人",""
"351","级","打造前面等级"
"353","离线",""
"354","在线",""
"406","全部",""
"480","购买",""
"499","分钟",""
"679","物品",""
"682","捕捉",""
"738","没有选择技能\n",""
"740","没有选择物品\n",""
"743","普通攻击",""
"744","防御",""
"922","对方已经是你好友!",""
"925","你要与",""
"926","断绝好友关系吗?断绝关系后，你们的好友度将清零。","删除好友提示"
"931","普通好友",""
"960","",""
"961","",""
"962","",""
"963","",""
"964","",""
"965","",""
"966","",""
"972","帮主召集",""
"973","帮主正在召集你前往",""
"975","科举考试",""
"976","科举考试已经开始了",""
"977","门派闯关",""
"991","地图加载失败",""
"993","镜头角色",""
"996","同意",""
"997","拒绝",""
"1001","武器",""
"1002","",""
"1003","项链",""
"1004","衣服",""
"1005","腰带",""
"1006","鞋子",""
"1007","",""
"1008","",""
"1009","",""
"1010","",""
"1011","",""
"1012","",""
"1013","",""
"1014","",""
"1015","",""
"1016","",""
"1017","",""
"1018","",""
"1019","",""
"1020","",""
"1021","",""
"1022","",""
"1023","",""
"1024","",""
"1025","",""
"1026","",""
"1027","男衣服",""
"1028","女衣服",""
"1029","项链",""
"1030","腰带",""
"1031","鞋子",""
"1071","未知错位",""
"1072","找不到对应宠物",""
"1073","同包裹内宠物不能移动",""
"1074","宠物名称不能为空。",""
"1075","宠物名字非法。",""
"1076","展示的宠物不能放生。",""
"1077","正在参战的宠物不能放生。",""
"1078","错误的放生随机码。S",""
"1084","好了，收你",""
"1088","好了，收你",""
"1098","下下",""
"1099","下",""
"1100","中",""
"1101","上",""
"1102","上上",""
"1135","连接服务器失败",""
"1136","与服务器断开连接",""
"1139","与服务器断开连接。因为未知的内部错误。",""
"1140","与服务器断开连接。因为未知的内部错误。",""
"1169","锁",""
"1170","售",""
"1171","售",""
"1182","仓库内的道具不能摧毁。",""
"1184","",""
"1187","女",""
"1188","男",""
"1191","",""
"1194","白色",""
"1200","文件打开错误: ",""
"1206","主角",""
"1237","%d年%d月%d日 ",""
"1239","%d分%d秒",""
"1241","%d分钟",""
"1242","%d小时",""
"1265","顺序更新列表和队伍列表数量不一样",""
"1276","不符合交换队员条件",""
"1277","你现在已经是队长了",""
"1279","",""
"1280","[colour='ffffffff']邀请你加入队伍，是否接受？",""
"1284","队长召唤",""
"1285","队长召唤",""
"1291","未知错误",""
"1292","自己已经在队伍中",""
"1293","自己不在队伍中",""
"1294","对方已经在队伍中",""
"1295","自己不是队长",""
"1296","对方不是队长",""
"1297","对方不在线",""
"1298","自己组队开关关闭",""
"1299","对方组队开关关闭",""
"1300","自己在不可组队状态",""
"1301","对方在不可组队状态",""
"1302","队伍人数已满",""
"1303","对方已经在队伍中",""
"1304","对方正在被其他人邀请中",""
"1305","对方30秒内曾经被队伍或者个人邀请过",""
"1306"," 正在邀请人数达到4个，不能再邀请更多",""
"1307","邀请你的队伍已经解散",""
"1308","邀请者不是队长",""
"1309","申请者已经在队伍中",""
"1310","该申请已经超时",""
"1311","队伍申请列表已满",""
"1312","申请者级别不符合队伍要求",""
"1313","队伍处在不可以换队长的状态",""
"1314","已经提出更换队长，等待回应中",""
"1315","队伍2分钟只能更换队长一次",""
"1316","队员不处于正常状态",""
"1317","距离过远，不能归队",""
"1318","队伍没有暂离的队员",""
"1319","拒绝成为队长",""
"1320","对方不在队伍中。",""
"1321","你已经在对方的申请列表中，别着急……",""
"1322","暂离队伍的玩家不能提升为队长",""
"1379","效果：",""
"1435","你确定要逃跑么？",""
"1436","当前",""
"1437","队伍",""
"1438","门派",""
"1439","帮派",""
"1440","世界",""
"1441","系统",""
"1442","组队",""
"1443","传音",""
"1444","发言内容不能只有空字符哦!",""
"1446","输入点内容再发送吧！",""
"1449","你输入的字数太多",""
"1456","品质:  ",""
"1515","当前",""
"1516","队伍",""
"1517","",""
"1518","帮派",""
"1519","门派",""
"1520","世界",""
"1528","添加的超链接过多",""
"1529","转发",""
"1531","转发 ",""
"1532","[转发 ",""
"1533","您还需等待%d秒才能在世界频道发言",""
"1556","确定",""
"1637","",""
"1659","升级",""
"1731","无阵法",""
"1736","号位：",""
"1760","你",""
"1792","金钱不足",""
"1979","确认框",""
"1980","使用心法",""
"1981","丢弃物品",""
"1982","珍珠修理",""
"1983","设置坐标",""
"1984","战斗确定",""
"1986","给予确认",""
"1987","离婚确认",""
"1988","驱逐成员",""
"1989","帮派召集",""
"1990","帮战竞标",""
"1991","帮战队伍任命",""
"1992","战斗逃跑",""
"1993","科举确认框",""
"1994","科举退出确认",""
"1995","挑战首席确认",""
"1996","购买物品确认",""
"1997","更改招牌确认",""
"1998","清空临时包裹",""
"1999","确认送出请帖",""
"2000","出售商店确认",""
"2001","宠物商店功能",""
"2002","商店功能",""
"2003","宠物技能书确认",""
"2004","使用3级药确认",""
"2005","领取天尊任务",""
"2006","天尊任务",""
"2007","宠物放生确认",""
"2008","升级确认",""
"2009","同意入群确认",""
"2010","声望兑换确定",""
"2011","帮主卸任确定",""
"2012","购买确认",""
"2013","镶嵌宝石确认",""
"2014","购买宝石确认",""
"2015","开启商店确认",""
"2016","冲穴确认",""
"2017","驱逐家族确认",""
"2018","竞拍确认",""
"2019","接收/拒收家族确认",""
"2020","脱离家族确认",""
"2021","全部提炼确认",""
"2022","停止放风筝确认",""
"2023","给予宠物",""
"2024","提示",""
"2025","重铸确认",""
"2026","精炼确认",""
"2027","禁言确认",""
"2028","离开龙舟",""
"2029","使用阵法元素",""
"2030","脱离帮派",""
"2031","投票脱离帮派",""
"2032","确认进入",""
"2033","补充飞行旗",""
"2034","确认框",""
"2035","确 定",""
"2036","取 消",""
"2037","确 定",""
"2038","取 消",""
"2117","休息",""
"2118","参战",""
"2160","被动",""
"2161","已到期",""
"2162","剩余:",""
"2163","不足一小时",""
"2164","天",""
"2165","小时",""
"2185","力量",""
"2186","体质",""
"2187","敏捷",""
"2188","魔力",""
"2189","耐力",""
"2230","打断",""
"2300","师门任务%d没有名字",""
"2397","级",""
"2423","输入的字符数过多",""
"2461","未知",""
"2484","已达上限",""
"2666","装备",""
"2667","卸下",""
"2668","使用",""
"2673","召唤队员",""
"2674","升为队长",""
"2675","查看装备",""
"2676","加为好友",""
"2677","请离队员",""
"2678","解散队伍",""
"2679","退出队伍",""
"2680","回归队伍",""
"2681","暂离队伍",""
"2682","打\n造",""
"2683","镶\n嵌",""
"2684","熔\n炼",""
"2694","属\n性",""
"2695","信\n息",""
"2696","背\n包",""
"2697","仓\n库",""
"2698","出\n售",""
"2703","已击败所有对手",""
"2738","邀请入队",""
"2739","申请入会",""
"2740","申请入队",""
"2741","删除好友",""
"2742","加为好友",""
"2749","未镶嵌宝石",""
"2754","",""
"2760","充值成功",""
"2761","充值失败",""
"2762","充值等待中",""
"2773","系统消息",""
"2774","系统好友",""
"2780","领取礼包",""
"2803","阵营",""
"2809","邀请切磋",""
"2810","观战",""
"2835","已满级",""
"2846","未知",""
"2882","帮主",""
"2883","副帮主",""
"2884","",""
"2885","",""
"2886","",""
"2889","系\n统\n设\n置",""
"2898","你没有上榜，继续加油吧!",""
"2899","我的排名：$parameter1$",""
"2900","个人信息",""
"2903","解锁",""
"2911","我的帮派排名：$parameter1$",""
"2912","我的排名：$parameter1$          我的最高战力：$parameter2$",""
"2913","你没有上榜，继续加油吧!          我的最高战力：$parameter1$",""
"2914","[colour='ff8c5e2a']玩家[colour='ff00ff00']$parameter1$[colour='ff8c5e2a']邀请你加入他的队伍。",""
"2916","转移",""
"2922","修\n理",""
"2936","可领取",""
"2939","领取",""
"2940","已领取",""
"2952","40级开启秘境降妖，快升级吧！",""
"2993","安\n全\n锁",""
"3000","饰品总评分",""
"3014","人\n物",""
"3015","修\n炼",""
"3039","帮\n派",""
"3079","存入",""
"3080","取出",""
"3148","无",""
"3175","下一级",""
"10001","自动匹配",""
"10002","取消匹配",""
"10003","正在自动匹配...",""
"10004","没有队友的时候伙伴将前来助阵",""
"10005","发送消息",""
"10006","加为好友",""
"10007","升为队长",""
"10008","调整站位",""
"10009","请离队伍",""
"10010","邀请好友",""
"10011","邀请帮派成员",""
"10015","秒",""
"10016","召回队员",""
"10017","一键喊话",""
"10020","加点方案$parameter1$  ","加点方案多套方案文字"
"10021","加\n点","label分页签人物加点"
"10022","重置全属性","洗点重置全属性显示"
"10030","$parameter1$级","生活技能打造符等级"
"10032","活力说明","活力兑换界面说明标题"
"10033","<T t=""1.活力可以用作制作""></T><T t=""临时符、烹饪、高级药品、打工"" c=""ffffff00"" ></T><B/><T t=""2.活力在获得"" ></T><T t=""活跃度"" c=""ffffff00"" ></T><T t=""时回复""></T><B/><T t=""3.每获得1点活跃度，可回复约""></T><T t=""$parameter1$""c=""ffffff00""></T><T t=""点（3+0.09*玩家等级）活力值""></T><B/><T t=""4.活力达到上限后不再回复""></T>","活力兑换界面说明标题"
"11000","耐久度",""
"11001","~","原装备TIPS中的“~”号，代表区间"
"11002","特技",""
"11003","特效",""
"11004","普通打造",""
"11005","装备打造",""
"11006","缺少材料",""
"11007","修理失败次数",""
"11008","$parameter1$可镶嵌",""
"11009","本装备最高可镶嵌$parameter1$级宝石",""
"11010","请选择一颗宝石",""
"11011","有可镶嵌宝石",""
"11012","耐久已满",""
"11017","战斗中不能镶嵌或取下宝石",""
"11018","战斗中不能修理",""
"11019","1.拥有制造书和百炼精铁，配合对应的模具可以打造装备。","<T t=""1.拥有制造书和百炼精铁，配合对应的模具可以打造装备。"" c=""FFFFFFFF"" ></T>"
"11020","2.打造的装备属性会更高，还会随机出现额外属性以及装备特技和特效。",""
"11021","3.加入对应的原石可以打造出更高品质的装备，而且有更大几率获得额外属性、装备特技和特效。",""
"11022","4.最多可打造超过自身等级10级的装备。",""
"11024","确定继续做师门任务吗？",""
"11025","<T t=""1.拥有制造制造书和和百炼精铁，配合对应的模具可以打造装备。""></T><B/><T t=""2.打造的装备属性会更高，还会随机出现额外属性以及装备特技和特效。"" ></T><B/><T t=""3.加入对应的原石可以打造出更高品质的装备，而且有更大几率获得额外属性、装备特技和特效。""></T><B/><T t=""4.最多可打造超过自身等级10级的装备。""></T><B/>",""
"11027","$parameter1$级装备可镶嵌",""
"11028","无法镶嵌宝石",""
"11029","您缺少$parameter1$,点击这里可以得到获得途径",""
"11030","最多可打造超过自身等级10级的装备",""
"11032","功能：",""
"11033","要求:",""
"11037","镶嵌:",""
"11038","功效:",""
"11039","品质:",""
"11040","坐标:",""
"11042","摆摊出售",""
"11043","赠送",""
"11044","丢弃",""
"11045","更多",""
"11046","商会出售",""
"11047","($parameter1$,$parameter2$)",""
"11048","$parameter1$级后可使用",""
"11049","$parameter1$级开启",""
"11050","普\n通",""
"11051","精\n英",""
"11100","属\n性",""
"11101","炼\n宠",""
"11102","培\n养",""
"11103","图\n鉴",""
"11104","周免",""
"11105","天",""
"11106","物理型",""
"11107","法术型",""
"11108","治疗型",""
"11109","辅助型",""
"11110","封印型",""
"11113","已申请",""
"11117","洗炼会重置宠物的所有资质和技能，是否继续？","宠物洗炼提示"
"11118","本次认证需消耗","宠物技能认证提示"
"11119","取消认证需消耗","宠物技能认证提示"
"11120","取消认证","宠物技能认证"
"11121","法术认证","宠物技能认证"
"11122","银币","伙伴开启货币"
"11123","英雄","伙伴开启货币"
"11124","普通宠物","宠物图鉴按钮"
"11125","满",""
"11126","体力",""
"11127","速度",""
"11128","攻击",""
"11129","法术",""
"11130","防御",""
"11131","品质",""
"11132","挂机说明",""
"11133","<T t=""1.在这些场景中自动巡逻,可以战胜怪物获得经验。""></T><B/><T t=""2.有一定几率遇到宝宝、变异宝宝和灵兽。""></T><B/><T t=""3.玩家下线后自动开启离线挂机,每次最多可以获得720分钟的挂机奖励。""></T><B/><T t=""4.离线挂机可获得经验,离线30分钟以上开始计算离线挂机奖励。""></T><B/><T t=""5.在挂机场景组队战斗将不会增加好友度。""></T>",""
"11134","多倍点数说明",""
"11135","<T t=""1.挂机战斗与抓鬼任务任务可以使用多倍点数""></T><B/><T t=""2.挂机场景每场战斗消耗1点多倍点数"" ></T><B/><T t=""3.抓鬼任务任务每场战斗消耗5点多倍点数""></T><B/><T t=""4.挂机场景使用多倍点数,可获得多倍经验""></T><B/><T t=""5.抓鬼任务使用多倍点数,可以获得道具并获得多倍经验与金钱""></T><B/><T t=""6.每天00:00可以获得200点多倍点数""></T><B/><T t=""7.多倍点数最多保留2000点""></T><B/><T t=""8.使用歌唱水晶可以获得额外多倍点数""></T>",""
"11136","投出 ","ROLL点"
"11137","放弃了","ROLL点"
"11138","需求","ROLL点"
"11139"," 点","ROLL点"
"11140","人品爆发，获得","ROLL点"
"11141","未习得",""
"11144","当前效果",""
"11145","级效果",""
"11147","未读消息%d条",""
"11148","克制",""
"11149","被克",""
"11150","提升",""
"11151","学习",""
"11152","免费仓库$parameter1$",""
"11153","仓库$parameter1$",""
"11154","秒",""
