"技能id","技能名","技能定位","技能类型","图标编号","消耗1属性编号","消耗系数a1","消耗系数b1","显示消耗1","消耗2属性编号","消耗系数a2","消耗系数b2","显示消耗2","目标类型","战斗内外使用","魔法入口","技能剧情描述","技能描述","排序","技能描述1","技能描述2","技能描述3","技能描述4","技能描述5","技能描述6","技能描述7","技能升级描述","技能升级描述1","技能升级描述2","技能升级描述3","技能升级描述4","技能升级描述5","技能升级描述6","技能升级描述7","技能等级1","技能等级2","技能等级3","技能等级4","技能等级5","技能等级6","技能等级7"
"110000","为官之道","为官之道","官场如战场，万事休鲁莽。精学为官道，万事皆无妄。","17","-1","0","0","无消耗","-1","0","0","","1","1","","大唐官府基础技能。","大唐官府基础技能。","1","大唐官府基础技能。","大唐官府基础技能。","大唐官府基础技能。","大唐官府基础技能。","大唐官府基础技能。","大唐官府基础技能。","大唐官府基础技能。","0-120级   永久增加角色的物理伤害。","0-120级   永久增加角色的物理伤害。","0-120级   永久增加角色的物理伤害。","0-120级   永久增加角色的物理伤害。","0-120级   永久增加角色的物理伤害。","0-120级   永久增加角色的物理伤害。","0-120级   永久增加角色的物理伤害。","0-120级   永久增加角色的物理伤害。","1","200","200","200","200","200","200"
"110001","破釜沉舟","破釜沉舟","危急时刻，以一敌众，经常起到以少胜多的奇效。","18","100","1.2","10","消耗：$parameter1$魔法","-1","0","0","","480","1","","攻击3个敌方目标,伤害结果逐个降低。","攻击3个敌方目标,伤害结果逐个降低。","2","攻击3个敌方目标,伤害结果逐个降低。","攻击3个敌方目标,伤害结果逐个降低。","攻击3个敌方目标,伤害结果逐个降低。","攻击3个敌方目标,伤害结果逐个降低。","攻击3个敌方目标,伤害结果逐个降低。","攻击3个敌方目标,伤害结果逐个降低。","攻击3个敌方目标,伤害结果逐个降低。","0-79级  增加使用时的伤害，80级可攻击4个目标；80-120级  增加使用时的伤害。","0-79级  增加使用时的伤害，80级可攻击4个目标；80-120级  增加使用时的伤害。","0-79级  增加使用时的伤害，80级可攻击4个目标；80-120级  增加使用时的伤害。","0-79级  增加使用时的伤害，80级可攻击4个目标；80-120级  增加使用时的伤害。","0-79级  增加使用时的伤害，80级可攻击4个目标；80-120级  增加使用时的伤害。","0-79级  增加使用时的伤害，80级可攻击4个目标；80-120级  增加使用时的伤害。","0-79级  增加使用时的伤害，80级可攻击4个目标；80-120级  增加使用时的伤害。","0-79级  增加使用时的伤害，80级可攻击4个目标；80-120级  增加使用时的伤害。","1","40","70","200","200","200","200"
"110002","翩鸿一击","翩鸿一击","翩若惊鸿，婉若游龙。大唐官府深谙兵贵神速的道理。","19","100","1.2","10","消耗：$parameter1$魔法","-1","0","0","","480","1","","攻击1个敌方目标，并获得翩鸿一击状态，增加自身速度，在受到物理攻击时有概率格挡并反击，状态持续4回合。","攻击1个敌方目标，并获得翩鸿一击状态，增加自身速度，在受到物理攻击时有概率格挡并反击，状态持续4回合。","3","攻击1个敌方目标，并获得翩鸿一击状态，增加自身速度，在受到物理攻击时有概率格挡并反击，状态持续4回合。","攻击1个敌方目标，并获得翩鸿一击状态，增加自身速度，在受到物理攻击时有概率格挡并反击，状态持续4回合。","攻击1个敌方目标，并获得翩鸿一击状态，增加自身速度，在受到物理攻击时有概率格挡并反击，状态持续4回合。","攻击1个敌方目标，并获得翩鸿一击状态，增加自身速度，在受到物理攻击时有概率格挡并反击，状态持续4回合。","攻击1个敌方目标，并获得翩鸿一击状态，增加自身速度，在受到物理攻击时有概率格挡并反击，状态持续4回合。","攻击1个敌方目标，并获得翩鸿一击状态，增加自身速度，在受到物理攻击时有概率格挡并反击，状态持续4回合。","攻击1个敌方目标，并获得翩鸿一击状态，增加自身速度，在受到物理攻击时有概率格挡并反击，状态持续4回合。","0-120级  永久增加角色的速度。","0-120级  永久增加角色的速度。","0-120级  永久增加角色的速度。","0-120级  永久增加角色的速度。","0-120级  永久增加角色的速度。","0-120级  永久增加角色的速度。","0-120级  永久增加角色的速度。","0-120级  永久增加角色的速度。","1","60","200","200","200","200","200"
"110003","横扫千军","横扫千军","以攻代守，战场上一往无前，给敌人致命打击。","20","100","0","10","消耗：$parameter1$%最大气血","-1","0","0","","480","1","","攻击敌方目标3次，下个回合休息。使用时气血不低于一半。","攻击敌方目标3次，下个回合休息。使用时气血不低于一半。","4","攻击敌方目标3次，下个回合休息。使用时气血不低于一半。","攻击敌方目标3次，下个回合休息。使用时气血不低于一半。","攻击敌方目标3次，下个回合休息。使用时气血不低于一半。","攻击敌方目标3次，下个回合休息。使用时气血不低于一半。","攻击敌方目标3次，下个回合休息。使用时气血不低于一半。","攻击敌方目标3次，下个回合休息。使用时气血不低于一半。","攻击敌方目标3次，下个回合休息。使用时气血不低于一半。","0-120级 增加使用时的伤害","0-120级 增加使用时的伤害","0-120级 增加使用时的伤害","0-120级 增加使用时的伤害","0-120级 增加使用时的伤害","0-120级 增加使用时的伤害","0-120级 增加使用时的伤害","0-120级 增加使用时的伤害","1","200","200","200","200","200","200"
"110004","后发制人","后发制人","从孙子兵法中悟出的绝学，避敌锐气而后发制人。","21","100","1.2","10","消耗：$parameter1$魔法","-1","0","0","","480","1","","自身获得一个持续4回合的护盾，护盾存在的回合，格挡受到的第一次物理攻击并进行一次反击。如果护盾被击破，增加2回合物理伤害。","自身获得一个持续4回合的护盾，护盾存在的回合，格挡受到的第一次物理攻击并进行一次反击。如果护盾被击破，增加2回合物理伤害。","5","自身获得一个持续4回合的护盾，护盾存在的回合，格挡受到的第一次物理攻击并进行一次反击。如果护盾被击破，增加2回合物理伤害。","自身获得一个持续4回合的护盾，护盾存在的回合，格挡受到的第一次物理攻击并进行一次反击。如果护盾被击破，增加2回合物理伤害。","自身获得一个持续4回合的护盾，护盾存在的回合，格挡受到的第一次物理攻击并进行一次反击。如果护盾被击破，增加2回合物理伤害。","自身获得一个持续4回合的护盾，护盾存在的回合，格挡受到的第一次物理攻击并进行一次反击。如果护盾被击破，增加2回合物理伤害。","自身获得一个持续4回合的护盾，护盾存在的回合，格挡受到的第一次物理攻击并进行一次反击。如果护盾被击破，增加2回合物理伤害。","自身获得一个持续4回合的护盾，护盾存在的回合，格挡受到的第一次物理攻击并进行一次反击。如果护盾被击破，增加2回合物理伤害。","自身获得一个持续4回合的护盾，护盾存在的回合，格挡受到的第一次物理攻击并进行一次反击。如果护盾被击破，增加2回合物理伤害。","0-120级 提升技能效果，永久增加角色的抵抗封印。","0-120级 提升技能效果，永久增加角色的抵抗封印。","0-120级 提升技能效果，永久增加角色的抵抗封印。","0-120级 提升技能效果，永久增加角色的抵抗封印。","0-120级 提升技能效果，永久增加角色的抵抗封印。","0-120级 提升技能效果，永久增加角色的抵抗封印。","0-120级 提升技能效果，永久增加角色的抵抗封印。","0-120级 提升技能效果，永久增加角色的抵抗封印。","1","200","200","200","200","200","200"
"110005","杀气诀","杀气诀","将全身杀气凝聚于武器上，厚积而薄发。","22","100","1.2","10","消耗：$parameter1$魔法","-1","0","0","","1","1","","自身附加杀气诀状态，增加物理伤害，使用单体物理攻击手段击败目标后额外对气血最低目标再次发动该技能，伤害结果为原先的50%，状态持续5回合。","自身附加杀气诀状态，增加物理伤害，使用单体物理攻击手段击败目标后额外对气血最低目标再次发动该技能，伤害结果为原先的50%，状态持续5回合。","6","自身附加杀气诀状态，增加物理伤害，使用单体物理攻击手段击败目标后额外对气血最低目标再次发动该技能，伤害结果为原先的50%，状态持续5回合。","自身附加杀气诀状态，增加物理伤害，使用单体物理攻击手段击败目标后额外对气血最低目标再次发动该技能，伤害结果为原先的50%，状态持续5回合。","自身附加杀气诀状态，增加物理伤害，使用单体物理攻击手段击败目标后额外对气血最低目标再次发动该技能，伤害结果为原先的50%，状态持续5回合。","自身附加杀气诀状态，增加物理伤害，使用单体物理攻击手段击败目标后额外对气血最低目标再次发动该技能，伤害结果为原先的50%，状态持续5回合。","自身附加杀气诀状态，增加物理伤害，使用单体物理攻击手段击败目标后额外对气血最低目标再次发动该技能，伤害结果为原先的50%，状态持续5回合。","自身附加杀气诀状态，增加物理伤害，使用单体物理攻击手段击败目标后额外对气血最低目标再次发动该技能，伤害结果为原先的50%，状态持续5回合。","自身附加杀气诀状态，增加物理伤害，使用单体物理攻击手段击败目标后额外对气血最低目标再次发动该技能，伤害结果为原先的50%，状态持续5回合。","0-120级  增加附加的额外伤害。","0-120级  增加附加的额外伤害。","0-120级  增加附加的额外伤害。","0-120级  增加附加的额外伤害。","0-120级  增加附加的额外伤害。","0-120级  增加附加的额外伤害。","0-120级  增加附加的额外伤害。","0-120级  增加附加的额外伤害。","1","60","200","200","200","200","200"
"110006","嗜血","嗜血","金戈铁马，嗜血沙场。大唐官府弟子有更精壮的体魄。","23","-1","0.667","6","消耗：$parameter1$活力","-1","0","0","","1","1","","制造一张临时符，给衣甲增加血气。","制造一张临时符，给衣甲增加血气。","7","制造一张临时符，给衣甲增加血气。","制造一张临时符，给衣甲增加血气。","制造一张临时符，给衣甲增加血气。","制造一张临时符，给衣甲增加血气。","制造一张临时符，给衣甲增加血气。","制造一张临时符，给衣甲增加血气。","制造一张临时符，给衣甲增加血气。","0-120级  增强临时符附加气血的效果，永久增加角色的物理防御。","0-120级  增强临时符附加气血的效果，永久增加角色的物理防御。","0-120级  增强临时符附加气血的效果，永久增加角色的物理防御。","0-120级  增强临时符附加气血的效果，永久增加角色的物理防御。","0-120级  增强临时符附加气血的效果，永久增加角色的物理防御。","0-120级  增强临时符附加气血的效果，永久增加角色的物理防御。","0-120级  增强临时符附加气血的效果，永久增加角色的物理防御。","0-120级  增强临时符附加气血的效果，永久增加角色的物理防御。","1","200","200","200","200","200","200"
"110007","万剑归一","万剑归一","大唐官府门派绝技，手中只一剑，却化作万道剑气飞向敌人，极少有人能在这样的攻势下幸免","24","120","0","120","消耗：$parameter1$愤怒","-1","0","0","","480","1","","对目标发动5一9次攻击，伤害是普通攻击的60%，无法保护。使用后休息一回合。","对目标发动5一9次攻击，伤害是普通攻击的60%，无法保护。使用后休息一回合。","8","对目标发动5一9次攻击，伤害是普通攻击的60%，无法保护。使用后休息一回合。","对目标发动5一9次攻击，伤害是普通攻击的60%，无法保护。使用后休息一回合。","对目标发动5一9次攻击，伤害是普通攻击的60%，无法保护。使用后休息一回合。","对目标发动5一9次攻击，伤害是普通攻击的60%，无法保护。使用后休息一回合。","对目标发动5一9次攻击，伤害是普通攻击的60%，无法保护。使用后休息一回合。","对目标发动5一9次攻击，伤害是普通攻击的60%，无法保护。使用后休息一回合。","对目标发动5一9次攻击，伤害是普通攻击的60%，无法保护。使用后休息一回合。","2级  若击杀目标  附加重伤状态； 3级  若击杀目标  回复自身气血。","2级  若击杀目标  附加重伤状态； 3级  若击杀目标  回复自身气血。","2级  若击杀目标  附加重伤状态； 3级  若击杀目标  回复自身气血。","2级  若击杀目标  附加重伤状态； 3级  若击杀目标  回复自身气血。","2级  若击杀目标  附加重伤状态； 3级  若击杀目标  回复自身气血。","2级  若击杀目标  附加重伤状态； 3级  若击杀目标  回复自身气血。","2级  若击杀目标  附加重伤状态； 3级  若击杀目标  回复自身气血。","2级  若击杀目标  附加重伤状态； 3级  若击杀目标  回复自身气血。","1","2","3","4","5","6","7"
"110008","大唐官府被动1","大唐官府被动1","增加速度","17","-1","0","0","无消耗","-1","0","0","","1","0","","大唐官府被动1：被动技能，满足条件时自动生效。","大唐官府被动1：被动技能，满足条件时自动生效。","30","大唐官府被动1：被动技能，满足条件时自动生效。","大唐官府被动1：被动技能，满足条件时自动生效。","大唐官府被动1：被动技能，满足条件时自动生效。","大唐官府被动1：被动技能，满足条件时自动生效。","大唐官府被动1：被动技能，满足条件时自动生效。","大唐官府被动1：被动技能，满足条件时自动生效。","大唐官府被动1：被动技能，满足条件时自动生效。","0-120级 永久提升该被动技能效果。","0-120级 永久提升该被动技能效果。","0-120级 永久提升该被动技能效果。","0-120级 永久提升该被动技能效果。","0-120级 永久提升该被动技能效果。","0-120级 永久提升该被动技能效果。","0-120级 永久提升该被动技能效果。","0-120级 永久提升该被动技能效果。","1","200","200","200","200","200","200"
"110009","大唐官府被动2","大唐官府被动2","增加封印抵抗","17","-1","0","0","无消耗","-1","0","0","","1","0","","大唐官府被动2：被动技能，满足条件时自动生效。","大唐官府被动2：被动技能，满足条件时自动生效。","31","大唐官府被动2：被动技能，满足条件时自动生效。","大唐官府被动2：被动技能，满足条件时自动生效。","大唐官府被动2：被动技能，满足条件时自动生效。","大唐官府被动2：被动技能，满足条件时自动生效。","大唐官府被动2：被动技能，满足条件时自动生效。","大唐官府被动2：被动技能，满足条件时自动生效。","大唐官府被动2：被动技能，满足条件时自动生效。","0-120级 永久提升该被动技能效果。","0-120级 永久提升该被动技能效果。","0-120级 永久提升该被动技能效果。","0-120级 永久提升该被动技能效果。","0-120级 永久提升该被动技能效果。","0-120级 永久提升该被动技能效果。","0-120级 永久提升该被动技能效果。","0-120级 永久提升该被动技能效果。","1","200","200","200","200","200","200"
