"子技能ID","子技能名称","属性状态需求","属性状态不符提示","过滤状态","需求状态","关联技能","何种情况下不能执行本技能","选择目标方","选择目标单位类型","选择目标单位关系","生效精准职业编号","生效精确怪物，伙伴ID号","索敌类型","索敌个数","索敌多个.排序变量","子技能触发几率","法术技能最小伤害","主BUFF序号","BUFF0.BUFFID","BUFF0.命中","BUFF0.持续回合","BUFF0.效果","buff0属性状态需求","buff0.buff状态过滤","buff0.buff状态需求","buff0触发几率","BUFF1.BUFFID","BUFF1.命中","BUFF1.持续回合","BUFF1.效果","buff1属性状态需求","buff1.buff状态过滤","buff1.buff状态需求","buff1触发几率","BUFF2.BUFFID","BUFF2.命中","BUFF2.持续回合","BUFF2.效果","buff2属性状态需求","buff2.buff状态过滤","buff2.buff状态需求","buff2触发几率","BUFF3.BUFFID","BUFF3.命中","BUFF3.持续回合","BUFF3.效果","buff3属性状态需求","buff3.buff状态过滤","buff3.buff状态需求","buff3触发几率","脚本配置文件"
"1000010","物理攻击","","","","","0","","2","","","","","1","1","","1","","0","510108","1","1","curhp_value=-(max(phyattacka*1-defendb+1*gradea,phyattacka*0.1)+(havebuffa(509300)?(min(max(defendb-phyattackb,((pve)?(2*gradea):(10))),4*gradea)):(0)))","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1000020","远程物理攻击","","","","","0","","2","","","","","1","1","speed","1","","0","510108","1","1","curhp_value=-(max(phyattacka*1-defendb+1*gradea,phyattacka*0.1)+(havebuffa(509300)?(min(max(defendb-phyattackb,((pve)?(2*gradea):(10))),4*gradea)):(0)))","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1000030","强制物理攻击","","","","","0","","1","","","","","1","1","","1","","0","510108","1","1","curhp_value=-(phyattacka*1-defendb+1*gradea)","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1000040","混乱物理攻击","","","","","0","","5","","","","","1","1","","1","","0","510112","1","1","curhp_value=-(phyattacka*1-defendb+1*gradea)","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1000050","使用物品","","","","","0","","0","","","","","1","","","1","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1000900","红罗羹","","","","","0","","1","","","","","1","1","","1","","0","500009","1","0","curhp_value=10000","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1000910","绿萝羹","","","","","0","","1","","","","","1","1","","1","","0","500010","1","0","curmp_value=10000","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1000090","大碗红罗羹","","","","","0","","1","","","","","1","1","","1","","0","500009","1","0","curhp_value=1000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1000100","大碗绿萝羹","","","","","0","","1","","","","","1","1","","1","","0","500010","1","0","curmp_value=1000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1000110","硬肉干","","","","","0","","1","","","","","1","1","","1","","0","500009","1","0","curhp_value=2000","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1000120","培根煎蛋","","","","","0","","1","","","","","1","1","","1","","0","500009","1","0","curhp_value=quality*60+2000","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1000130","樱桃派","","","","","0","","1","","","","","1","1","","1","","0","500010","1","0","curmp_value=quality*60+2000","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1000140","珍露酒(战斗外)","","","","","0","","1","","","","","1","1","","1","","0","509140","1","0","cursp_value=quality*0.6+10","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1000150","麻辣狼排","","","","","0","","1","","","","","1","1","","1","","0","500009","1","0","curhp_value=quality*32+1000","","","","","500010","1","0","curmp_value=quality*32+1000","","","","","","","","","","","","","","","","","","","","",""
"1000160","蛇胆酒","","","","","0","","1","","","","","8","1","","1","","0","510105","1","0","cursp_value=quality","","","","","501002","1","2","defend_percent=-0.1;magicdef_percent=-0.1","","","","","","","","","","","","","","","","","","","","",""
"1000170","珍露酒","","","","","0","","1","","","","","8","1","","1","","0","510105","1","0","cursp_value=quality*0.4+10","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1000200","金创药","","","","","0","","1","","","","","8","1","","1","","0","510134","1","0","curhp_value=400*(havebuffa(508042)?(1.2):(1))","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1000210","金香玉","","","","","0","","1","","","","","8","1","","1","","0","510134","1","0","curhp_value=(quality*35+300)","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1000220","定神香","","","","","0","","1","","","","","8","1","","1","","0","510135","1","0","curmp_value=(quality*15+50)","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1000230","五龙丹","","","","","0","","1","","","","","8","1","","1","","0","510132","1","","","","","130","","502004","-2","2","","","","","","510134","1","0","curhp_value=quality*3*(havebuffa(508042)?(1.2):(1))","","","","","","","","","","","","",""
"1000240","九转还魂丹","","","","","0","","1","","","","","9","1","","1","","0","510107","1","0","curhp_value=(quality*15+200)","","509084","500033","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1000250","佛光舍利子","","","","","0","","1","","","","","9","1","","1","","0","510107","1","0","curhp_value=100*(havebuffa(508042)?(1.2):(1))","","509084","500033","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1000260","显隐之尘(战斗内)","","","","","0","","2","","","","","1","1","","1","","0","510143","1","0","","","","","","510135","1","0","curhp_value=-quality*3","","","","","","","","","","","","","","","","","","","","",""
"1000261","驱散护甲(战斗内)","","","","","0","","2","","","","","1","1","","1","","0","510146","1","0","","","","","","510135","1","0","curhp_value=-quality*3","","","","","","","","","","","","","","","","","","","","",""
"1000262","对真身造成伤害","","","","","0","","2","","","","","1","1","","1","","0","510148","1","0","","","","","","510102","1","0","curhp_value=-500000","","","","","","","","","","","","","","","","","","","","",""
"1000300","血色茶花","","","","","0","","1","","","","","8","1","","1","","0","510134","1","0","curhp_value=200*(havebuffa(508042)?(1.2):(1))","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1000310","鹿茸(战斗内)","","","","","0","","1","","","","","8","1","","1","","0","510134","1","0","curhp_value=150*(havebuffa(508042)?(1.2):(1))","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1000320","仙狐诞(战斗内)","","","","","0","","1","","","","","8","1","","1","","0","510135","1","0","curmp_value=150*(havebuffa(508042)?(1.2):(1))","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1000330","麝香(战斗内)","","","","","0","","1","","","","","8","1","","1","","0","510135","1","0","curmp_value=100*(havebuffa(508042)?(1.2):(1))","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1000340","火风之晴(战斗内)","","","","","0","","1","","","","","8","1","","1","","0","510134","1","0","curhp_value=300*(havebuffa(508042)?(1.2):(1))","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1000350","凤凰尾(战斗内)","","","","","0","","1","","","","","8","1","","1","","0","510134","1","0","curhp_value=250*(havebuffa(508042)?(1.2):(1))","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1000360","孔雀红(战斗内)","","","","","0","","1","","","","","8","1","","1","","0","510135","1","0","curmp_value=150*(havebuffa(508042)?(1.2):(1))","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1000370","血珊瑚(战斗内)","","","","","0","","1","","","","","8","1","","1","","0","510135","1","0","curmp_value=100*(havebuffa(508042)?(1.2):(1))","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1000400","金创药(战斗外)","","","","","0","","1","","","","","1","1","","1","","0","500009","1","0","curhp_value=500","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1000410","金香玉(战斗外)","","","","","0","","1","","","","","1","1","","1","","0","500009","1","0","curhp_value=quality*35+300","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1000420","定神香(战斗外)","","","","","0","","1","","","","","1","1","","1","","0","500010","1","0","curmp_value=quality*15+50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
