"技能ID","技能名称","策划备注","是否预先统计目标数","是否主动","能否连击","能否被反击","是否禁止防御和保护","是否忽略隐身","是否默认自动技能","战斗内外使用","服务器分类","技能归类","选择目标类型","先发速度","消耗Hp","消耗Mp","消耗Sp","消耗Ep","串联子技能ID","子技能ID播放时间调控","脚本配置文件","技能名冒字资源","是否显示技能名冒字","是否被嘲讽影响","技能特殊延长时间","是否PVP不能使用","状态过滤是否能使用"
"100001","物理攻击","物理攻击","","true","true","true","0","","","true","0","1","480","0","","","","","1000010","0","","","1","1","","",""
"100002","远程物理攻击","远程物理攻击","","true","true","true","0","","","true","0","1","480","0","","","","","1000010","0","","","1","1","","",""
"100003","强制物理攻击","强制物理攻击","","true","false","false","0","","","true","0","9","4126","0","","","","","1000030","0","","","1","","","",""
"100004","混乱物理攻击","混乱物理攻击","","true","false","false","0","","","true","1","9","4606","0","","","","","1000040","0","","","1","","","",""
"100005","使用物品","使用物品","","true","false","false","0","","","true","0","0","4127","0","","0","0","","1000050","0","","","1","","","",""
"100090","红罗羹","红罗羹","","false","false","false","0","","","true","0","11","1","0","","","","","1000900","0","","","1","","","",""
"100091","绿罗羹","绿罗羹","","false","false","false","0","","","true","0","11","1","0","","","","","1000910","0","","","1","","","",""
"100009","大碗红罗羹","大碗红罗羹","","false","false","false","0","","","true","0","11","1","0","","","","","1000090","0","","","1","","","",""
"100010","大碗绿罗羹","大碗绿罗羹","","false","false","false","0","","","true","0","11","1","0","","","","","1000100","0","","","1","","","",""
"100011","包子","包子","","true","false","false","0","","","true","0","11","1","0","","","","","1000110","0","","","0","","","",""
"100012","臭豆腐","臭豆腐","","true","false","false","0","","","true","0","11","1","0","","","","","1000120","0","","","0","","","",""
"100013","佛跳墙","佛跳墙","","true","false","false","0","","","true","0","11","1","0","","","","","1000130","0","","","0","","","",""
"100014","珍露酒","珍露酒","","true","false","false","0","","","true","0","11","1","0","","","","","1000140","0","","","0","","","",""
"100015","翡翠豆腐","翡翠豆腐","","true","false","false","0","","","true","0","11","1","0","","","","","1000150","0","","","0","","","",""
"100016","蛇胆酒","蛇胆酒","","true","false","false","0","","","true","0","11","4127","0","","","","","1000160","0","","","0","","","",""
"100017","珍露酒","珍露酒","","true","false","false","0","","","true","0","11","4127","0","","","","","1000170","0","","","0","","","",""
"100020","金香玉","金香玉","","true","false","false","0","","","true","0","11","4127","0","","","","","1000200","0","","","0","","","",""
"100021","定神香","定神香","","true","false","false","0","","","true","0","11","4127","0","","","","","1000210","0","","","0","","","",""
"100022","五龙丹","五龙丹","","true","false","false","0","","","true","0","11","4127","0","","","","","1000220","0","","","0","","","",""
"100023","九转回魂丹","九转回魂丹","","true","false","false","0","","","true","0","11","4127","0","","","","","1000230","0","","","0","","","",""
"100024","金创药","金创药","","true","false","false","0","","","true","0","11","4127","0","","","","","1000240","0","","","0","","","",""
