"id","技能ID","技能名称","领悟需求道具","领悟需求道具数量","领悟需求银币","遗忘需求道具","遗忘需求道具数量","遗忘需求银币","描述","所需数量","遗弃数量"
"1","212000","天璇神剑","240009","1","1","680700","50","1","<T t=""唤来天璇神剑，对3个目标造成大量伤害！若目标带有亡魂效果，则天璇神剑自带驱鬼效果，对亡灵生物造成百分之50伤害！。"" c=""fffff2df""/>","10","50"
"2","212001","流沙轻音","240009","1","1","680700","50","1","<T t=""冰元素多体法术，召唤寒冰对五个敌人进行爆裂输出，一定几率冰冻目标！。"" c=""fffff2df""/>","10","50"
"3","212002","五彩神风","240009","1","1","680700","50","1","<T t=""上古青鸾，遗留之秘术！召唤五彩神风对三个目标造成法术伤害！并且有概率降低敌方百分之5的速度！。"" c=""fffff2df""/>","10","50"
"4","212003","五方劫雷","240009","3","1","680700","50","1","<T t=""对单个敌人进行百分之百法术连击！击杀敌人后可获得提升自身法术暴击率的持续状态！。"" c=""fffff2df""/>","10","50"
"5","212004","星芒剑阵","240009","1","1","680700","50","1","<T t=""召唤星芒剑阵，对多个敌人进行致命打击！同时有5%概率降低对方5%的物理和法术防御力，持续3回合。。"" c=""fffff2df""/>","10","50"
"6","212005","神雷·惊天暴","240009","5","1","680700","50","1","<T t=""召唤天雷对目标进行致命打击！若击杀目标！可追击下一个目标，直至目标存活！至多追击五次！。"" c=""fffff2df""/>","10","50"
"7","212006","星陨天河","240009","5","1","680700","50","1","<T t=""可以对目标进行最高六次毁灭打击！前三次固定目标打击，后三次按照自身法连概率高低进行法术连击。伤害值提升累加"" c=""fffff2df""/>","10","50"
"8","212007","九阴真经","240009","10","1","680700","50","1","<T t=""独有的音波伤害敌人对敌人全体造成大量伤害并伴随沉默敌人。。"" c=""fffff2df""/>","10","50"
"9","212008","扶摇万里","240009","6","1","680700","50","1","<T t=""对敌方6个单位造成水系伤害。"" c=""fffff2df""/>","10","50"
"10","212009","恶魔旋风","240009","10","1","680700","50","1","<T t=""造成敌方全体法术伤害。并减少魔法。"" c=""fffff2df""/>","10","50"
"11","212010","天劫","240009","6","1","680700","50","1","<T t=""天劫降世 , 幻影成空。"" c=""fffff2df""/><T t=""对单个敌人造成四次高额物理伤害，并且伤害跟随攻击次数提升，当自身等级达到100时，可激活第五次伤害，第五次伤害无视敌方百分之50防御进行打击，并且力量大于800点，则有百分之5几率直接秒杀敌人。若敌人有神佑效果使其无效化"" c=""ffff46f0""/><T t="""" c=""ffff0033""/>","10","50"
"12","212011","天劫（法）","240009","6","1","680700","50","1","<T t=""天劫降世 , 幻影成空。"" c=""fffff2df""/><T t=""对单个敌人造成四次高额法术伤害，并且伤害跟随攻击次数提升，当自身等级达到100时，可激活第五次伤害，第五次伤害无视敌方百分之50防御进行打击，并且智力大于800点，则有百分之5几率直接秒杀敌人。若敌人有神佑效果使其无效化"" c=""ffff46f0""/><T t=""<<>>"" c=""ffff0033""/>","10","50"
"13","212012","四象归一","240009","4","1","680700","50","1","<T t=""天界至高神诀，为针对蚩尤所创，有概率进行连击，最高5次，第五次为多人伤害，降低同伤害的蓝"" c=""fffff2df""/>","10","50"
"14","212013","爱谁谁","240009","20","1","680700","50","1","<T t=""法术秒10，有几率封印对手，激活高级魔之心并且气血增加%20"" c=""fffff2df""/>","10","50"
"15","212014","毁灭之光","240009","13","1","680700","50","1","<T t=""攻击9个目标，并且增加%20的法术攻击（几率附加眩晕状态，持续2回合）秒怪数量随等级增加。"" c=""fffff2df""/>","10","50"
"16","212015","魔神降临","240009","15","1","680700","50","1","<T t=""来自魔域的一种法术技能，效果强大，秒怪数量随等级增加。"" c=""fffff2df""/>","10","50"
"17","214000","护佑苍生","240009","8","1","680700","50","1","<T t=""可对友方所有单位提升百分之15的最大生命值！"" c=""fffff2df""/>","10","50"
"18","213000","烛龙裂","240009","9","1","680700","50","1","<T t=""物理攻击4个目标，概率对目标附加随机状态"" c=""fffff3df""/>","10","50"
"19","213001","万剑诀","240009","3","1","680700","50","1","<T t=""万剑齐出，对三个目标造成百分之110的物理伤害！。"" c=""fffff2df""/>","10","50"
"20","213002","晨曦剑露","240009","3","1","680700","50","1","<T t=""晨出之光，犹如剑露，对敌方三个目标造成大量伤害，一定几率使目标流血，每回合造成百分之10的流血伤害！。"" c=""fffff2df""/>","10","50"
"21","213003","青莲剑舞","240009","3","1","680700","50","1","<T t=""对单个敌人进行百分之百物理连击！击杀敌人后可获得提升自身物理暴击率的持续状态！。"" c=""fffff2df""/>","10","50"
"22","213004","破魔碎击","240009","1","1","680700","50","1","<T t=""对单个敌人进行狂暴一击！并且附带破魔效果！击杀敌人后提升自身大量物理伤害和物理破防效果！。"" c=""fffff2df""/>","10","50"
