"技能ID","技能名称","是否预先统计目标数","是否主动","能否连击","能否被反击","是否禁止防御和保护","是否忽略隐身","是否默认自动技能","战斗内外使用","服务器分类","技能归类","选择目标类型","先发速度","消耗Hp","消耗Mp","消耗Sp","消耗Ep","串联子技能ID","子技能ID播放时间调控","脚本配置文件","技能名冒字资源","是否显示技能名冒字","是否被嘲讽影响","技能特殊延长时间","是否PVP不能使用","状态过滤是否能使用"
"420001","气疗术","","true","false","false","0","","","true","2","7","4127","","","","30","","4200010","0","","","1","","","",""
"420002","心疗术","","true","false","false","0","","","true","2","7","4127","","","","60","","4200020","0","","","1","","","",""
"420003","命疗术","","true","false","false","0","","","true","2","7","4127","","","","90","","4200030","0","","","1","","","",""
"420004","凝气决","","true","false","false","0","","","true","2","7","1","","","","60","","4200040","0","","","1","","","",""
"420005","凝神决","","true","false","false","0","","","true","2","7","1","","","","90","","4200050","0","","","1","","","",""
"420006","气归术","","true","false","false","0","","","true","2","7","1","","","","60","","4200060","0","","","1","","","",""
"420007","命归术","","true","false","false","0","","","true","2","7","1","","","","130","","4200070","0","","","1","","","",""
"420008","四海升平","","true","false","false","0","","","true","2","7","4127","","","","135","","4200080","0","","","1","","","",""
"420009","回魂咒","","true","false","false","0","","","true","2","7","4127","","","","100","","4200090,4200091","0,0","","","1","","","",""
"420010","起死回生","","true","false","false","0","","","true","2","7","4127","","","","100","","4200100,4200101","0,0","","","1","","","",""
"420011","慈航普度","","true","false","false","0","","","true","2","7","4127","","","","150","","4200110,4200111,4200112","0,0,-1","","","1","","","",""
"420012","水清诀","","true","false","false","0","","","true","2","7","4127","","","","50","","4200120","0","","","1","","","",""
"420013","冰清诀","","true","false","false","0","","","true","2","7","4127","","","","100","","4200130","0","","","1","","","",""
"420014","玉清诀","","true","false","false","0","","","true","2","7","4127","","","","125","","4200140","0","","","1","","","",""
"420015","晶清诀","","true","false","false","0","","","true","2","7","4127","","","","150","","4200150","0","","","1","","","",""
"420016","笑里藏刀","","true","false","false","0","","","true","2","7","480","","","","40","","4200160","0","","","1","","","",""
"420017","野兽之力","","true","false","false","0","","","true","2","7","4127","","","","40","","4200170","0","","","1","","","",""
"420018","魔兽之印","","true","false","false","0","","","true","2","7","4127","","","","120","","4200180","0","","","1","","","",""
"420019","放下屠刀","","true","false","false","0","","","true","2","7","480","","","","30","","4200190","0","","","1","","","",""
"420020","河东狮吼","","true","false","false","0","","","true","2","7","480","","","","120","","4200200","0","","","1","","","",""
"420021","光辉之甲","","true","false","false","0","","","true","2","7","4127","","","","40","","4200210","0","","","1","","","",""
"420022","圣灵之甲","","true","false","false","0","","","true","2","7","4127","","","","80","","4200220","0","","","1","","","",""
"420023","破甲术","","true","false","false","0","","","true","2","7","480","","","","35","","4200230","0","","","1","","","",""
"420024","碎甲术","","true","false","false","0","","","true","2","7","480","","","","80","","4200240","0","","","1","","","",""
"420025","流云诀","","true","false","false","0","","","true","2","7","4127","","","","40","","4200250","0","","","1","","","",""
"420026","啸风诀","","true","false","false","0","","","true","2","7","4127","","","","80","","4200260","0","","","1","","","",""
"420027","凝滞术","","true","false","false","0","","","true","2","7","480","","","","40","","4200270","0","","","1","","","",""
"420028","停陷术","","true","false","false","0","","","true","2","7","480","","","","80","","4200280","0","","","1","","","",""
"420029","太极护法","","true","false","false","0","","","true","2","7","4127","","","","40","","4200290","0","","","1","","","",""
"420030","罗汉金钟","","true","false","false","0","","","true","2","7","4127","","","","150","","4200300","0","","","1","","","",""
"420031","破血狂攻","","true","false","false","1","","","true","2","1","480","","","","80","","4200310,4200311,4200312,4200313","0,-1,-1,-1","","","1","","","",""
"420032","弱点击破","","true","false","false","0","","","true","2","1","480","","","","50","","4200320,4200321","0,-1","","","1","","","",""
