"阶段ID","技能描述（策划）","阶段类型","执行方式","播放延时","动作类型","动作最长时间","移动类型","同步保护","目的x","目的y","残影对象编号","残影对象透明度","移动时间","特效类型","特效位置类型","有痕迹","有方向","特效名","特效图层","音效","结果类型","执行结果最长时间","结果受击复位时间","瞬移类型","瞬移时间","保留","瞬移最长时间","多结果标示"
"10001400","加血-施法动作","0","1","0","9","1100","0","0","0","8","0","188","0","0","0","0","0","","0","","0","0","200","0","0","0","0","1"
"10001401","加血-施法特效","2","1","0","0","0","0","0","0","0","0","188","0","0","2","0","0","","0","","0","0","200","0","0","0","0","1"
"10001402","加血-受击特效","2","0","0","0","0","0","0","0","0","0","188","0","0","5","0","0","geffect/skill/acc-yaowu/Cc.jiaxue","0","","0","0","200","0","0","0","0","1"
"10001403","加血-结算","4","0","0","0","0","0","0","0","0","0","188","0","0","0","0","0","","0","","0","200","200","0","0","0","0","1"
"10001404","加蓝-施法动作","0","1","0","9","1100","0","0","0","8","0","188","0","0","0","0","0","","0","","0","0","200","0","0","0","0","1"
"10001405","加蓝-施法特效","2","1","0","0","0","0","0","0","0","0","188","0","0","2","0","0","","0","","0","0","200","0","0","0","0","1"
"10001406","加蓝-受击特效","2","0","0","0","0","0","0","0","0","0","188","0","0","5","0","0","geffect/skill/acc-yaowu/Cc.jiaxue1","0","","0","0","200","0","0","0","0","1"
"10001407","加蓝-结算","4","0","0","0","0","0","0","0","0","0","188","0","0","0","0","0","","0","","0","200","200","0","0","0","0","1"
"10002600","显隐之尘-施法动作","0","1","0","9","1100","0","0","0","2","0","188","0","0","0","0","0","","0","","0","0","200","0","0","0","0","1"
"10002601","显隐之尘-施法特效","2","1","600","0","0","0","0","0","0","0","188","0","0","5","0","0","geffect/skill/mt3_sq_5/mt3_sq_5_shouji","1","","0","0","200","0","0","0","0","1"
"10002602","显隐之尘-结算","4","1","1000","0","0","0","0","0","0","0","188","0","0","0","0","0","","0","","0","1200","200","0","0","0","0","1"
"25401","大唐官府技能","4","1","1000","0","0","0","0","0","0","0","188","0","0","0","0","0","","0","","0","1200","200","0","0","0","0","1"
"11000100","破釜沉舟1-施法动作","0","0","0","8","600","0","0","0","0","0","188","0","0","0","0","0","","0","","","0","","","","","","1"
"11000101","破釜沉舟1-隐身主体","6","0","0","0","0","0","0","0","0","0","255","0","0","0","0","0","","0","","0","0","200","0","0","0","0","1"
"11000102","破釜沉舟1-移动","1","0","0","0","0","0","1","0","2","1","188","0","0","0","0","0","","0","","0","0","200","0","0","0","0","1"
"11000103","破釜沉舟1-攻击动作","0","1","0","8","1100","0","0","0","2","1","188","0","0","0","0","0","","0","","0","0","200","0","0","0","0","1"
"11000104","破釜沉舟1-受击特效上","2","1","300","0","0","0","0","0","0","1","255","0","0","5","0","1","geffect/skill/acc1-dt/Cc.pfcz","1","DT-pfcz","0","0","200","0","0","0","0","1"
"11000105","破釜沉舟1-受击特效下","2","1","300","0","0","0","0","0","0","0","188","0","0","0","0","1","","1","","0","0","200","0","0","0","0","1"
"11000106","破釜沉舟1-受击结算","4","1","400","0","0","0","0","0","0","0","188","0","0","0","0","0","","0","","0","600","200","0","0","0","0","1"
"11000107","破釜沉舟1-残影消失","1","0","0","0","0","3","2","0","0","1","188","0","0","0","0","0","","0","","0","0","200","0","0","0","0","1"
"11000110","破釜沉舟2-移动","1","0","0","0","0","0","1","0","2","2","188","0","0","0","0","0","","0","","0","0","200","0","0","0","0","1"
"11000111","破釜沉舟2-攻击动作","0","1","0","8","1100","0","0","0","2","2","188","0","0","0","0","0","","0","","0","0","200","0","0","0","0","1"
"11000112","破釜沉舟2-受击特效上","2","1","300","0","0","0","0","0","0","2","255","0","0","5","0","1","geffect/skill/acc1-dt/Cc.pfcz","1","","0","0","200","0","0","0","0","1"
"11000113","破釜沉舟2-受击特效下","2","1","300","0","0","0","0","0","0","0","188","0","0","0","0","1","","1","","0","0","200","0","0","0","0","1"
"11000114","破釜沉舟2-受击结算","4","1","400","0","0","0","0","0","0","0","188","0","0","0","0","0","","0","","0","600","200","0","0","0","0","1"
"11000115","破釜沉舟2-残影消失","1","0","0","0","0","3","2","0","0","2","188","0","0","0","0","0","","0","","0","0","200","0","0","0","0","1"
"11000120","破釜沉舟3-移动","1","0","0","0","0","0","1","0","2","3","188","0","0","0","0","0","","0","","0","0","200","0","0","0","0","1"
"11000121","破釜沉舟3-攻击动作","0","1","0","8","1100","0","0","0","2","3","188","0","0","0","0","0","","0","","0","0","200","0","0","0","0","1"
"11000122","破釜沉舟3-受击特效上","2","1","300","0","0","0","0","0","0","3","255","0","0","5","0","1","geffect/skill/acc1-dt/Cc.pfcz","1","DT-pfcz","0","0","200","0","0","0","0","1"
"11000123","破釜沉舟3-受击特效下","2","1","300","0","0","0","0","0","0","0","188","0","0","0","0","1","","1","","0","0","200","0","0","0","0","1"
"11000124","破釜沉舟3-受击结算","4","1","400","0","0","0","0","0","0","0","188","0","0","0","0","0","","0","","0","600","200","0","0","0","0","1"
"11000125","破釜沉舟3-残影消失","1","0","0","0","0","3","2","0","0","3","188","0","0","0","0","0","","0","","0","0","200","0","0","0","0","1"
"11000130","破釜沉舟4-移动","1","0","0","0","0","0","1","0","2","4","188","0","0","0","0","0","","0","","0","0","200","0","0","0","0","1"
"11000131","破釜沉舟4-攻击动作","0","1","0","8","1100","0","0","0","2","4","188","0","0","0","0","0","","0","","0","0","200","0","0","0","0","1"
"11000132","破釜沉舟4-受击特效上","2","1","300","0","0","0","0","0","0","4","255","0","0","5","0","1","geffect/skill/acc1-dt/Cc.pfcz","1","DT-pfcz","0","0","200","0","0","0","0","1"
"11000133","破釜沉舟4-受击特效下","2","1","300","0","0","0","0","0","0","0","188","0","0","0","0","1","","1","","0","0","200","0","0","0","0","1"
"11000134","破釜沉舟4-受击结算","4","1","400","0","0","0","0","0","0","0","188","0","0","0","0","0","","0","","0","600","200","0","0","0","0","1"
"11000135","破釜沉舟4-残影消失","1","0","0","0","0","3","2","0","0","4","188","0","0","0","0","0","","0","","0","0","200","0","0","0","0","1"
