"技能编号","是否需要熟练度","技能名称","排序编号","图标编号","技能类型","附魔产出道具","是否需要公会","技能最高上限","学习需求等级规则","学习消耗规则","活力消耗规则","关联被动技能","提升属性说明1","提升属性系数1","提升属性说明2","提升属性系数2","提升属性说明3","提升属性系数3","提升属性说明4","提升属性系数4","公会内技能能达到上限","是否在技能学习人处显示","生产引导提示","描述","公会界面描述","技能简介","下一级效果","当前级别效果","是否需要熟练度2","参数个数","参数1对应列","参数2对应列","参数3对应列","专精当前效果1","专精当前效果2","专精当前效果3","专精当前效果4","属性id1","属性id2","属性id3","属性id4"
"300101","true","打造技巧","5","5","2","","1","160","1","2","1","","","","","","","","","","120","1","<T t=""能打造出武器，可以在帮派中学习，也可以在"" c=""ffffffff""></T><G t=""尹克西"" npcid=""10193""></G><T t=""处学习一些基本的打造之术。"" c=""ffffffff""></T>","可用于锻造武器。","制作一个技能等级相符的打造符。","制作一个与技能等级相符的锻造石","提升至$parameter3$级：可制造最高等级为$parameter3$级的武器","可制造最高等级为$parameter1$级武器。","1","3","0","1","9","","","","","","","",""
"300201","true","裁缝技巧","6","6","2","","1","160","1","2","1","","","","","","","","","","120","1","<T t=""可以制作腰带、项链以及鞋子，可以在帮派中学习，也可以在"" c=""ffffffff""></T><G t=""尹克西"" npcid=""10193""></G><T t=""处学习一些基本的巧匠之术。"" c=""ffffffff""></T>","可用于制作衣服、头盔。","制作一个与技能等级相符的裁缝符。","制作一个与技能等级相符的染料","提升至$parameter3$级：可制造最高等级为$parameter3$级的项链、腰带、鞋子","可制造最高等级为$parameter1$级项链、腰带、鞋子。","1","3","0","1","9","","","","","","","",""
"300301","true","炼金技巧","7","7","2","","1","160","1","2","1","","","","","","","","","","120","1","<T t=""可以制造出衣服和护腕，可以在帮派中学习，也可以在"" c=""ffffffff""></T><G t=""尹克西"" npcid=""10193""></G><T t=""处学习一些基本的裁缝之术。"" c=""ffffffff""></T>","可用于制作鞋子、项链、腰带。","制作一个与技能等级相符的炼金符。","制作一个与技能等级相符的炼金溶剂","提升至$parameter3$级：可制造最高等级为$parameter3$级的护腕、衣服","可制造最高等级为$parameter1$级护腕、衣服。","1","3","0","1","9","","","","","","","",""
"300401","false","气血","8","173","1","331201","1","129","","0","4","","","","","","","","","","1","0","","生命附魔","大唐官府临时符，给衣服提升生命上限","提升生命上限","强化装备","强化装备。","0","0","-1","-1","-1","","","","","","","",""
"300402","false","物理伤害","8","212","1","331202","1","129","","0","4","","","","","","","","","","1","0","","物伤附魔","龙宫临时符，给武器提升物理攻击","提升物理攻击","强化装备","强化装备。","0","0","-1","-1","-1","","","","","","","",""
"300403","false","法术伤害","8","204","1","331203","1","129","","0","4","","","","","","","","","","1","0","","法攻附魔","普陀山临时符，给项链提升法术攻击","提升法术攻击","提升宝石等级","提升宝石等级。","0","0","-1","-1","-1","","","","","","","",""
"300404","false","物理防御","8","96","1","331204","1","129","","0","4","","","","","","","","","","1","0","","物防附魔","方寸山临时符，给头盔提升物理防御","提升物理防御","强化装备","强化装备。","0","0","-1","-1","-1","","","","","","","",""
"300405","false","法术防御","8","247","1","331205","1","129","","0","4","","","","","","","","","","1","0","","法防附魔","幽冥地府临时符，给鞋子提升法术防御","提升法术防御","强化装备","强化装备。","0","0","-1","-1","-1","","","","","","","",""
"300406","false","愤怒","8","18","1","331206","1","129","","0","4","","","","","","","","","","1","0","","怒气附魔","狮驼岭临时符，给腰带提升怒气","提升怒气","提升宝石等级","提升宝石等级。","0","0","-1","-1","-1","","","","","","","",""
"300407","false","治疗强度","8","96","1","331207","1","129","","0","4","","","","","","","","","","1","0","","治疗附魔","化生临时符，给武器提升治疗强度","提升物理防御","强化装备","强化装备。","0","0","-1","-1","-1","","","","","","","",""
