2025-09-02 16:11:52 出售人id: 155649 出售人userid: 40 出售人名字: 刘光济  购买人id: 106497  购买人userid: 28  购买人名字: 林宏硕  物品名称: 碧水青龙  物品数量: 1  交易价格: 1
2025-09-02 23:09:37 出售人id: 335873 出售人userid: 84 出售人名字: 公坚舒  购买人id: 294913  购买人userid: 74  购买人名字: 淡淡  物品名称: 龙骨甲  物品数量: 1  交易价格: 90000
2025-09-02 23:23:14 出售人id: 364545 出售人userid: 92 出售人名字: 施寿  购买人id: 294913  购买人userid: 74  购买人名字: 淡淡  物品名称: 碧水青龙  物品数量: 1  交易价格: 90000
2025-09-02 23:29:53 出售人id: 364545 出售人userid: 92 出售人名字: 施寿  购买人id: 286721  购买人userid: 73  购买人名字: 依然霸道  物品名称: 兽王腰带  物品数量: 1  交易价格: 60300
2025-09-02 23:57:24 出售人id: 389121 出售人userid: 97 出售人名字: 梁杰  购买人id: 294913  购买人userid: 74  购买人名字: 淡淡  物品名称: 赤炎枪  物品数量: 1  交易价格: 90000
2025-09-03 00:03:19 出售人id: 389121 出售人userid: 97 出售人名字: 梁杰  购买人id: 294913  购买人userid: 74  购买人名字: 淡淡  物品名称: 赤炎枪  物品数量: 1  交易价格: 90000
2025-09-03 00:21:33 出售人id: 413697 出售人userid: 103 出售人名字: 一步入天象  购买人id: 385025  购买人userid: 96  购买人名字: 广寒宫破阵  物品名称: 神兜兜  物品数量: 1  交易价格: 900000
2025-09-03 00:23:07 出售人id: 405505 出售人userid: 101 出售人名字: 专属武器  购买人id: 286721  购买人userid: 73  购买人名字: 依然霸道  物品名称: 赤炎枪  物品数量: 1  交易价格: 90000
2025-09-03 01:17:13 出售人id: 356353 出售人userid: 89 出售人名字: 高海荣  购买人id: 479233  购买人userid: 119  购买人名字: 澹台衍  物品名称: 离火扇  物品数量: 1  交易价格: 100
2025-09-03 02:04:53 出售人id: 376833 出售人userid: 94 出售人名字: 专属衣服  购买人id: 286721  购买人userid: 73  购买人名字: 依然霸道  物品名称: 龙骨甲  物品数量: 1  交易价格: 9000
2025-09-03 03:46:19 出售人id: 524289 出售人userid: 130 出售人名字: 万俟睿范  购买人id: 532481  购买人userid: 132  购买人名字: 龙太子头领  物品名称: 龙骨甲  物品数量: 1  交易价格: 90
2025-09-03 04:03:18 出售人id: 548865 出售人userid: 136 出售人名字: 任奕  购买人id: 479233  购买人userid: 119  购买人名字: 澹台衍  物品名称: 北斗七星剑  物品数量: 1  交易价格: 10000
2025-09-03 05:57:21 出售人id: 552961 出售人userid: 137 出售人名字: 宋嘉容  购买人id: 479233  购买人userid: 119  购买人名字: 澹台衍  物品名称: 兽王腰带  物品数量: 1  交易价格: 600
2025-09-03 05:57:26 出售人id: 552961 出售人userid: 137 出售人名字: 宋嘉容  购买人id: 479233  购买人userid: 119  购买人名字: 澹台衍  物品名称: 九州履  物品数量: 1  交易价格: 600
2025-09-03 05:57:29 出售人id: 552961 出售人userid: 137 出售人名字: 宋嘉容  购买人id: 479233  购买人userid: 119  购买人名字: 澹台衍  物品名称: 碧水青龙  物品数量: 1  交易价格: 60
2025-09-03 05:57:36 出售人id: 552961 出售人userid: 137 出售人名字: 宋嘉容  购买人id: 479233  购买人userid: 119  购买人名字: 澹台衍  物品名称: 龙骨甲  物品数量: 1  交易价格: 60
2025-09-03 06:01:11 出售人id: 552961 出售人userid: 137 出售人名字: 宋嘉容  购买人id: 479233  购买人userid: 119  购买人名字: 澹台衍  物品名称: 乾坤帽  物品数量: 1  交易价格: 600
2025-09-03 08:05:26 出售人id: 565249 出售人userid: 140 出售人名字: 即墨骏奇  购买人id: 294913  购买人userid: 74  购买人名字: 淡淡  物品名称: 碧水青龙  物品数量: 1  交易价格: 90000
2025-09-03 08:24:07 出售人id: 557057 出售人userid: 138 出售人名字: 专属缔造者  购买人id: 286721  购买人userid: 73  购买人名字: 依然霸道  物品名称: 九州履  物品数量: 1  交易价格: 9000
2025-09-03 08:31:47 出售人id: 581633 出售人userid: 144 出售人名字: 太叔乐水  购买人id: 294913  购买人userid: 74  购买人名字: 淡淡  物品名称: 碧水青龙  物品数量: 1  交易价格: 90000
2025-09-03 08:37:27 出售人id: 581633 出售人userid: 144 出售人名字: 太叔乐水  购买人id: 294913  购买人userid: 74  购买人名字: 淡淡  物品名称: 碧水青龙  物品数量: 1  交易价格: 90000
