编号;显示名
36984;金钱
36985;经验
330000;金币
330100;帮派技能
334000;升级礼包
334001;10级礼包
334002;20级礼包
334003;30级礼包
334004;40级礼包
334005;50级礼包
334006;60级礼包
334007;70级礼包
334008;80级礼包
334009;90级礼包
334010;100级礼包
334011;110级礼包
334012;120级礼包
40007;玄黄无极石
40008;青龙石
40009;朱雀石
40010;白虎石
40011;玄武石
40012;修理符
40013;珍珠
40014;战书
40015;强化石礼包
40016;强化石礼包
40017;强化石礼包
40018;强化石礼包
40019;强化石礼包
40020;强化石礼包•壹
40021;强化石礼包•贰
40022;强化石礼包•叁
40023;强化石礼包•四
40024;强化石礼包•五
331000;人参果•木
331001;人参果•火
331002;人参果•金
331003;人参果•土
331004;人参果•水
331005;千年人参果
400158;百年蟠桃•木
400159;百年蟠桃•火
400160;百年蟠桃•金
400161;百年蟠桃•土
400162;百年蟠桃•水
400163;千年蟠桃
400164;万年蟠桃
400165;蚩尤金丹*金
400166;蚩尤金丹*木
400167;蚩尤金丹*水
400168;蚩尤金丹*火
400169;蚩尤金丹*土
400170;自在天魔赤丹*金
400171;自在天魔赤丹*木
400172;自在天魔赤丹*水
400173;自在天魔赤丹*火
400174;自在天魔赤丹*土
331201;临时符
331202;临时符
331203;临时符
331204;临时符
331205;临时符
331206;临时符
331207;临时符
331208;临时符
331209;临时符
331350;金刚石
331351;定魂珠
331352;避水珠
331353;夜光珠
331354;龙鳞
331300;藏宝图
331301;高级藏宝图
331302;高级藏宝图
331401;可爱云
331402;流沙葫
331403;丹须虾
331404;望月吼
331405;龙羽枭
331406;四不像
331407;灵月驼
331408;岩溶牛
331409;蝶语莺
331410;龙灵猫
331411;冰晶虎
331412;羊咩咩
331413;金玉鲤
331414;竹团团
331415;九霄鹏
331416;比翼飞
331417;开明兽
331418;吉庆兽
331419;炎爆龙
331420;天地棋局
331421;童话书·日
331422;童话书·夜
331423;一路发
331424;招财虎
331425;琉璃雪
331426;雷电
331427;仙人掌
331428;好梦云
331429;睡梦云
331430;丰雪嘟嘟
331431;北冥鲲（篮）
331432;冰晶鹿
331433;猛犸象
331434;蓝瞳兔
331435;雪嘟嘟
331436;小锦鲤
331437;琉璃雪
331438;超人小柴
331439;雪绒鸭
331440;暖绒熊
331441;雪云狮
331442;天元狮
331443;玄天虎
331444;冥翼虎
331445;炎翼虎
331446;冰翔虎
331447;花猫
331448;光猫
331449;七彩毛驴
331450;彩小驴
331451;粉小驴
331452;毛小驴
331453;流星马
331454;幽冥马
331455;绝影马
331456;飞焰马
331457;彩虹马
331458;云龙马
331459;时空马
331460;风灵马
331461;白龙马
331462;魔晶狼
331463;风怒麟
331464;仙瑞麟
331465;月影鹿
331466;萌萌龙
331467;黑金豹
331468;小阿狸
331469;小柯
331470;福猪猪
331471;小鼬鼬
331472;星云兽
331473;奶雷兔
331474;雪绒狐
331475;充偶虎
331476;翼海马
331477;奇旅喵
331478;灰猫
331479;锦鲤
331480;蒙面酷猫
331481;海洋霸主
331482;天使猪猪
331483;巡洋鲨
331484;布偶熊
331485;食月逐影
331486;天狗踏月
331487;月豹
331488;风雷羚（炎）
331489;一尾狐
331490;黑耀鹿
331491;三尾狐
331492;孺子牛
331493;天狗
331494;黑天狗
331495;熔岩犀
331496;巡林猪
331497;阴阳牛
331498;哮天犬
331499;星云兽
331500;熊猫儿
331501;枯骨龙•粉
331502;芭蕉扇
331503;七彩羽
331504;雷云
331505;彩云
331506;最靓的仔
331507;天下第一高手
331508;住在海边喜欢浪
331509;九天碧落笑黄泉
331510;不死不休独未央
331511;无欲无求帝空镜
331512;富甲天下
331513;大哥的女人
331514;大富大贵
331515;来啊•快活呀
331516;咒印封邪•吾定乾坤
331517;跟我皮•我让你跟我皮
331518;不良人一•辈子都是
331519;佛不度我•我便弑佛
331520;逆风霸主•不服来战
331521;逆风西游•冠名大佬
331522;有钱真的可以为所欲为
331523;雕虫小技•竟敢班门弄
331524;一个月几百块玩什么命
332000;蝎子精（7天）
332001;蝎子精（30天）
332002;蝎子精（永久）
332003;孙悟空（7天）
332004;孙悟空（30天）
332005;孙悟空（永久）
332006;李天王（7天）
332007;李天王（30天）
332008;李天王（永久）
332009;程咬金（7天）
332010;程咬金（30天）
332011;程咬金（永久）
332012;黄袍怪（7天）
332013;黄袍怪（30天）
332014;黄袍怪（永久）
332015;地藏菩萨（7天）
332016;地藏菩萨（30天）
332017;地藏菩萨（永久）
332018;蝎子精（7天）
332019;蝎子精（30天）
332020;蝎子精（永久）
332021;沙和尚（7天）
332022;沙和尚（30天）
332023;沙和尚（永久）
332024;大鹏王（7天）
332025;大鹏王（30天）
332026;大鹏王（永久）
332027;白象王（7天）
332028;白象王（30天）
332029;白象王（永久）
332030;青狮王（7天）
332031;青狮王（30天）
332032;青狮王（永久）
332033;镇元子（7天）
332034;镇元子（30天）
332035;镇元子（永久）
332036;飞霞（7天）
332037;飞霞（30天）
332038;飞霞（永久）
332039;太白金星（7天）
332040;太白金星（30天）
332041;太白金星（永久）
332042;小白龙（7天）
332043;小白龙（30天）
332044;小白龙（永久）
332045;西海龙王（7天）
332046;西海龙王（30天）
332047;西海龙王（永久）
332048;玉面狐狸（7天）
332049;玉面狐狸（30天）
332050;玉面狐狸（永久）
332051;唐僧（7天）
332052;唐僧（30天）
332053;唐僧（永久）
332054;唐僧（7天）
332055;唐僧（30天）
332056;唐僧（永久）
332057;百花羞（7天）
332058;百花羞（30天）
332059;百花羞（永久）
332060;仙女（7天）
332061;仙女（30天）
332062;仙女（永久）
332063;玉面狐狸（7天）
332064;玉面狐狸（30天）
332065;玉面狐狸（永久）
332066;书生（7天）
332067;书生（30天）
332068;书生（永久）
332069;红孩儿（7天）
332070;红孩儿（30天）
332071;红孩儿（永久）
332072;哪咤（7天）
332073;哪咤（30天）
332074;哪咤（永久）
332075;九头虫（7天）
332076;九头虫（30天）
332077;九头虫（永久）
332078;呆贼（7天）
332079;呆贼（30天）
332080;呆贼（永久）
332081;猪八戒（7天）
332082;猪八戒（30天）
332083;猪八戒（永久）
332084;大当家（7天）
332085;大当家（30天）
332086;大当家（永久）
332087;玉兔精（7天）
332088;玉兔精（30天）
332089;玉兔精（永久）
332090;黑无常（7天）
332091;黑无常（30天）
332092;黑无常（永久）
332093;金角大王（7天）
332094;金角大王（30天）
332095;金角大王（永久）
332096;菩提老祖（7天）
332097;菩提老祖（30天）
332098;菩提老祖（永久）
332099;菩提老祖（7天）备用
332100;菩提老祖（30天）备用
332101;菩提老祖（永久）备用
331101;10打造符
331102;20打造符
331103;30打造符
331104;40打造符
331105;50打造符
331106;60打造符
331107;70打造符
331108;80打造符
331109;90打造符
331110;100打造符
331111;110打造符
331112;120打造符
331113;130打造符
331114;140打造符
331115;150打造符
331116;160打造符
331117;170打造符
331118;180打造符
331119;190打造符
331120;200打造符
331131;10裁缝符
331132;20裁缝符
331133;30裁缝符
331134;40裁缝符
331135;50裁缝符
331136;60裁缝符
331137;70裁缝符
331138;80裁缝符
331139;90裁缝符
331140;100裁缝符
331141;110裁缝符
331142;120裁缝符
331143;130裁缝符
331144;140裁缝符
331145;150裁缝符
331146;160裁缝符
331147;170裁缝符
331148;180裁缝符
331149;190裁缝符
331150;200裁缝符
331161;10炼金符
331162;20炼金符
331163;30炼金符
331164;40炼金符
331165;50炼金符
331166;60炼金符
331167;70炼金符
331168;80炼金符
331169;90炼金符
331170;100炼金符
331171;110炼金符
331172;120炼金符
331173;130炼金符
331174;140炼金符
331175;150炼金符
331176;160炼金符
331177;170炼金符
331178;180炼金符
331179;190炼金符
331180;200炼金符
341101;10•百炼精铁
341102;20•百炼精铁
341103;30•百炼精铁
341104;40•百炼精铁
341105;50•百炼精铁
341106;60•百炼精铁
341107;70•百炼精铁
341108;80•百炼精铁
341109;90•百炼精铁
341110;100•百炼精铁
341111;110•百炼精铁
341112;120•百炼精铁
341113;130•百炼精铁
341114;140•百炼精铁
341115;150•百炼精铁
341116;160•百炼精铁
341117;170•百炼精铁
341118;180•百炼精铁
341119;190•百炼精铁
341120;200•百炼精铁
350000;制造书•剑
350001;制造书•枪
350002;制造书•斧钺
350003;制造书•扇
350004;制造书•魔棒
350005;制造书•爪刺
350006;制造书•锤
350007;制造书•鞭
350008;制造书•环圈
350009;制造书•弓
350010;制造书•飘带
350011;制造书•宝珠
350012;制造书•长刀
350013;制造书•双短剑
350014;制造书•降魔杵
350015;制造书•法杖
350016;制造书•弯刀
350017;制造书•男衣
350018;制造书•女衣
350019;制造书•头盔
350020;制造书•发钗
350021;制造书•项链
350022;制造书•腰带
350023;制造书•鞋子
350100;制造书•剑
350101;制造书•枪
350102;制造书•斧钺
350103;制造书•扇
350104;制造书•魔棒
350105;制造书•爪刺
350106;制造书•锤
350107;制造书•鞭
350108;制造书•环圈
350109;制造书•弓
