id,备注,职业贡献奖励,节日积分奖励,公会贡献奖励,公会任务贡献资金,公会任务个人分红,经验奖励,宠物经验奖励,游戏币奖励,金币奖励,信用值比例,信用值额外,声望,必给物品1类ID,必给物品1类数量,必给物品1类属性,必给物品1类属性值,必给物品2类ID,必给物品2类数量,必给物品2类属性,必给物品2类属性值,必给物品3类ID,必给物品3类数量,必给物品3类属性,必给物品3类属性值,必给物品4类ID,必给物品4类数量,必给物品4类属性,必给物品4类属性值,物品1类,物品2类,物品3类,物品4类,物品5类,物品6类,物品7类,物品8类,物品9类,物品10类,物品11类,物品12类,物品13类,物品14类,物品15类,物品16类,物品1类数量,物品2类数量,物品3类数量,物品4类数量,物品5类数量,物品6类数量,物品7类数量,物品8类数量,物品9类数量,物品10类数量,物品11类数量,物品12类数量,物品13类数量,物品14类数量,物品15类数量,物品16类数量,物品1类掉率,物品2类掉率,物品3类掉率,物品4类掉率,物品5类掉率,物品6类掉率,物品7类掉率,物品8类掉率,物品9类掉率,物品10类掉率,物品11类掉率,物品12类掉率,物品13类掉率,物品14类掉率,物品15类掉率,物品16类掉率,获得概率,总概率,随机方式,是否绑定,公告物品id,公告编号,是否发队伍提示,是否触发盈福经验,是否放入临时包裹,是否共享掉落,产出装备途径,定时活动id,服务器获得上限,上限清除方式,提示物品id,提示编号,提示类型,MergeServer,掉落随机1次几率,掉落随机2次几率,掉落随机3次几率,是否受服务器等级衰减,是否受服务器等级加成,获得声望提示
1068,野外挂机经验,,,,,,"(400*MonsterLv*0.011*(MonsterNum*0.083+MasterNum*0.1245)*min(max(1-0.2*floor(abs(MonsterLv-RoleLv)/5),0.1),1)*(1-IsDbPoint)+400*MonsterLv*0.13*(MonsterNum*0.083+MasterNum*0.1245)*min(max(1-0.2*floor(abs(MonsterLv-RoleLv)/5),0.1),1)*IsDbPoint)*(random()*(1.02-0.98)+0.98)","(5000*MonsterLv*0.011*(MonsterNum*0.083+MasterNum*0.1245)*min(max(1-0.2*floor(abs(MonsterLv-RoleLv)/5),0.1),1)*(1-IsDbPoint)+5000*MonsterLv*0.02*(MonsterNum*0.083+MasterNum*0.1245)*min(max(1-0.2*floor(abs(MonsterLv-RoleLv)/5),0.1),1)*IsDbPoint)*(random()*(1.02-0.98)+0.98)","(1000*MonsterLv*0.019*(MonsterNum*0.083+MasterNum*0.1245)*min(max(1-0.2*floor(abs(MonsterLv-RoleLv)/5),0.1),1)*IsDbPoint)*(random()*(1.02-0.98)+0.98)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,1,1,
1070,野外挂机经验,,,,,,"(400*MonsterLv*0.011*(MonsterNum*0.083+MasterNum*0.1245)*min(max(1-0.2*floor(abs(MonsterLv-RoleLv)/5),0.1),1)*(1-IsDbPoint)+400*MonsterLv*0.13*(MonsterNum*0.083+MasterNum*0.1245)*min(max(1-0.2*floor(abs(MonsterLv-RoleLv)/5),0.1),1)*IsDbPoint)*(random()*(1.02-0.98)+0.98)","(5000*MonsterLv*0.011*(MonsterNum*0.083+MasterNum*0.1245)*min(max(1-0.2*floor(abs(MonsterLv-RoleLv)/5),0.1),1)*(1-IsDbPoint)+5000*MonsterLv*0.02*(MonsterNum*0.083+MasterNum*0.1245)*min(max(1-0.2*floor(abs(MonsterLv-RoleLv)/5),0.1),1)*IsDbPoint)*(random()*(1.02-0.98)+0.98)","(1000*MonsterLv*0.019*(MonsterNum*0.083+MasterNum*0.1245)*min(max(1-0.2*floor(abs(MonsterLv-RoleLv)/5),0.1),1)*IsDbPoint)*(random()*(1.02-0.98)+0.98)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,1,1,
3134,暗雷区掉落测试用,,,,,,,,,,,,,200002,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,1000,1,1,0,0,0,0,1,,0,0,0,0,0,0,0,0,,,,0,0,
3135,暗雷区掉落测试用,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200003,200006,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,120,80,,,,,,,,,,,,,,,1000,1000,1,1,0,0,0,0,1,,0,0,0,0,0,0,0,0,750,200,50,0,0,
3136,暗雷区掉落测试用,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200004,200007,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,120,80,,,,,,,,,,,,,,,1000,1000,1,1,0,0,0,0,1,,0,0,0,0,0,0,0,0,750,200,50,0,0,
10001,火鸡大餐,,,,,,StdExp*5/10*(random()*(1.2-0.8)+0.8),,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,1000,1,1,0,0,0,0,1,,0,0,0,0,0,0,1,0,,,,0,0,
10002,1级宝石专用包,,,,,,,,,,,,,200011,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,1000,1,1,0,0,0,0,1,,0,0,0,0,0,0,1,0,,,,0,0,
10003,2级宝石专用包,,,,,,,,,,,,,200012,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,1000,1,1,0,0,0,0,1,,0,0,0,0,0,0,1,0,,,,0,0,
10004,3级宝石专用包,,,,,,,,,,,,,200013,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,1000,1,1,0,0,0,0,1,,0,0,0,0,0,0,1,0,,,,0,0,
10005,队长宝箱,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200011,338000,200016,336010,200023,200024,,,,,,,,,,,1,1,1,1,1,1,,,,,,,,,,,50,150,15,5,600,400,,,,,,,,,,,1000,1220,0,1,0,0,0,0,1,,0,0,0,0,0,0,1,0,,,,0,0,
10006,光环箱子,,,,,,,,,,,,,200073,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,1000,1,1,0,0,0,0,1,,0,0,0,0,0,0,1,0,,,,0,0,
11001,40级普通副本-怪物掉落,,,,,,(1+0.05*IsTL)*(1+IsSerMul)*(StdExp*6.6667/8*((Ring-1)*0.3+1)),,(StdMoney*3.15/8*((Ring-1)*0.3+1))*(random()*(1.05-0.95)+0.95),,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,1000,1,1,0,0,0,1,1,,0,0,0,0,0,0,1,0,,,,0,0,
11002,40级精英副本-怪物掉落,,,,,,(1+0.05*IsTL)*(1+IsSerMul)*(StdExp*2.14*7/8*((Ring-1)*0.3+1)),,(StdMoney*4.2/8*((Ring-1)*0.3+1))*(random()*(1.05-0.95)+0.95),,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,1000,1,1,0,0,0,1,1,,0,0,0,0,0,0,1,0,,,,0,0,
11003,60级普通副本-怪物掉落,,,,,,(1+0.05*IsTL)*(1+IsSerMul)*(StdExp*6.6667/8*((Ring-1)*0.3+1)),,(StdMoney*3.15/8*((Ring-1)*0.3+1))*(random()*(1.05-0.95)+0.95),,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,1000,1,1,0,0,0,1,1,,0,0,0,0,0,0,1,0,,,,0,0,
11004,60级精英副本-怪物掉落,,,,,,(1+0.05*IsTL)*(1+IsSerMul)*(StdExp*2.14*7/8*((Ring-1)*0.3+1)),,(StdMoney*4.2/8*((Ring-1)*0.3+1))*(random()*(1.05-0.95)+0.95),,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,1000,1,1,0,0,0,1,1,,0,0,0,0,0,0,1,0,,,,0,0,
11005,40级普通副本-第5关奖励,,,,,,(1+0.05*IsTL)*(1+IsSerMul)*(StdExp*6.6667/8*((Ring-1)*0.3+1)),,(StdMoney*3.15/8*((Ring-1)*0.3+1))*(random()*(1.05-0.95)+0.95),200,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200011,200032,334100,334101,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,200,50,100,100,,,,,,,,,,,,,1000,1000,0,1,0,0,0,0,1,,0,0,0,0,0,0,1,0,,,,0,0,
11006,40级精英副本-第5关奖励,,,,,,(1+0.05*IsTL)*(1+IsSerMul)*(StdExp*2.14*7/8*((Ring-1)*0.3+1)),,(StdMoney*4.2/8*((Ring-1)*0.3+1))*(random()*(1.05-0.95)+0.95),500,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200011,200032,334100,334101,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,200,50,100,100,,,,,,,,,,,,,1000,1000,0,1,0,0,0,0,1,,0,0,0,0,0,0,1,0,,,,0,0,
11007,60级普通副本-第5关奖励,,,,,,(1+0.05*IsTL)*(1+IsSerMul)*(StdExp*6.6667/8*((Ring-1)*0.3+1)),,(StdMoney*3.15/8*((Ring-1)*0.3+1))*(random()*(1.05-0.95)+0.95),200,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200011,200033,334100,334101,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,200,50,100,100,,,,,,,,,,,,,1000,1000,0,1,0,0,0,0,1,,0,0,0,0,0,0,1,0,,,,0,0,
11008,60级精英副本-第5关奖励,,,,,,(1+0.05*IsTL)*(1+IsSerMul)*(StdExp*2.14*7/8*((Ring-1)*0.3+1)),,(StdMoney*4.2/8*((Ring-1)*0.3+1))*(random()*(1.05-0.95)+0.95),500,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200011,200033,334100,334101,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,200,50,100,100,,,,,,,,,,,,,1000,1000,0,1,0,0,0,0,1,,0,0,0,0,0,0,1,0,,,,0,0,
11009,40级普通副本-ROLL点奖励(40-45）,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200017,200020,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,1000,300,,,,,,,,,,,,,,,1000,1000,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1000,,,0,0,
11010,40级普通副本-ROLL点奖励(46-55）,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200025,200026,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,1000,600,,,,,,,,,,,,,,,1000,1000,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1000,,,0,0,
11011,40级普通副本-ROLL点奖励(56-155）,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200025,200027,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,1000,650,,,,,,,,,,,,,,,1000,1000,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1000,,,0,0,
11012,40级精英副本-ROLL点奖励(40-45）,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200017,200020,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,1000,300,,,,,,,,,,,,,,,1000,1000,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1000,,,0,0,
