id,组id,是否为人物头像,显示图标,名字,排序,描述,前往等级,前往逻辑,前往逻辑对应,完成逻辑,完成逻辑参数1,完成逻辑参数2,道具1,道具数量1,道具1图标,道具1名称,宠物1,宠物数量1,宠物1图标,宠物1名称,奖励ID,职业贡献奖励图标,职业贡献奖励文本,节日积分奖励图标,节日积分奖励文本,公会贡献奖励图标,公会贡献奖励文本,公会任务贡献资金图标,公会任务贡献资金文本,公会任务个人分红图标,公会任务个人分红文本,经验奖励图标,经验奖励文本,宠物经验奖励图标,宠物经验奖励文本,游戏币奖励图标,游戏币奖励文本,金币奖励图标,金币奖励文本,声望图标,声望文本
101,1,0,1049,"<T t=""萌宠相伴"" c=""FF00b1ff""/>",1,获得宠物训练师赠送的宠物。,1,3,18,1,"506001,506002",,310000,1,1049,营养套餐,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,1,0,1129,"<T t=""呼朋唤友"" c=""FF00b1ff""/>",2,拥有自己的第一个好友。,1,1,49,2,1,1,32037,1,1129,小生命储备,0,0,0,0,12002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,1,0,1418,"<T t=""新兵报到"" c=""FFcb05fc""/>",3,初到艾泽大陆，拜访各位强者。,1,3,,3,"180101,180201,180301,180401,180501,180601,180701,180801,180901",,0,0,0,0,0,0,0,0,12003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1418,5声望
201,2,1,30201,"<T t=""创物梦境"" c=""FF00b1ff""/>",1,带满四个助战参与战斗，轻松行走艾泽大陆。,10,1,24,4,4,,332018,1,30201,大大姐（7天）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202,2,0,1417,"<T t=""公会玩法"" c=""FF00b1ff""/>",2,加入一个公会，使用公会频道。,10,5,,5,1,,0,0,0,0,0,0,0,0,12007,0,0,0,0,1417,10公会贡献,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203,2,0,1423,"<T t=""职业任务"" c=""FF00BB00""/>",3,完成一轮（10个）职业任务。,10,4,,10,101,10,0,0,0,0,0,0,0,0,12005,1423,10职业贡献,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,2,1,30313,"<T t=""半神之血"" c=""FFcb05fc""/>",4,教训教训寒冰王子，让他知道谁更强大。,10,3,,3,180185,,332030,1,30313,兽王（7天）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,2,0,208,"<T t=""职业技能"" c=""FF00BB00""/>",5,所有职业技能达到二十级，更加强力了！,10,1,19,7,20,,0,0,0,0,0,0,0,0,12008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1158,1000银币,0,0,0,0
206,2,0,1418,"<T t=""眼疾手快"" c=""FF00b1ff""/>",6,首次抢到红包。,10,1,71,24,0,,0,0,0,0,0,0,0,0,12036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1418,10声望
207,2,0,1418,"<T t=""义结金兰"" c=""FF00b1ff""/>",7,和一个好友的友好度达到500点,10,1,42,26,500,500,0,1,0,0,0,0,0,0,12035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1418,10声望
301,3,0,1088,"<T t=""大陆声音"" c=""FF00b1ff""/>",1,在世界频道喊话一次，让艾泽大陆都听到你的声音。,20,1,44,8,1,,0,0,0,0,0,0,0,0,12009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1088,50金币,0,0
