编号,刷新组,注释（策划备注）,等级下限,等级上限,刷新时系统提示信息编号,刷新列表,刷新列表数量,每种NPC数量,刷新总数量,刷新控制,刷新控制总数量,数量分配方式,刷新场景,刷新场景个数,场景中数量分配方式,怪物存在时间,击杀奖励个数,是否属于狩猎活动,奖励ID,奖励ID2,匹配奖励方式,分级奖励,奖励个数超过提示编号,是否组队,组队人数要求,需求等级下限,需求等级上限,次数,观战,消失,对应活动表ID,匹配秒数,是否匹配,次数击杀,分级次数,延迟秒数,延迟刷怪提示
1,1,远古魔像,25,155,,211154,1,5,150,1,20,1,1616@1;1614@1;1606@1;1605@1;1607@1;1610@1;1609@1;1611@1;1612@1;1608@1,1,1,0,10,2,7100,,,,300016,1,3,40,155,1,1,0,105,0,0,1,"1,44,3;45,49,4;50,54,5;55,59,6;60,64,7;65,155,8",,
8,2,古神,1,155,,"211155,211156,211157,211158,211159,211160,211160",1,1,20,1,20,1,1616@1;1614@1;1606@1;1605@1;1607@1;1610@1;1609@1;1611@1;1612@1;1608@1,1,1,0,5,3,7200,,,,300022,1,3,50,155,1,1,0,106,5,0,1,"1,54,1;55,59,2;60,64,3;65,155,4",,
9,3,宝宝幼儿园,1,44,,"170214,170215,170216,170214,170215,170216,170214,170215,170216,170217;170214,170215,170216,170214,170215,170216,170214,170215,170216,170255;170214,170215,170216,170214,170215,170216,170214,170215,170216,170256;170214,170215,170216,170214,170215,170216,170214,170215,170216,170257;170214,170215,170216,170214,170215,170216,170214,170215,170216;170214,170215,170216,170214,170215,170216,170214,170215,170216;170214,170215,170216,170214,170215,170216,170214,170215,170216;170214,170215,170216,170214,170215,170216,170214,170215,170216",1,1,20,1,20,1,1616@1,1,1,0,10,,,,,,,,,25,155,1,1,0,,0,0,0,,10,170069
10,3,宝宝幼儿园,45,54,,"170218,170219,170220,170218,170219,170220,170218,170219,170220,170221;170218,170219,170220,170218,170219,170220,170218,170219,170220,170259;170218,170219,170220,170218,170219,170220,170218,170219,170220,170260;170218,170219,170220,170218,170219,170220,170218,170219,170220,170261;170218,170219,170220,170218,170219,170220,170218,170219,170220;170218,170219,170220,170218,170219,170220,170218,170219,170220;170218,170219,170220,170218,170219,170220,170218,170219,170220;170218,170219,170220,170218,170219,170220,170218,170219,170220",1,1,20,1,20,1,1606@1,1,1,0,10,,,,,,,,,35,155,1,1,0,,0,0,0,,10,170069
11,3,宝宝幼儿园,55,64,,"170222,170223,170224,170222,170223,170224,170222,170223,170224,170225;170222,170223,170224,170222,170223,170224,170222,170223,170224,170263;170222,170223,170224,170222,170223,170224,170222,170223,170224,170264;170222,170223,170224,170222,170223,170224,170222,170223,170224,170265;170222,170223,170224,170222,170223,170224,170222,170223,170224;170222,170223,170224,170222,170223,170224,170222,170223,170224;170222,170223,170224,170222,170223,170224,170222,170223,170224;170222,170223,170224,170222,170223,170224,170222,170223,170224",1,1,20,1,20,1,1605@1,1,1,0,10,,,,,,,,,45,155,1,1,0,,0,0,0,,10,170069
12,3,宝宝幼儿园,65,74,,"170226,170227,170228,170226,170227,170228,170226,170227,170228,170229;170226,170227,170228,170226,170227,170228,170226,170227,170228,170230;170226,170227,170228,170226,170227,170228,170226,170227,170228,170267;170226,170227,170228,170226,170227,170228,170226,170227,170228,170268;170226,170227,170228,170226,170227,170228,170226,170227,170228,170269;170226,170227,170228,170226,170227,170228,170226,170227,170228;170226,170227,170228,170226,170227,170228,170226,170227,170228;170226,170227,170228,170226,170227,170228,170226,170227,170228;170226,170227,170228,170226,170227,170228,170226,170227,170228;170226,170227,170228,170226,170227,170228,170226,170227,170228",1,1,20,1,20,1,1607@1,1,1,0,10,,,,,,,,,55,155,1,1,0,,0,0,0,,10,170069
13,3,宝宝幼儿园,75,79,,"170231,170232,170233,170231,170232,170233,170231,170232,170233,170234;170231,170232,170233,170231,170232,170233,170231,170232,170233,170272;170231,170232,170233,170231,170232,170233,170231,170232,170233,170273;170231,170232,170233,170231,170232,170233,170231,170232,170233,170274;170231,170232,170233,170231,170232,170233,170231,170232,170233;170231,170232,170233,170231,170232,170233,170231,170232,170233;170231,170232,170233,170231,170232,170233,170231,170232,170233;170231,170232,170233,170231,170232,170233,170231,170232,170233",1,1,20,1,20,1,1610@1,1,1,0,10,,,,,,,,,65,155,1,1,0,,0,0,0,,10,170069
14,3,宝宝幼儿园,80,84,,"170235,170236,170237,170235,170236,170237,170235,170236,170237,170238;170235,170236,170237,170235,170236,170237,170235,170236,170237,170276;170235,170236,170237,170235,170236,170237,170235,170236,170237,170277;170235,170236,170237,170235,170236,170237,170235,170236,170237,170278;170235,170236,170237,170235,170236,170237,170235,170236,170237;170235,170236,170237,170235,170236,170237,170235,170236,170237;170235,170236,170237,170235,170236,170237,170235,170236,170237;170235,170236,170237,170235,170236,170237,170235,170236,170237",1,1,20,1,20,1,1610@1,1,1,0,10,,,,,,,,,70,155,1,1,0,,0,0,0,,10,170069
15,3,宝宝幼儿园,85,89,,"170239,170240,170241,170239,170240,170241,170239,170240,170241,170242;170239,170240,170241,170239,170240,170241,170239,170240,170241,170280;170239,170240,170241,170239,170240,170241,170239,170240,170241,170281;170239,170240,170241,170239,170240,170241,170239,170240,170241,170282;170239,170240,170241,170239,170240,170241,170239,170240,170241;170239,170240,170241,170239,170240,170241,170239,170240,170241;170239,170240,170241,170239,170240,170241,170239,170240,170241;170239,170240,170241,170239,170240,170241,170239,170240,170241",1,1,20,1,20,1,1610@1,1,1,0,10,,,,,,,,,75,155,1,1,0,,0,0,0,,10,170069
16,3,宝宝幼儿园,90,94,,"170243,170244,170245,170243,170244,170245,170243,170244,170245,170246;170243,170244,170245,170243,170244,170245,170243,170244,170245,170284;170243,170244,170245,170243,170244,170245,170243,170244,170245,170285;170243,170244,170245,170243,170244,170245,170243,170244,170245,170286;170243,170244,170245,170243,170244,170245,170243,170244,170245;170243,170244,170245,170243,170244,170245,170243,170244,170245;170243,170244,170245,170243,170244,170245,170243,170244,170245;170243,170244,170245,170243,170244,170245,170243,170244,170245",1,1,20,1,20,1,1609@1,1,1,0,10,,,,,,,,,80,155,1,1,0,,0,0,0,,10,170069
