定时活动配置表id,注释（策划备注）,活动开始时间,距离活动开始间隔时间,间隔刷新时间,触发时间随机,刷新时系统提示信息编号,刷新方式,补怪数量上限,补怪持续时间,刷新列表,刷新列表数量,每种NPC数量,刷新场景,刷新场景个数,怪物存在时间,击杀奖励个数,是否属于狩猎活动,奖励ID,匹配等级方式,分级奖励,奖励个数超过提示编号,是否组队,组队人数要求,需求等级下限,需求等级上限,次数,补怪方式,对应事件刷新ID,观战,消失,对应活动表ID,匹配秒数,是否匹配,次数击杀,分级次数,刷新控制,刷新控制总数量,延迟秒数,延迟刷怪提示,数量分配方式,场景中数量分配方式
200001,巨龙军团,00:00:05,,1800,,300020,0,0,0,"211134,211135,211136",1,"min(max(rolenum*0.004,8),16)",1616@1;1614@1;1606@1;1605@1;1607@1;1610@1;1609@1;1611@1;1612@1;1608@1,2,1800,10,2,0,1,"1,49,7000;50,59,7001;60,69,7002;70,155,7003",300016,1,3,40,155,1,0,,1,0,105,0,0,1,"1,44,3;45,49,4;50,54,5;55,59,6;60,64,7;65,155,8",2,"floor((min(max(floor((ServerLv-40)*0.2),0),4)*3+6)*min(max(rolenum*0.0005,1),2))",,,1,1
200002,巨龙军团,00:00:05,,1800,,300020,0,0,0,"211134,211135,211136",1,"min(max(rolenum*0.004,8),16)",1616@1;1614@1;1606@1;1605@1;1607@1;1610@1;1609@1;1611@1;1612@1;1608@1,2,1800,10,2,0,1,"1,49,7000;50,59,7001;60,69,7002;70,155,7003",300016,1,3,40,155,1,0,,1,0,105,0,0,1,"1,44,3;45,49,4;50,54,5;55,59,6;60,64,7;65,155,8",2,"floor((min(max(floor((ServerLv-40)*0.2),0),4)*3+6)*min(max(rolenum*0.0005,1),2))",,,1,1
200003,巨龙军团,00:00:05,,1800,,300020,0,0,0,"211134,211135,211136",1,"min(max(rolenum*0.004,8),16)",1616@1;1614@1;1606@1;1605@1;1607@1;1610@1;1609@1;1611@1;1612@1;1608@1,2,1800,10,2,0,1,"1,49,7000;50,59,7001;60,69,7002;70,155,7003",300016,1,3,40,155,1,0,,1,0,105,0,0,1,"1,44,3;45,49,4;50,54,5;55,59,6;60,64,7;65,155,8",2,"floor((min(max(floor((ServerLv-40)*0.2),0),4)*3+6)*min(max(rolenum*0.0005,1),2))",,,1,1
200004,巨龙军团,00:00:05,,1800,,300020,0,0,0,"211134,211135,211136",1,"min(max(rolenum*0.004,8),16)",1616@1;1614@1;1606@1;1605@1;1607@1;1610@1;1609@1;1611@1;1612@1;1608@1,2,1800,10,2,0,1,"1,49,7000;50,59,7001;60,69,7002;70,155,7003",300016,1,3,40,155,1,0,,1,0,105,0,0,1,"1,44,3;45,49,4;50,54,5;55,59,6;60,64,7;65,155,8",2,"floor((min(max(floor((ServerLv-40)*0.2),0),4)*3+6)*min(max(rolenum*0.0005,1),2))",,,1,1
200005,巨龙军团,00:00:05,,1800,,300020,0,0,0,"211134,211135,211136",1,"min(max(rolenum*0.004,8),16)",1616@1;1614@1;1606@1;1605@1;1607@1;1610@1;1609@1;1611@1;1612@1;1608@1,2,1800,10,2,0,1,"1,49,7000;50,59,7001;60,69,7002;70,155,7003",300016,1,3,40,155,1,0,,1,0,105,0,0,1,"1,44,3;45,49,4;50,54,5;55,59,6;60,64,7;65,155,8",2,"floor((min(max(floor((ServerLv-40)*0.2),0),4)*3+6)*min(max(rolenum*0.0005,1),2))",,,1,1
200006,巨龙军团,00:00:05,,1800,,300020,0,0,0,"211134,211135,211136",1,"min(max(rolenum*0.004,8),16)",1616@1;1614@1;1606@1;1605@1;1607@1;1610@1;1609@1;1611@1;1612@1;1608@1,2,1800,10,2,0,1,"1,49,7000;50,59,7001;60,69,7002;70,155,7003",300016,1,3,40,155,1,0,,1,0,105,0,0,1,"1,44,3;45,49,4;50,54,5;55,59,6;60,64,7;65,155,8",2,"floor((min(max(floor((ServerLv-40)*0.2),0),4)*3+6)*min(max(rolenum*0.0005,1),2))",,,1,1
200007,巨龙军团,00:00:05,,1800,,300020,0,0,0,"211134,211135,211136",1,"min(max(rolenum*0.004,8),16)",1616@1;1614@1;1606@1;1605@1;1607@1;1610@1;1609@1;1611@1;1612@1;1608@1,2,1800,10,2,0,1,"1,49,7000;50,59,7001;60,69,7002;70,155,7003",300016,1,3,40,155,1,0,,1,0,105,0,0,1,"1,44,3;45,49,4;50,54,5;55,59,6;60,64,7;65,155,8",2,"floor((min(max(floor((ServerLv-40)*0.2),0),4)*3+6)*min(max(rolenum*0.0005,1),2))",,,1,1
201008,上古巨龙,00:00:05,,1800,,300021,0,0,0,"211149,211150,211151,211152,211153",1,"min(max(rolenum*0.001,2),4)+(ServerLv-50)*0.2",1616@1;1614@1;1606@1;1605@1;1607@1;1610@1;1609@1;1611@1;1612@1;1608@1,2,1800,5,3,0,1,"1,49,7300;50,59,7301;60,69,7302;70,155,7303",300022,1,3,50,155,1,0,,1,0,106,5,0,1,"1,54,1;55,59,2;60,64,3;65,155,4",2,"floor((min(max(floor((ServerLv-50)*0.2),0),3)*2+3)*min(max(rolenum*0.0005,1),2))",,,1,1
201009,上古巨龙,00:00:05,,1800,,300021,0,0,0,"211149,211150,211151,211152,211153",1,"min(max(rolenum*0.001,2),4)+(ServerLv-50)*0.2",1616@1;1614@1;1606@1;1605@1;1607@1;1610@1;1609@1;1611@1;1612@1;1608@1,2,1800,5,3,0,1,"1,49,7300;50,59,7301;60,69,7302;70,155,7303",300022,1,3,50,155,1,0,,1,0,106,5,0,1,"1,54,1;55,59,2;60,64,3;65,155,4",2,"floor((min(max(floor((ServerLv-50)*0.2),0),3)*2+3)*min(max(rolenum*0.0005,1),2))",,,1,1
201010,上古巨龙,00:00:05,,1800,,300021,0,0,0,"211149,211150,211151,211152,211153",1,"min(max(rolenum*0.001,2),4)+(ServerLv-50)*0.2",1616@1;1614@1;1606@1;1605@1;1607@1;1610@1;1609@1;1611@1;1612@1;1608@1,2,1800,5,3,0,1,"1,49,7300;50,59,7301;60,69,7302;70,155,7303",300022,1,3,50,155,1,0,,1,0,106,5,0,1,"1,54,1;55,59,2;60,64,3;65,155,4",2,"floor((min(max(floor((ServerLv-50)*0.2),0),3)*2+3)*min(max(rolenum*0.0005,1),2))",,,1,1
