ID,领取等级,是否需要首充,除首充日外的连续充值天数,领取连续登陆天数,累积游戏时间,道具ID1,道具1数量,道具ID2,道具2数量,道具ID3,道具3数量,货币类型,数量,描述
1017,0,false,0,0,1,0,0,0,0,0,0,1,28888,每日登录游戏均可获得28888银币
1018,0,false,0,1,0,0,0,0,0,0,0,0,0,首次下载并登陆游戏获得1元红包现金奖励
1019,0,false,0,2,5,360002,1,332057,1,0,0,0,0,连续登录2天并持续在线5分钟获得专注光环卷轴*1、大奶铜须（7天）*1
1020,0,false,0,3,5,310000,3,310102,3,0,0,0,0,连续登录3天并持续在线5分钟获得营养套餐*3、太阳井水*3
1021,45,false,0,7,5,0,0,0,0,0,0,0,0,连续登录7天并持续在线5分钟且等级达到45级可获得3元现金红包
1022,50,false,0,0,0,350506,1,334100,10,0,0,0,0,角色达到50级获得50级打造图纸-腰带*1、纪元之书*10
1023,60,false,0,0,0,350606,1,310103,3,0,0,0,0,角色达到60级获得60级打造图纸-腰带*1、永恒井水*3
1024,70,false,0,0,0,350706,1,0,0,0,0,0,0,角色达到70级获得70级打造图纸-腰带*1
1025,80,false,0,120,0,0,0,0,0,0,0,0,0,角色达到80级并连续登陆120天获得100元现金红包
1026,0,true,0,0,0,335022,1,0,0,0,0,0,0,完成首充可获得100符石
1027,0,false,1,0,0,338000,3,337945,1,0,0,0,0,连续每日充值每次均可获得经验宝珠*3、一级宝石箱子*1
