装备等级,宝石可镶嵌个数,可镶嵌宝石最高等级,槽1开启等级,槽2开启等级,槽3开启等级
1,2,100,1,1,99
2,2,100,1,1,99
3,2,100,1,1,99
4,2,100,1,1,99
5,2,100,1,1,99
6,2,100,1,1,99
7,2,100,1,1,99
8,2,100,1,1,99
9,2,100,1,1,99
10,2,100,1,1,99
20,2,100,1,1,99
30,2,100,1,1,99
40,2,100,1,1,99
50,2,100,1,1,99
60,2,100,1,1,99
70,2,100,1,1,99
80,2,100,1,1,99
90,2,100,1,1,99
100,2,100,1,1,99
110,2,100,1,1,99
120,2,100,1,1,99
130,2,100,1,1,99
140,2,100,1,1,99
150,2,100,1,1,99
160,2,100,1,1,99
170,2,100,1,1,99
180,2,100,1,1,99
190,2,100,1,1,99
200,2,100,1,1,99
210,2,100,1,1,99
220,2,100,1,1,99
230,2,100,1,1,99
240,2,100,1,1,99
250,2,100,1,1,99
260,2,100,1,1,99
270,2,100,1,1,99
280,2,100,1,1,99
290,2,100,1,1,99
300,2,100,1,1,99
310,2,100,1,1,99
320,2,100,1,1,99
330,2,100,1,1,99
340,2,100,1,1,99
350,2,100,1,1,99
360,2,100,1,1,99
