id,名称,进度ID,所属副本ID,积分上限,激活条件1,激活条件2,激活条件3,激活条件4,完成条件1,完成条件2,完成条件3,完成条件4,激活播动画,完成播动画,完成宝箱库ID,每人宝箱数,完成时积分兑换奖励,可否同步,进度默认传送点,是否存在BOSS,通关经验奖励,通关奖励,击杀奖励
401,融核之心1层,1,110,0,,,,,,,,,0,0,0,0,0,1,"1851,17,87",,,,
402,融核之心2层,2,110,0,1,,,,,,,,0,0,0,0,0,1,"1852,17,87",,,,
403,融核之心3层,3,110,0,2,,,,,,,,0,0,0,0,0,1,"1853,17,87",,,,
404,融核之心4层,4,110,0,3,,,,,,,,0,0,0,0,0,1,"1854,17,87",,,,
405,融核之心5层,5,110,0,4,,,,,,,,0,0,0,0,0,1,"1855,17,87",,,,
406,融核之心6层,6,110,0,5,,,,,,,,0,0,0,0,0,1,"1856,17,87",,,,
407,融核之心7层,7,110,0,6,,,,,,,,0,0,0,0,0,1,"1857,17,87",,,,
408,融核之心8层,8,110,0,7,,,,,,,,0,0,0,0,0,1,"1858,17,87",,,,
409,融核之心9层,9,110,0,8,,,,,,,,0,0,0,0,0,1,"1859,17,87",,,,
410,融核之心10层,10,110,0,9,,,,,,,,0,0,0,0,0,1,"1860,20,62",180379,,337947,337946
411,融核之心11层,11,110,0,10,,,,,,,,0,0,0,0,0,1,,,,,
412,黑龙巢穴1层,1,111,0,,,,,,,,,0,0,0,0,0,1,"1861,17,87",,,,
413,黑龙巢穴2层,2,111,0,1,,,,,,,,0,0,0,0,0,1,"1862,17,87",,,,
414,黑龙巢穴3层,3,111,0,2,,,,,,,,0,0,0,0,0,1,"1863,17,87",,,,
415,黑龙巢穴4层,4,111,0,3,,,,,,,,0,0,0,0,0,1,"1864,17,87",,,,
416,黑龙巢穴5层,5,111,0,4,,,,,,,,0,0,0,0,0,1,"1865,17,87",,,,
417,黑龙巢穴6层,6,111,0,5,,,,,,,,0,0,0,0,0,1,"1866,17,87",,,,
418,黑龙巢穴7层,7,111,0,6,,,,,,,,0,0,0,0,0,1,"1867,17,87",,,,
419,黑龙巢穴8层,8,111,0,7,,,,,,,,0,0,0,0,0,1,"1868,17,87",,,,
420,黑龙巢穴9层,9,111,0,8,,,,,,,,0,0,0,0,0,1,"1869,17,87",,,,
421,黑龙巢穴10层,10,111,0,9,,,,,,,,0,0,0,0,0,1,"1870,20,62",180429,,337948,337946
422,黑龙巢穴11层,11,111,0,10,,,,,,,,0,0,0,0,0,1,,,,,
423,双子神庙1层,1,112,0,,,,,,,,,0,0,0,0,0,1,"1871,17,87",,,,
424,双子神庙2层,2,112,0,1,,,,,,,,0,0,0,0,0,1,"1872,17,87",,,,
425,双子神庙3层,3,112,0,2,,,,,,,,0,0,0,0,0,1,"1873,17,87",,,,
426,双子神庙4层,4,112,0,3,,,,,,,,0,0,0,0,0,1,"1874,17,87",,,,
427,双子神庙5层,5,112,0,4,,,,,,,,0,0,0,0,0,1,"1875,17,87",,,,
428,双子神庙6层,6,112,0,5,,,,,,,,0,0,0,0,0,1,"1876,17,87",,,,
429,双子神庙7层,7,112,0,6,,,,,,,,0,0,0,0,0,1,"1877,17,87",,,,
430,双子神庙8层,8,112,0,7,,,,,,,,0,0,0,0,0,1,"1878,17,87",,,,
431,双子神庙9层,9,112,0,8,,,,,,,,0,0,0,0,0,1,"1879,17,87",,,,
432,双子神庙10层,10,112,0,9,,,,,,,,0,0,0,0,0,1,"1880,20,62",180483,,337949,337946
433,双子神庙11层,11,112,0,10,,,,,,,,0,0,0,0,0,1,,,,,
