编号,刷新组,注释（策划备注）,等级下限,等级上限,刷新时系统提示信息编号,刷新列表,刷新列表数量,每种NPC数量,刷新上限总数量,刷新控制,刷新控制总数量,数量分配方式,刷新场景,刷新场景个数,场景中数量分配方式,怪物存在时间,击杀奖励个数,奖励ID,奖励ID2,匹配奖励方式,分级奖励,奖励个数超过提示编号,是否组队,组队人数要求,需求等级下限,需求等级上限,次数,观战,消失,对应活动表ID,匹配秒数,是否匹配,次数击杀,分级次数,延迟秒数,延迟刷怪提示
1,1,古神爪牙,1,300,,"170071,170072",2,4,10,1,20,1,1616@1,1,1,0,10,5750,,,,150210,,,25,300,5,0,1,105,,,,,,
2,1,古神爪牙,40,300,,"170074,170075,170076",3,3,10,1,20,1,1614@1,1,1,0,10,5760,,,,150210,,,40,300,5,0,1,105,,,,,,
3,1,古神爪牙,50,300,,"170077,170078,170079",3,3,10,1,20,1,1606@1,1,1,0,10,5770,,,,150210,,,50,300,5,0,1,105,,,,,,
4,1,古神爪牙,60,300,,"170080,170081,170082",3,3,10,1,20,1,1605@1,1,1,0,10,5780,,,,150210,,,60,300,5,0,1,105,,,,,,
5,1,古神爪牙,70,300,,"170083,170084,170085",3,3,10,1,20,1,1607@1,1,1,0,10,5780,,,,150210,,,70,300,5,0,1,105,,,,,,
6,1,古神爪牙,80,300,,"170086,170087,170088",3,3,10,1,20,1,1610@1,1,1,0,10,5780,,,,150210,,,80,300,5,0,1,105,,,,,,
7,1,古神爪牙,90,300,,"170089,170090,170091",3,3,10,1,20,1,1609@1,1,1,0,10,5780,,,,150210,,,90,300,5,0,1,105,,,,,,
8,2,远古妖王,1,155,,"170092,170093,170094,170095,170096,170097",6,1,500,1,500,1,1605@1;1606@1;1607@1;1609@1;1610@1;1614@1;1616@1,7,1,1200,10,7122,,,,150214,1,3,1,155,1,1,0,,,,,,,
9,3,宝宝幼儿园,1,155,,"172261,172262,172263,172264,172265,172266,172267,172268,172269,172270,172271",11,1,500,1,500,1,1605@1;1606@1;1607@1;1608@1;1609@1,5,1,1200,10,,,,,,,,1,300,1,1,0,,,,,,10,170069
10,3,宝宝幼儿园,1,155,,"172261,172262,172263,172264,172265,172266,172267,172268,172269,172270,172271",11,1,500,1,500,1,1605@1;1606@1;1607@1;1608@1;1609@1,5,1,1200,10,,,,,,,,1,300,1,1,0,,,,,,10,170069
11,3,宝宝幼儿园,1,155,,"172261,172262,172263,172264,172265,172266,172267,172268,172269,172270,172271",11,1,500,1,500,1,1605@1;1606@1;1607@1;1608@1;1609@1,5,1,1200,10,,,,,,,,1,300,1,1,0,,,,,,10,170069
12,3,宝宝幼儿园,1,155,,"172261,172262,172263,172264,172265,172266,172267,172268,172269,172270,172271",11,1,500,1,500,1,1605@1;1606@1;1607@1;1608@1;1609@1,5,1,1200,10,,,,,,,,1,300,1,1,0,,,,,,10,170069
13,3,宝宝幼儿园,1,155,,"172261,172262,172263,172264,172265,172266,172267,172268,172269,172270,172271",11,1,500,1,500,1,1605@1;1606@1;1607@1;1608@1;1609@1,5,1,1200,10,,,,,,,,1,300,1,1,0,,,,,,10,170069
14,3,宝宝幼儿园,1,155,,"172261,172262,172263,172264,172265,172266,172267,172268,172269,172270,172271",11,1,500,1,500,1,1605@1;1606@1;1607@1;1608@1;1609@1,5,1,1200,10,,,,,,,,1,300,1,1,0,,,,,,10,170069
15,3,宝宝幼儿园,1,155,,"172261,172262,172263,172264,172265,172266,172267,172268,172269,172270,172271",11,1,500,1,500,1,1605@1;1606@1;1607@1;1608@1;1609@1,5,1,1200,10,,,,,,,,1,300,1,1,0,,,,,,10,170069
16,3,宝宝幼儿园,1,155,,"172261,172262,172263,172264,172265,172266,172267,172268,172269,172270,172271",11,1,500,1,500,1,1605@1;1606@1;1607@1;1608@1;1609@1,5,1,1200,10,,,,,,,,1,300,1,1,0,,,,,,10,170069
17,3,宝宝幼儿园,1,155,,"172261,172262,172263,172264,172265,172266,172267,172268,172269,172270,172271",11,1,500,1,500,1,1605@1;1606@1;1607@1;1608@1;1609@1,5,1,1200,10,,,,,,,,1,300,1,1,0,,,,,,10,170069
18,4,魔王宝箱,1,300,,180320,1,20,150,1,20,1,1605@1;1606@1;1607@1;1608@1;1609@1,5,2,0,5,,,,,150215,,,1,300,0,0,0,,,,,,,
19,5,魔王宝箱,1,300,,180320,1,20,150,1,20,1,1605@1;1606@1;1607@1;1608@1;1609@1,5,2,0,5,,,,,150215,,,1,300,0,0,0,,,,,,,
20,6,魔王宝箱,1,300,,180320,1,20,150,1,20,1,1605@1;1606@1;1607@1;1608@1;1609@1,5,2,0,5,,,,,150215,,,1,300,0,0,0,,,,,,,
21,7,魔王宝箱,1,300,,180320,1,20,150,1,20,1,1605@1;1606@1;1607@1;1608@1;1609@1,5,2,0,5,,,,,150215,,,1,300,0,0,0,,,,,,,
22,7,纳鲁恩赐宝箱,1,300,,300002,1,1,1,1,1,1,1605@1;1606@1;1607@1;1608@1;1609@1;1610@1;1611@1;1612@1;1614@1;1615@1,10,1,60,0,6550,,,,180024,,,1,300,0,0,0,,,,,,,
