id,道具id,道具名字,分类,货币类型,价格,每日最值,是否限时,开始时间,结束时间
1,351400,140制造书•剑,1,2,50000,999,0,0,0
2,351401,140制造书•枪,1,2,50000,999,0,0,0
3,351402,140制造书•斧钺,1,2,50000,999,0,0,0
4,351403,140制造书•扇,1,2,50000,999,0,0,0
5,351404,140制造书•魔棒,1,2,50000,999,0,0,0
6,351405,140制造书•爪刺,1,2,50000,999,0,0,0
7,351406,140制造书•锤,1,2,50000,999,0,0,0
8,351407,140制造书•鞭,1,2,50000,999,0,0,0
9,351408,140制造书•环圈,1,2,50000,999,0,0,0
10,351409,140制造书•弓,1,2,50000,999,0,0,0
11,351410,140制造书•飘带,1,2,50000,999,0,0,0
12,351411,140制造书•宝珠,1,2,50000,999,0,0,0
13,351412,140制造书•长刀,1,2,50000,999,0,0,0
14,351413,140制造书•双短剑,1,2,50000,999,0,0,0
15,351414,140制造书•降魔杵,1,2,50000,999,0,0,0
16,351415,140制造书•法杖,1,2,50000,999,0,0,0
25,351416,140制造书•弯刀,1,2,50000,999,0,0,0
26,351417,140制造书•男衣,1,2,50000,999,0,0,0
27,351418,140制造书•女衣,1,2,50000,999,0,0,0
28,351419,140制造书•头盔,1,2,50000,999,0,0,0
29,351420,140制造书•发钗,1,2,50000,999,0,0,0
30,351421,140制造书•项链,1,2,50000,999,0,0,0
31,351422,140制造书•腰带,1,2,50000,999,0,0,0
32,351423,140制造书•鞋子,1,2,50000,999,0,0,0
33,351500,150制造书•剑,2,2,100000,999,0,0,0
34,351501,150制造书•枪,2,2,100000,999,0,0,0
35,351502,150制造书•斧钺,2,2,100000,999,0,0,0
36,351503,150制造书•扇,2,2,100000,999,0,0,0
37,351504,150制造书•魔棒,2,2,100000,999,0,0,0
38,351505,150制造书•爪刺,2,2,100000,999,0,0,0
39,351506,150制造书•锤,2,2,100000,999,0,0,0
40,351507,150制造书•鞭,2,2,100000,999,0,0,0
41,351508,150制造书•环圈,2,2,100000,999,0,0,0
42,351509,150制造书•弓,2,2,100000,999,0,0,0
43,351510,150制造书•飘带,2,2,100000,999,0,0,0
44,351511,150制造书•宝珠,2,2,100000,999,0,0,0
45,351512,150制造书•长刀,2,2,100000,999,0,0,0
46,351513,150制造书•双短剑,2,2,100000,999,0,0,0
47,351514,150制造书•降魔杵,2,2,100000,999,0,0,0
48,351515,150制造书•法杖,2,2,100000,999,0,0,0
49,351516,150制造书•弯刀,2,2,100000,999,0,0,0
50,351517,150制造书•男衣,2,2,100000,999,0,0,0
51,351518,150制造书•女衣,2,2,100000,999,0,0,0
52,351519,150制造书•头盔,2,2,100000,999,0,0,0
53,351520,150制造书•发钗,2,2,100000,999,0,0,0
54,351521,150制造书•项链,2,2,100000,999,0,0,0
55,351522,150制造书•腰带,2,2,100000,999,0,0,0
56,351523,150制造书•鞋子,2,2,100000,999,0,0,0
57,351600,160制造书•剑,3,2,130000,999,0,0,0
58,351601,160制造书•枪,3,2,130000,999,0,0,0
59,351602,160制造书•斧钺,3,2,130000,999,0,0,0
60,351603,160制造书•扇,3,2,130000,999,0,0,0
61,351604,160制造书•魔棒,3,2,130000,999,0,0,0
62,351605,160制造书•爪刺,3,2,130000,999,0,0,0
63,351606,160制造书•锤,3,2,130000,999,0,0,0
64,351607,160制造书•鞭,3,2,130000,999,0,0,0
65,351608,160制造书•环圈,3,2,130000,999,0,0,0
66,351609,160制造书•弓,3,2,130000,999,0,0,0
67,351610,160制造书•飘带,3,2,130000,999,0,0,0
68,351611,160制造书•宝珠,3,2,130000,999,0,0,0
69,351612,160制造书•长刀,3,2,130000,999,0,0,0
70,351613,160制造书•双短剑,3,2,130000,999,0,0,0
71,351614,160制造书•降魔杵,3,2,130000,999,0,0,0
72,351615,160制造书•法杖,3,2,130000,999,0,0,0
73,351616,160制造书•弯刀,3,2,130000,999,0,0,0
74,351617,160制造书•男衣,3,2,130000,999,0,0,0
75,351618,160制造书•女衣,3,2,130000,999,0,0,0
76,351619,160制造书•头盔,3,2,130000,999,0,0,0
77,351620,160制造书•发钗,3,2,130000,999,0,0,0
78,351621,160制造书•项链,3,2,130000,999,0,0,0
79,351622,160制造书•腰带,3,2,130000,999,0,0,0
80,351623,160制造书•鞋子,3,2,130000,999,0,0,0
