角色id,性别,种族,英文名称,描述,职业1ID,职业2ID,职业3ID,默认武器1ID,默认武器2ID,默认武器3ID,人物模型,默认武器,默认衣服,默认护腕,默认项链,默认腰带,默认鞋子,创建角色界面角色图,职业按钮图片1,职业按钮图片2,职业按钮图片3,职业底图1,职业底图2,职业底图3,职业大头像,开始游戏按钮,返回按钮,左翻页按钮,右翻页按钮,背景图,背景横框,图片上层,图片下层,请选择职业文字,人物选择页签,旗子图标,旗子特效,人物创建骨骼动画,底框旗子,人物属性骨骼动画id
1,1,剑侠客,[colour='ffff2f2f']TAUREN,剑侠客,11,12,19,,,,1010101,,,,,,,,set:character4 image:datangguanfu_,set:character4 image:fangcunshan_,set:character4 image:huashengsi_,set:menpai image:datangguanfu,set:menpai image:fangcunshan,set:menpai image:huashengsi,set:createrolebg1 image:createrolebg1,set:character image:character_btn1_kaishi_2,set:character image:character_btn1_fanhui_2,set:character image:character_btn1_zuo_2,set:character image:character_btn1_you_2,set:loginback03 image:loginback03,,,,set:character image:character_img_zhuangshi_3,set:character image:character_img_deng_b_,set:character image:character_img_qizhi_1,spine/qizi_hong/qizi_hong,spinemh_jxk,set:character image:hong,1080101
2,2,巫蛮儿,[colour='ffff2f2f']Witchbarbarian,巫蛮儿,11,12,21,,,,1010102,,,,,,,,set:character4 image:datangguanfu_,set:character4 image:fangcunshan_,set:character4 image:nvercun_,set:menpai image:datangguanfu,set:menpai image:fangcunshan,set:menpai image:nvercun,set:createrolebg2 image:createrolebg2,set:character image:character_btn1_kaishi_2,set:character image:character_btn1_fanhui_2,set:character image:character_btn1_zuo_2,set:character image:character_btn1_you_2,set:loginback04 image:loginback04,,,,set:character image:character_img_zhuangshi_3,set:character image:character_img_deng_b_,set:character image:character_img_qizhi_1,spine/qizi_hong/qizi_hong,spinemh_wme,set:character image:hong,1080102
3,1,逍遥生,[colour='ff5de6ff']KNIGHT,逍遥生,11,12,19,,,,1010103,,,,,,,,set:character4 image:datangguanfu_,set:character4 image:fangcunshan_,set:character4 image:huashengsi_,set:menpai image:datangguanfu,set:menpai image:fangcunshan,set:menpai image:huashengsi,set:createrolebg3 image:createrolebg3,set:character image:character_btn1_kaishi_2,set:character image:character_btn1_fanhui_2,set:character image:character_btn1_zuo_2,set:character image:character_btn1_you_2,set:loginback05 image:loginback05,,,,set:character image:character_img_zhuangshi_2,set:character image:character_img_deng_b_,set:character image:character_img_qizhi_2,spine/qizi1/qizi1,spinemh_xys,set:character image:lan,1080103
4,2,飞燕女,[colour='ffff2f2f']FlYING,飞燕女,11,12,21,,,,1010104,,,,,,,,set:character4 image:datangguanfu_,set:character4 image:fangcunshan_,set:character4 image:nvercun_,set:menpai image:datangguanfu,set:menpai image:fangcunshan,set:menpai image:nvercun,set:createrolebg4 image:createrolebg4,set:character image:character_btn1_kaishi_2,set:character image:character_btn1_fanhui_2,set:character image:character_btn1_zuo_2,set:character image:character_btn1_you_2,set:loginback06 image:loginback06,,,,set:character image:character_img_zhuangshi_3,set:character image:character_img_deng_b_,set:character image:character_img_qizhi_1,spine/qizi_hong/qizi_hong,spinemh_fyn,set:character image:hong,1080104
5,1,漠少君,[colour='ffff2f2f']MoShaojun,漠少君,11,12,19,,,,1010105,,,,,,,,set:character4 image:datangguanfu_,set:character4 image:fangcunshan_,set:character4 image:huashengsi_,set:menpai image:datangguanfu,set:menpai image:fangcunshan,set:menpai image:huashengsi,set:createrolebg5 image:createrolebg5,set:character image:character_btn1_kaishi_2,set:character image:character_btn1_fanhui_2,set:character image:character_btn1_zuo_2,set:character image:character_btn1_you_2,set:loginback07 image:loginback07,,,,set:character image:character_img_zhuangshi_3,set:character image:character_img_deng_b_,set:character image:character_img_qizhi_1,spine/qizi_hong/qizi_hong,spinemh_msj,set:character image:hong,1080105
6,2,英女侠,[colour='ffff2f2f']Britishwoman,英女侠,11,12,21,,,,1010106,,,,,,,,set:character4 image:datangguanfu_,set:character4 image:fangcunshan_,set:character4 image:nvercun_,set:menpai image:datangguanfu,set:menpai image:fangcunshan,set:menpai image:nvercun,set:createrolebg6 image:createrolebg6,set:character image:character_btn1_kaishi_2,set:character image:character_btn1_fanhui_2,set:character image:character_btn1_zuo_2,set:character image:character_btn1_you_2,set:loginback08 image:loginback08,,,,set:character image:character_img_zhuangshi_3,set:character image:character_img_deng_b_,set:character image:character_img_qizhi_1,spine/qizi_hong/qizi_hong,spinemh_ynx,set:character image:hong,1080106
7,1,龙太子,[colour='ffff2f2f']FORSAKEN,龙太子,15,18,20,,,,1010107,,,,,,,,set:character4 image:longgong_,set:character4 image:yuegong_,set:character4 image:huaguoshan_,set:menpai image:longgong,set:menpai image:yuegong,set:menpai image:huaguoshan,set:createrolebg7 image:createrolebg7,set:character image:character_btn1_kaishi_2,set:character image:character_btn1_fanhui_2,set:character image:character_btn1_zuo_2,set:character image:character_btn1_you_2,set:loginback09 image:loginback09,,,,set:character image:character_img_zhuangshi_3,set:character image:character_img_deng_b_,set:character image:character_img_qizhi_1,spine/qizi_hong/qizi_hong,spine_ltz,set:character image:hong,1080107
8,2,玄彩娥,[colour='ffff2f2f']BLOODELF,玄彩娥,15,16,18,,,,1010108,,,,,,,,set:character4 image:longgong_,set:character4 image:putuoshan_,set:character4 image:yuegong_,set:menpai image:longgong,set:menpai image:putuoshan,set:menpai image:yuegong,set:createrolebg8 image:createrolebg8,set:character image:character_btn1_kaishi_2,set:character image:character_btn1_fanhui_2,set:character image:character_btn1_zuo_2,set:character image:character_btn1_you_2,set:loginback10 image:loginback10,,,,set:character image:character_img_zhuangshi_3,set:character image:character_img_deng_b_,set:character image:character_img_qizhi_1,spine/qizi_hong/qizi_hong,spinemh_xce,set:character image:hong,1080108
9,1,神天兵,[colour='ffff2f2f']DiVINESOLDIER,神天兵,15,18,20,,,,1010109,,,,,,,,set:character4 image:longgong_,set:character4 image:yuegong_,set:character4 image:huaguoshan_,set:menpai image:longgong,set:menpai image:yuegong,set:menpai image:huaguoshan,set:createrolebg9 image:createrolebg9,set:character image:character_btn1_kaishi_2,set:character image:character_btn1_fanhui_2,set:character image:character_btn1_zuo_2,set:character image:character_btn1_you_2,set:loginback11 image:loginback11,,,,set:character image:character_img_zhuangshi_3,set:character image:character_img_deng_b_,set:character image:character_img_qizhi_1,spine/qizi_hong/qizi_hong,spinemh_stb,set:character image:hong,1080109
10,2,舞天姬,[colour='ffff2f2f']BLOODELF,舞天姬,15,16,18,,,,1010110,,,,,,,,set:character4 image:longgong_,set:character4 image:putuoshan_,set:character4 image:yuegong_,set:menpai image:longgong,set:menpai image:putuoshan,set:menpai image:yuegong,set:createrolebg10 image:createrolebg10,set:character image:character_btn1_kaishi_2,set:character image:character_btn1_fanhui_2,set:character image:character_btn1_zuo_2,set:character image:character_btn1_you_2,set:loginback12 image:loginback12,,,,set:character image:character_img_zhuangshi_2,set:character image:character_img_deng_b_,set:character image:character_img_qizhi_2,spine/qizi1/qizi1,spinemh_wtj,set:character image:lan,1080110
