id,关键词,内容
1,搜不到,"<T t=""您好，可能是因为您的问题描述的不够详细，暂时无法给您答案"" ></T><T t=""#911"" ></T><B/><T t=""您可以点击精灵界面的推荐与热点问题查看适合您等级的玩法"" ></T><T t=""#907"" ></T>"
2,宠物宝宝,"<T t=""获得方式"" c=""FF693F00""></T><B/><T t=""1、通过""></T><T t=""【##18】"" c=""ff07d441""></T><T t=""购买野生宠物后洗练宠物获得宝宝""></T><B/><T t=""2、宠物幼儿园捕捉获得""></T><B/><T t=""3、通过""></T><T t=""【###红尘试炼】"" c=""ff07d441""></T><T t=""任务获得""></T><B/><T t=""4、挂机场景战斗（需在""></T><T t=""领双"" c=""ff3975fc""></T><T t=""状态下）、师门等任务时有概率遇到宠物宝宝""></T><B/><T t=""说明："" c=""FF693F00""></T><B/><T t=""1、玩家等级达到该宠物的""></T><T t=""携带等级"" c=""ff3975fc""></T><T t=""并且有空余的宠物栏时才能捕捉""></T><B/><T t=""2、领双挂机""c=""ff3975fc""></T><T t=""时才有概率遇到宠物宝宝，且能够""></T><T t=""自动捕捉""c=""ff3975fc""></T><B/><T t=""3、捕捉的宝宝和洗炼的宝宝没有区别""></T><B/><T t=""你可能还想了解：""c=""FF693F00""></T><T t=""【###宠物合成】"" c=""ff07d441""></T>"
3,宠物合成,"<T t=""合成要求："" c=""FF693F00""></T><B/><T t=""1、人物等级到达"" ></T><T t=""55级""c=""ff3975fc""></T><T t=""才能合宠""></T><B/><T t=""2、野生宠物""c=""ff3975fc""></T><T t=""不能合宠"" ></T><B/><T t=""3、合成的宠物""></T><T t=""无等级限制""c=""ff3975fc""></T><T t=""（0级宠物就可用来直接合成）"" ></T><B/><T t=""4、野生宠物可以使用""></T><T t=""【#####339002】""c=""ff07d441""></T><T t=""洗炼成宝宝后再合成""></T><B/><T t=""过程演示："" c=""FF693F00""></T><B/><T t=""消耗2个宠物，合成一个新的宠物：宠物A+宠物B=宠物C""></T><B/><T t=""打开："" c=""FF693F00""></T><T t=""【##16】""c=""ff07d441""></T><T t=""（点击跳转）""></T><B/><T t=""合成结果："" c=""FF693F00""></T><B/><T t=""1、造型""c=""ff3975fc""></T><T t=""为元宠物二选一""></T><B/><T t=""2、等级、技能""c=""ff3975fc""></T><T t=""为原宠物之间随机""></T><B/><T t=""3、成长、资质""c=""ff3975fc""></T><T t=""有可能高/低于原宠物""></T><B/><T t=""你可能感兴趣：""c=""FF693F00""></T><T t=""【###合宠限制】【###合宠预览】"" c=""ff07d441""></T>"
4,合宠限制,"<T t=""满足以下"" ></T><T t=""任意一项""c=""ff3975fc""></T><T t=""均不能进行合宠："" ></T><B/><T t=""1、宠物已"" ></T><T t=""绑定""c=""ff3975fc""></T><B/><T t=""2、宠物已"" ></T><T t=""加锁""c=""ff3975fc""></T><B/><T t=""3、宠物处于"" ></T><T t=""出战中""c=""ff3975fc""></T><B/><T t=""4、宠物为"" ></T><T t=""野生宠物""c=""ff3975fc""></T><B/><T t=""相关介绍：""c=""FF693F00""></T><T t=""【###合宠】【###合宠预览】"" c=""ff07d441""></T>"
5,合宠预览,"<T t=""作用：""c=""ff3975fc""></T><T t=""提前预测合宠结果的范围""></T><B/><T t=""温馨提示：""c=""ff3975fc""></T><T t=""预览""></T><B/><T t=""仅供参考："" c=""FF693F00""></T><T t=""非最终结果""></T><B/><T t=""操作：""c=""ff3975fc""></T><T t=""【##16】"" c=""ff07d441""></T><T t=""（传送门->中下方）""></T><T t=""预览"" c=""FF693F00""></T><B/><T t=""您可能感兴趣：""c=""ff3975fc""></T><T t=""【###合宠】【###合宠限制】"" c=""ff07d441""></T>"
6,红尘试炼,"<T t=""红尘试炼主要介绍宠物的"" ></T><T t=""身世故事""c=""ff3975fc""></T><B/><T t=""领取："" c=""FF693F00""></T><T t=""【####161517】"" c=""ff07d441""></T><T t=""（点击自动寻路）"" ></T><B/><T t=""条件""c=""ff3975fc""></T><B/><T t=""1、人物等级16级触发迅猛龙任务"" ></T><B/><T t=""2、人物后续达到x5（如35、55级等）会自动触发任务"" ></T><B/><T t=""说明："" c=""FF693F00""></T><B/><T t=""1、单人完成，"" c=""FF693F00""></T><T t=""主要为寻人、战斗"" ></T><B/><T t=""2、任务不可取消，完成有"" ></T><T t=""几率"" c=""FF693F00""></T><T t=""获得宠物宝宝"" ></T><B/><T t=""3、只有战斗任务可获得对应经验，寻人任务无经验奖励"" ></T>"
7,宠物技能,"<T t=""技能查看：""c=""ff3975fc""></T><T t=""【##18】"" c=""ff07d441""></T><T t=""（传送门）""></T><B/><T t=""技能获得：""c=""ff3975fc""></T><B/><T t=""方式1：→""c=""ff3975fc""></T><T t=""【###打书】，"" c=""ff07d441""></T><T t=""道具→""c=""ff3975fc""></T><T t=""【###魔兽要诀】，"" c=""ff07d441""></T><B/><T t=""方式2：→""c=""ff3975fc""></T><T t=""【###洗练】，"" c=""ff07d441""></T><T t=""道具→""c=""ff3975fc""></T><T t=""【###太阳井水】，"" c=""ff07d441""></T><B/><T t=""方式3：→""c=""ff3975fc""></T><T t=""【###合宠】"" c=""ff07d441""></T><T t=""（角色≥55级）""></T><B/><T t=说明：""c=""ff3975fc""></T><B/><T t=""1、技能""></T><T t=""不足"" c=""FF693F00""></T><T t=""4个小时，通过""></T><T t=""打书"" c=""FF693F00""></T><T t=""有一定概率增加到""></T><T t=""4个"" c=""FF693F00""></T><T t=""最多""></T><B/><T t=""2、非合成"" c=""FF693F00""></T><T t=""宠物技能数量最多""></T><T t=""5个"" c=""FF693F00""></T><T t=""（和图鉴一致）""></T><B/><T t=""3、合宠宠物"" c=""FF693F00""></T><T t=""有机会产生多技能宠物，最多""></T><T t=""12个"" c=""FF693F00""></T><T t=""合宠时可通过界面中下方""></T><T t=""合宠预览，"" c=""FF693F00""></T><T t=""查看可能携带的技能数量""></T>"
8,打书,"<T t=""宠物进行打书"" ></T><T t=""魔兽学习""c=""ff3975fc""></T><T t=""时，"" ></T><T t=""无任何技巧""c=""ff3975fc""></T><T t=""，不受宠物等级、资质等限制，只会从下述的2种情况里随机一种；"" ></T><B/><T t=""1."" ></T><T t=""增加技能"" c=""FF693F00""></T><T t=""：技能不足4个时，有一定概率直接增加该技能，不替换已有技能"" ></T><B/><T t=""2."" ></T><T t=""替换技能"" c=""FF693F00""></T><T t=""：未发生上述情况时，直接替换已有的技能"" ></T><B/><T t=""操作"" c=""FF693F00""></T><T t=""【##16】"" c=""ff07d441""></T><T t=""（点击跳转）"" ></T><B/><T t=""说明："" c=""FF693F00""></T><B/><T t=""1、宠物通过打书"" ></T><T t=""最高""c=""ff3975fc""></T><T t=""打到4技能"" ></T><B/><T t=""2、合宠后宠物技能上限最高"" ></T><T t=""12个""c=""ff3975fc""></T><B/><T t=""3、已认证的技能不会再打书时被顶替"" ></T><B/><T t=""4、珍品宠物的打书操作需要在常用设备状态下"" ></T><B/><T t=""您可能还想了解："" ></T><T t=""【###兽决获得方式】【###血宠】【血宠打书】"" c=""ff07d441""></T>"
9,魔兽要诀,"<T t=""作用："" c=""FF693F00""></T><T t=""宠物学习技能所用"" ></T><B/><T t=""说明："" c=""FF693F00""></T><T t=""宠物进行打书"" ></T><T t=""（兽决学习）""c=""ff3975fc""></T><T t=""时，从下述的2种情况里随机一种；"" ></T><B/><T t=""1、"" ></T><T t=""增加技能：""c=""ff3975fc""></T><T t=""技能不足4时，有一定概率直接增加该技能，不替换已有技能"" ></T><B/><T t=""2、"" ></T><T t=""替换技能：""c=""ff3975fc""></T><T t=""未发生上述情况时，直接替换已有技能"" ></T><B/><T t=""获得方式："" c=""FF693F00""></T><B/><T t=""1、开启其它宝箱礼包有一定几率获得"" ></T><B/><T t=""1、使用普通藏宝图挖宝有一定几率获得"" ></T><B/><T t=""进入"" ></T><T t=商城："" c=""FF693F00""></T><T t=""→"" ></T><T t=摆摊："" c=""FF693F00""></T><T t=""向其他玩家购买"" ></T>"
10,宠物洗练,"<T t=""野生宠物用太阳井水可洗成宝宝"" ></T><B/><T t=""要求："" c=""FF693F00""></T><T t=""人物等级"" ></T><T t=""≥35级""c=""ff3975fc""></T><B/><T t=""效果："" c=""FF693F00""></T><T t=""宠物变为0级，且宠物资质成长、技能会改变"" ></T><B/><T t=""洗练消耗："" c=""FF693F00""></T><B/><T t=""1、普通宠物："" ></T><T t=""参展等级<60级""c=""ff3975fc""></T><T t=""的宠物："" ></T><T t=""每次洗练""c=""ff3975fc""></T><T t=""需要消耗1个太阳井水，："" ></T><T t=""≥60级""c=""ff3975fc""></T><T t=""的宠物需消耗2个"" ></T><B/><T t=""2、稀有宠物：也就是灵兽需要消耗1个永恒井水"" ></T><B/><T t=""≥3、变异宠物""c=""ff3975fc""></T><T t=""需消耗"" ></T><T t=""【#####310102】"" c=""ff07d441""></T><T t=""进行洗练，消耗的数量与普通宠物一致"" ></T><B/><T t=""说明："" c=""FF693F00""></T><B/><T t=""1、洗练无技巧，不受时间、地点等因素影响"" ></T><B/>"
