id,上榜人数,排行榜,备注
1,50,等级排行榜,
2,50,财富排行榜,
3,50,今日鲜花榜,
4,50,昨日鲜花榜,
5,50,历史鲜花榜,
8,50,名师排行榜,
9,50,宠物综合评分榜,
10,50,成就排行榜,
11,50,PVP积分排行榜,
21,50,秘境降妖排行榜,
22,50,秘境降妖排行榜,
23,50,秘境降妖排行榜,
24,50,秘境降妖排行榜,
31,50,帮派排行榜,
32,50,玩家实力综合榜,
33,50,周鲜花榜,
34,50,收花榜,
35,50,送花榜,
38,50,人物排行榜,
43,50,战士排行榜,
44,50,法师排行榜,
45,50,牧师排行榜,
46,50,圣骑排行榜,
47,50,猎人排行榜,
48,50,德鲁伊排行榜,
49,50,等级,
50,50,综合实力,
51,50,融核之心,
52,50,通灵要塞,
60,50,盗贼排行榜,
61,50,萨满排行榜,
62,50,术士排行榜,
63,50,术士排行榜,
64,50,术士排行榜,
65,50,术士排行榜,
66,50,术士排行榜,
70,50,公会副本竞速,
81,50,5v5竞技场上届初级组,
82,50,5v5竞技场上届中级组,
83,50,5v5竞技场上届高级组,
84,50,5v5竞技场历史初级组,
85,50,5v5竞技场历史中级组,
86,50,5v5竞技场历史高级组,
101,50,世界红包榜,普通
102,50,世界红包榜,点卡
111,50,收花榜,
112,50,送花榜,
