属性id,属性名,对应评分系数,武器,衣服,头盔,项链,腰带,鞋子
60,生命,0.34,2.45,1,1,1,1,1
90,魔法,0.4,2.45,1,1,1,1,1
120,怒气值,0.4,2.45,1,1,1,1,1
130,物攻,1,2.45,1,1,1,1,1
140,物防,2,2.45,1,1,1,1,1
150,法攻,1.35,2.45,1,1,1,1,1
160,法防,1.7,2.45,1,1,1,1,1
200,速度,2.5,2.45,1,1,1,1,1
170,治疗强度,4,2.45,1,1,1,1,1
180,控制命中,1.7,2.45,1,1,1,1,1
190,控制抗性,1.7,2.45,1,1,1,1,1
210,命中,1.7,2.45,1,1,1,1,1
220,闪避,1.7,2.45,1,1,1,1,1
230,物理暴击,1.7,2.45,1,1,1,1,1
240,物理抗暴,1.7,2.45,1,1,1,1,1
250,物理暴伤,1.7,2.45,1,1,1,1,1
260,法术暴击,1.7,2.45,1,1,1,1,1
270,法术抗暴,1.7,2.45,1,1,1,1,1
280,法术暴伤,1.7,2.45,1,1,1,1,1
290,治疗暴击,1.7,2.45,1,1,1,1,1
300,治疗暴击量,1.7,2.45,1,1,1,1,1
310,忽视物理防御几率,1.7,2.45,1,1,1,1,1
320,忽视物理防御系数,1.7,2.45,1,1,1,1,1
330,忽视法术防御几率,1.7,2.45,1,1,1,1,1
340,忽视法术防御系数,1.7,2.45,1,1,1,1,1
570,格挡几率,1.7,2.45,1,1,1,1,1
580,格挡减伤系数,1.7,2.45,1,1,1,1,1
590,反震几率,1.7,2.45,1,1,1,1,1
600,反震伤害系数,1.7,2.45,1,1,1,1,1
610,反击几率,1.7,2.45,1,1,1,1,1
620,反击伤害系数,1.7,2.45,1,1,1,1,1
950,物理穿透,1.7,2.45,1,1,1,1,1
960,物理抵抗,1.7,2.45,1,1,1,1,1
970,法术穿透,1.7,2.45,1,1,1,1,1
980,法术抵抗,1.7,2.45,1,1,1,1,1
990,治疗加深,1.7,2.45,1,1,1,1,1
1000,被治疗加深,1.7,2.45,1,1,1,1,1
2130,控制加成,1.7,2.45,1,1,1,1,1
2140,控制免疫,1.7,2.45,1,1,1,1,1
2150,物理波动,1.7,2.45,1,1,1,1,1
2160,法术波动,1.7,2.45,1,1,1,1,1
2170,治疗波动,1.7,2.45,1,1,1,1,1
2180,被治疗暴击,1.7,2.45,1,1,1,1,1
