服务id,副本id,策划备注,step,战斗id,奖励id,道具奖励id,奖励次数,援助奖励id,援助奖励次数,NPC语言
100401,100,白龙闹海•1,1,2701,5570,5580,1,11021,3,160203
100402,100,白龙闹海•2,2,2702,5570,5580,1,11021,3,160204
100403,100,白龙闹海•3,3,2703,5570,5580,1,11021,3,160205
100404,100,白龙闹海•4,4,2704,5570,5580,1,11021,3,160206
100405,100,白龙闹海•5,5,2705,5570,5580,1,11021,3,160207
100406,101,天蓬娶亲•1,1,2706,5581,5580,1,11021,3,166011
100407,101,天蓬娶亲•2,2,2707,5581,5580,1,11021,3,166012
100408,101,天蓬娶亲•3,3,2708,5581,5580,1,11021,3,166013
100409,101,天蓬娶亲•4,4,2709,5581,5580,1,11021,3,166014
100410,101,天蓬娶亲•5,5,2710,5581,5580,1,11021,3,166015
100411,102,真假猴王•1,1,2711,5582,5580,1,11021,3,166016
100412,102,真假猴王•2,2,2712,5582,5580,1,11021,3,166017
100413,102,真假猴王•3,3,2713,5582,5580,1,11021,3,166018
100414,102,真假猴王•4,4,2714,5582,5580,1,11021,3,166019
100415,102,真假猴王•5,5,2715,5582,5580,1,11021,3,166020
100416,103,流沙地狱•1,1,2716,5583,5580,1,11021,3,166021
100417,103,流沙地狱•2,2,2717,5583,5580,1,11021,3,166022
100418,103,流沙地狱•3,3,2718,5583,5580,1,11021,3,166023
100419,103,流沙地狱•4,4,2719,5583,5580,1,11021,3,166024
100420,103,流沙地狱•5,5,2720,5583,5580,1,11021,3,166025
100421,104,金蝉转世•1,1,2721,5584,5580,1,11021,3,166026
100422,104,金蝉转世•2,2,2722,5584,5580,1,11021,3,166026
100423,104,金蝉转世•3,3,2723,5584,5580,1,11021,3,166027
100424,104,金蝉转世•4,4,2724,5584,5580,1,11021,3,166028
100425,104,金蝉转世•5,5,2725,5584,5580,1,11021,3,166029
