ID,备注,等级要求,需求道具1,需求道具1数量,需求道具2,需求道具2数量,需求道具3,需求道具3数量,需求道具4,需求道具4数量,需求道具5,需求道具5数量,合成产物,合成消耗银币,材料不足提示,物品合成成功,合成产物1,合成产物1权重,合成产物2,合成产物2权重,合成产物3,合成产物3权重,合成产物4,合成产物4权重,合成产物5,合成产物5权重,合成产物6,合成产物6权重,合成产物7,合成产物7权重,合成产物8,合成产物8权重,合成产物9,合成产物9权重,合成产物10,合成产物10权重,合成产物11,合成产物11权重,合成产物12,合成产物12权重,合成产物13,合成产物13权重,合成产物14,合成产物14权重,合成产物15,合成产物15权重,合成产物16,合成产物16权重,合成产物17,合成产物17权重,合成产物18,合成产物18权重,合成产物19,合成产物19权重,合成产物20,合成产物20权重,合成产物21,合成产物21权重,合成产物22,合成产物22权重,合成产物23,合成产物23权重,合成产物24,合成产物24权重,合成产物25,合成产物25权重,合成产物26,合成产物26权重,合成产物27,合成产物27权重,合成产物28,合成产物28权重,合成产物29,合成产物29权重,合成产物30,合成产物30权重
1,高级藏宝图,1,331350,1,331351,1,331352,1,331353,1,331354,1,331301,0,150205,150206,331301,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,光环卷轴,1,360000,5,,,,,,,,,"35010,35011",0,160037,160038,360001,100,360002,100,360003,100,360004,100,360005,100,360006,100,360007,100,360008,100,360009,100,360010,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
999,时空能量,1,500900,5,,,,,,,,,500380,0,150205,160038,500380,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,神羊兑换券,1,680701,1,680700,50,,,,,,,680721,0,193112,193113,680721,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,泡泡兑换券,1,680702,1,680700,50,,,,,,,680722,0,193112,193113,680722,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,九色鹿兑换券,1,680703,1,680700,50,,,,,,,680723,0,193112,193113,680723,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,大熊猫兑换券,1,680704,1,680700,50,,,,,,,680724,0,193112,193113,680724,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,神鸡兑换券,1,680705,1,680700,50,,,,,,,680725,0,193112,193113,680725,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,神猴兑换券,1,680706,1,680700,50,,,,,,,680726,0,193112,193113,680726,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,赤焰兽兑换券,1,680707,1,680700,50,,,,,,,680727,0,193112,193113,680727,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
