杀怪类id,杀怪组,职业,等级段min,等级段max,地图id,怪物id,怪物数量
1,1,0,30,155,1626,0,200
2,1,0,33,35,1627,0,200
3,1,0,36,39,1628,0,200
4,1,0,40,42,1629,0,200
5,1,0,43,45,1630,0,200
6,1,0,46,49,1631,0,200
7,1,0,50,52,1602,0,200
8,1,0,53,55,1632,0,200
9,1,0,56,59,1633,0,200
10,1,0,60,62,1634,0,300
11,1,0,63,65,1635,0,300
12,1,0,66,69,1636,0,300
13,1,0,70,71,1603,0,300
14,1,0,72,73,1637,0,300
15,1,0,74,75,1638,0,300
16,1,0,76,77,1639,0,300
17,1,0,78,79,1640,0,300
18,1,0,80,81,1641,0,300
19,1,0,82,83,1604,0,300
20,1,0,84,85,1642,0,300
21,1,0,86,87,1643,0,300
22,1,0,88,89,1644,0,300
23,1,0,90,91,1645,0,300
24,1,0,92,93,1646,0,300
25,1,0,94,95,1647,0,300
26,1,0,96,97,1648,0,300
27,1,0,98,155,1649,0,300
