送信类id,送信组,职业,npcid,服务ID
1,1,11,161501;161502;161503;161505;161506;161507;161509;161510;161511;161516;161521;161535;221708;260013;160816;160805;160701;160702;160703;160904;160905;161005;161403;161416;161602;161603;161605;161606,600025
2,1,12,161501;161502;161503;161505;161506;161507;161509;161510;161511;161516;161521;161535;221708;260013;160816;160805;160701;160702;160703;160904;160905;161005;161403;161416;161602;161603;161605;161606,600025
3,1,13,161501;161502;161503;161505;161506;161507;161509;161510;161511;161516;161521;161535;221708;260013;160816;160805;160701;160702;160703;160904;160905;161005;161403;161416;161602;161603;161605;161606,600025
4,1,14,161501;161502;161503;161505;161506;161507;161509;161510;161511;161516;161521;161535;221708;260013;160816;160805;160701;160702;160703;160904;160905;161005;161403;161416;161602;161603;161605;161606,600025
5,1,15,161501;161502;161503;161505;161506;161507;161509;161510;161511;161516;161521;161535;221708;260013;160816;160805;160701;160702;160703;160904;160905;161005;161403;161416;161602;161603;161605;161606,600025
6,1,16,161501;161502;161503;161505;161506;161507;161509;161510;161511;161516;161521;161535;221708;260013;160816;160805;160701;160702;160703;160904;160905;161005;161403;161416;161602;161603;161605;161606,600025
7,1,17,161501;161502;161503;161505;161506;161507;161509;161510;161511;161516;161521;161535;221708;260013;160816;160805;160701;160702;160703;160904;160905;161005;161403;161416;161602;161603;161605;161606,600025
8,1,18,161501;161502;161503;161505;161506;161507;161509;161510;161511;161516;161521;161535;221708;260013;160816;160805;160701;160702;160703;160904;160905;161005;161403;161416;161602;161603;161605;161606,600025
9,1,19,161501;161502;161503;161505;161506;161507;161509;161510;161511;161516;161521;161535;221708;260013;160816;160805;160701;160702;160703;160904;160905;161005;161403;161416;161602;161603;161605;161606,600025
58,1,20,161501;161502;161503;161505;161506;161507;161509;161510;161511;161516;161521;161535;221708;260013;160816;160805;160701;160702;160703;160904;160905;161005;161403;161416;161602;161603;161605;161606,600025
59,1,20,161501;161502;161503;161505;161506;161507;161509;161510;161511;161516;161521;161535;221708;260013;160816;160805;160701;160702;160703;160904;160905;161005;161403;161416;161602;161603;161605;161606,600025
60,1,21,161501;161502;161503;161505;161506;161507;161509;161510;161511;161516;161521;161535;221708;260013;160816;160805;160701;160702;160703;160904;160905;161005;161403;161416;161602;161603;161605;161606,600025
61,1,23,161501;161502;161503;161505;161506;161507;161509;161510;161511;161516;161521;161535;221708;260013;160816;160805;160701;160702;160703;160904;160905;161005;161403;161416;161602;161603;161605;161606,600025
62,1,22,161501;161502;161503;161505;161506;161507;161509;161510;161511;161516;161521;161535;221708;260013;160816;160805;160701;160702;160703;160904;160905;161005;161403;161416;161602;161603;161605;161606,600025
63,1,23,161501;161502;161503;161505;161506;161507;161509;161510;161511;161516;161521;161535;221708;260013;160816;160805;160701;160702;160703;160904;160905;161005;161403;161416;161602;161603;161605;161606,600025
10,2,11,13104,100036
11,2,12,13101,100036
12,2,13,13102,100036
13,2,14,13100,100036
14,2,15,13105,100036
15,2,16,13103,100036
16,2,17,13107,100036
17,2,18,13106,100036
18,2,19,13108,100036
46,2,20,13109,100036
47,2,20,13111,100036
48,2,21,13109,100036
52,2,23,13112,100036
53,2,22,13110,100036
54,2,23,13112,100036
19,3,11,13104,100036
20,3,12,13101,100036
21,3,13,13102,100036
22,3,14,13100,100036
23,3,15,13105,100036
24,3,16,13103,100036
25,3,17,13107,100036
26,3,18,13106,100036
27,3,19,13108,100036
49,3,20,13109,100036
50,3,20,13111,100036
51,3,21,13109,100036
55,3,23,13112,100036
56,3,22,13110,100036
57,3,23,13112,100036
28,4,11,161501;161502;161503;161505;161506;161507;161509;161510;161511;161516;161521;161525;161526;161531;161520;161519;161518;161535;221706;221708;260013;88948;160701;160702;160703;160805;160816;160904;160905;160913;161401;161402;161403;161416;161603;161605;161606;161614,100183
29,4,12,161501;161502;161503;161505;161506;161507;161509;161510;161511;161516;161521;161525;161526;161531;161520;161519;161518;161535;221706;221708;260013;88948;160701;160702;160703;160805;160816;160904;160905;160913;161401;161402;161403;161416;161603;161605;161606;161614,100183
30,4,13,161501;161502;161503;161505;161506;161507;161509;161510;161511;161516;161521;161525;161526;161531;161520;161519;161518;161535;221706;221708;260013;88948;160701;160702;160703;160805;160816;160904;160905;160913;161401;161402;161403;161416;161603;161605;161606;161614,100183
31,4,14,161501;161502;161503;161505;161506;161507;161509;161510;161511;161516;161521;161525;161526;161531;161520;161519;161518;161535;221706;221708;260013;88948;160701;160702;160703;160805;160816;160904;160905;160913;161401;161402;161403;161416;161603;161605;161606;161614,100183
32,4,15,161501;161502;161503;161505;161506;161507;161509;161510;161511;161516;161521;161525;161526;161531;161520;161519;161518;161535;221706;221708;260013;88948;160701;160702;160703;160805;160816;160904;160905;160913;161401;161402;161403;161416;161603;161605;161606;161614,100183
33,4,16,161501;161502;161503;161505;161506;161507;161509;161510;161511;161516;161521;161525;161526;161531;161520;161519;161518;161535;221706;221708;260013;88948;160701;160702;160703;160805;160816;160904;160905;160913;161401;161402;161403;161416;161603;161605;161606;161614,100183
34,4,17,161501;161502;161503;161505;161506;161507;161509;161510;161511;161516;161521;161525;161526;161531;161520;161519;161518;161535;221706;221708;260013;88948;160701;160702;160703;160805;160816;160904;160905;160913;161401;161402;161403;161416;161603;161605;161606;161614,100183
35,4,18,161501;161502;161503;161505;161506;161507;161509;161510;161511;161516;161521;161525;161526;161531;161520;161519;161518;161535;221706;221708;260013;88948;160701;160702;160703;160805;160816;160904;160905;160913;161401;161402;161403;161416;161603;161605;161606;161614,100183
36,4,19,161501;161502;161503;161505;161506;161507;161509;161510;161511;161516;161521;161525;161526;161531;161520;161519;161518;161535;221706;221708;260013;88948;160701;160702;160703;160805;160816;160904;160905;160913;161401;161402;161403;161416;161603;161605;161606;161614,100183
64,4,20,161501;161502;161503;161505;161506;161507;161509;161510;161511;161516;161521;161525;161526;161531;161520;161519;161518;161535;221706;221708;260013;88948;160701;160702;160703;160805;160816;160904;160905;160913;161401;161402;161403;161416;161603;161605;161606;161614,100183
