id,条件ID,动作ID,执行次数,启用AI,外部AI文件,触发时机,策划备注
12011,34206,52011,,,,2,自动对boss使用挫志怒吼
12012,34206,52012,,,,2,自动对boss使用破甲
12013,34206,52013,,,,2,自动对boss使用毁灭打击
12021,34206,52021,,,,2,自动对boss使用复仇之盾
12022,34206,52022,,,,2,自动使用圣光洗礼
12023,34206,52023,,,,2,自动对boss使用无边定罪
12024,34206,52024,,,,2,首回合自动使用神谕责难
12031,34206,52031,,,,2,首回合自动使用野性召唤
12032,34206,52032,,,,2,自动对boss使用精准打击
12033,34206,52033,,,,2,魔法值低于10%时自动使用生命献祭
12041,34206,52041,,,,2,自动对精英怪使用休眠
12042,34206,52042,,,,2,敌方有隐身单位时自动使用自然之眼
12051,34206,52051,,,,2,自动对精英怪使用变形术
12052,34206,52052,,,,2,自动释放冰霜血脉
12061,34206,52045,,,,2,首回合自动使用心灵之火
12062,34206,52046,,,,2,自动复活死亡单位
12063,34206,52047,,,,2,自动使用治疗祷言
12064,34206,52048,,,,2,自动使用神圣救赎解为队友解控
12071,34206,52071,,,,2,首回合自动使用先祖之魂
12081,34206,52081,,,,2,自动对精英怪使用闷棍
12082,34206,52082,,,,2,XX个连击点以上对boss使用剔骨
12083,34206,52083,,,,2,自动对boss使用穿刺影袭
12084,34206,52084,,,,2,XX个连击点以上自动使用剔骨
12091,34206,52091,,,,2,自动对精英怪使用沉默诅咒
12092,34206,52092,,,,2,自动使用生命虹吸
12101,34206,52082,,,,2,0个连击点以上对boss使用剔骨
12002,34206,52082,,,,2,1个连击点以上对boss使用剔骨
12003,34206,52082,,,,2,2个连击点以上对boss使用剔骨
12004,34206,52082,,,,2,3个连击点以上对boss使用剔骨
12005,34206,52082,,,,2,4个连击点以上对boss使用剔骨
12006,34206,52082,,,,2,5个连击点以上对boss使用剔骨
12111,34206,52084,,,,2,0个连击点以上自动使用剔骨
12112,34206,52084,,,,2,1个连击点以上自动使用剔骨
12113,34206,52084,,,,2,2个连击点以上自动使用剔骨
12114,34206,52084,,,,2,3个连击点以上自动使用剔骨
12115,34206,52084,,,,2,4个连击点以上自动使用剔骨
12116,34206,52084,,,,2,5个连击点以上自动使用剔骨
12117,34206,52056,,,,2,日月乾坤
12118,34206,52057,,,,2,炼气化神
12119,34206,52058,,,,2,生命之泉
12120,34206,52059,,,,2,烟雨剑法
12121,34206,52060,,,,2,飘渺式
12122,34206,52061,,,,2,乾坤妙法
12123,34206,52062,,,,2,飞花摘叶
12124,34206,52063,,,,2,一笑倾城
